OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
1566,2022/04/05 00:00:00+00,4,580747.095113281,5768.38437023741
1567,2022/04/05 00:00:00+00,3,29760.358459375,948.483616809742
1568,2022/04/05 00:00:00+00,3,125467.072203906,5336.68449337212
1569,2022/04/05 00:00:00+00,4,139389.748854688,1758.27588653836
1570,2022/04/05 00:00:00+00,3,117495.671890625,4672.81967921136
1571,2022/04/05 00:00:00+00,3,11705.396375,568.780809052103
1572,2022/04/05 00:00:00+00,3,15724.618896875,891.491296751932
1573,2022/04/05 00:00:00+00,3,53576.921,1392.54083755708
1574,2022/05/24 00:00:00+00,4,3292.280225,358.43685858886
1575,2022/05/24 00:00:00+00,4,9599.219915625,1136.09847910379
1576,2022/05/24 00:00:00+00,4,6573.1239125,827.861575591304
1577,2022/05/24 00:00:00+00,4,13092.1066078125,958.151635452802
1578,2022/04/11 00:00:00+00,1,8845.7903671875,358.238154398678
1579,2022/04/11 00:00:00+00,1,13092.459665625,517.303574924663
1580,2022/04/11 00:00:00+00,1,14275.1043515625,479.07798197847
1581,2022/04/11 00:00:00+00,4,6879.91440625,311.689143784771
1582,2022/04/11 00:00:00+00,1,20376.83749375,661.918320233049
1583,2022/04/11 00:00:00+00,1,4598.429709375,321.892351089319
