TYPE_OF_STOP,CITATION_CONTROL_NUMBER,ACTIVITY_RESULTS,OFFICER_GENDER,OFFICER_RACE,OFFICER_AGE_RANGE,ACTIVITY_DATE,ACTIVITY_TIME,ACTIVITY_LOCATION,ACTIVITY_DIVISION,ACTIVITY_BEAT,DRIVER_GENDER,DRIVER_RACE,DRIVER_AGE_RANGE,NUMBER_OF_PASSENGERS,WAS_VEHCILE_SEARCHED,REASON_FOR_SEARCH,OBJECTID
TRAFFIC VIOLATION,EE46067     ,CITATION ISSUED,M,ASIAN,31 - 40,01/15/2023,11:57:00,S 4TH ST                                                    ,4TH DIVISION,BEAT 1,M,WHITE,51 - 60,0,NO,,115
TRAFFIC VIOLATION,EE47109     ,CITATION ISSUED,M,WHITE,31 - 40,01/22/2023,18:39:00,900 BLOCK  WINKLER AVE,4TH DIVISION,BEAT 3,M,BLACK,31 - 40,1,YES,4.0,116
TRAFFIC VIOLATION,EE47334     ,CITATION ISSUED,M,WHITE,41 - 50,01/15/2023,02:35:00,PRESTON HWY                                                 ,7TH DIVISION,BEAT 4,M,WHITE,16 - 19,0,NO,,117
TRAFFIC VIOLATION,EE47573     ,CITATION ISSUED,M,WHITE,51 - 60,01/07/2023,09:58:00,300 BLOCK ,8TH DIVISION,BEAT 2,M,HISPANIC,20 - 25,0,NO,,118
TRAFFIC VIOLATION,EE49021     ,CITATION ISSUED,M,WHITE,31 - 40,01/22/2023,18:39:00,900 BLOCK  WINKLER AVE,4TH DIVISION,BEAT 3,M,BLACK,31 - 40,1,YES,4.0,119
TRAFFIC VIOLATION,EE50429     ,CITATION ISSUED,F,WHITE,31 - 40,01/11/2023,22:05:00,3700 BLOCK  RIVER RD @ COXS PARK,5TH DIVISION,BEAT 5,M,BLACK,26 - 30,1,NO,,120
TRAFFIC VIOLATION,EE54239     ,CITATION ISSUED,M,WHITE,41 - 50,02/16/2023,16:16:00,BARDSTOWN RD                                                ,7TH DIVISION,BEAT 1,M,BLACK,16 - 19,0,NO,,121
TRAFFIC VIOLATION,EE54603     ,CITATION ISSUED,M,WHITE,51 - 60,01/14/2023,20:00:00,I64 EB RAMP TO I71 NB                                       ,1ST DIVISION,BEAT 4,F,WHITE,26 - 30,0,NO,,122
TRAFFIC VIOLATION,EE56774     ,CITATION ISSUED,M,WHITE,31 - 40,01/16/2023,14:54:00,4600 BLOCK  VALLEY STATION RD,3RD DIVISION,BEAT 4,M,BLACK,51 - 60,0,NO,,123
TRAFFIC VIOLATION,EE58302     ,CITATION ISSUED,M,WHITE,21 - 30,02/01/2023,21:53:00,1700 BLOCK  W HILL ST,2ND DIVISION,BEAT 5,M,BLACK,31 - 40,0,YES,,124
TRAFFIC VIOLATION,EE58574     ,CITATION ISSUED,M,WHITE,31 - 40,01/17/2023,11:25:00,WESTPORT RD @ WESTPORT PLAZA INTERSECTION                   ,8TH DIVISION,BEAT 2,M,WHITE,20 - 25,0,NO,,125
TRAFFIC VIOLATION,EE58576     ,CITATION ISSUED,M,WHITE,31 - 40,01/24/2023,19:33:00,E LIBERTY ST @ S PRESTON ST                                 ,1ST DIVISION,BEAT 5,M,BLACK,51 - 60,0,YES,4.0,126
TRAFFIC VIOLATION,EE58578     ,CITATION ISSUED,M,WHITE,31 - 40,01/25/2023,18:47:00,HERR LN @ WESTMAR TER                                       ,,,M,HISPANIC,26 - 30,1,NO,,127
TRAFFIC VIOLATION,EE58579     ,CITATION ISSUED,M,WHITE,31 - 40,01/28/2023,08:35:00,N 22ND ST @ PORTLAND AVE                                    ,1ST DIVISION,BEAT 1,M,WHITE,OVER 60,0,NO,,128
TRAFFIC VIOLATION,EE58583     ,CITATION ISSUED,M,WHITE,31 - 40,02/14/2023,00:26:00,I65S @ 137 MM                                               ,1ST DIVISION,BEAT 4,F,WHITE,51 - 60,0,NO,,129
TRAFFIC VIOLATION,EE58584     ,CITATION ISSUED,M,WHITE,31 - 40,02/14/2023,00:43:00,900 BLOCK  BLOCK W JEFFERSON ST,1ST DIVISION,BEAT 3,F,BLACK,41 - 50,0,NO,,130
TRAFFIC VIOLATION,EE58585     ,CITATION ISSUED,M,WHITE,31 - 40,02/14/2023,01:02:00,2600 BLOCK  BLOCK ROWAN ST,1ST DIVISION,BEAT 1,M,WHITE,31 - 40,0,NO,,131
TRAFFIC VIOLATION,EE58586     ,CITATION ISSUED,M,WHITE,31 - 40,02/15/2023,00:40:00,1700 BLOCK  BLOCK RIVER RD,1ST DIVISION,BEAT 4,F,WHITE,41 - 50,0,NO,,132
TRAFFIC VIOLATION,EE58587     ,CITATION ISSUED,M,WHITE,31 - 40,03/13/2023,22:20:00,600 BLOCK  BLOCK N 28TH ST,1ST DIVISION,BEAT 1,M,WHITE,26 - 30,0,NO,,133
TRAFFIC VIOLATION,EE58588     ,CITATION ISSUED,M,WHITE,31 - 40,03/13/2023,23:20:00,N 1ST ST / E MAIN ST                                        ,1ST DIVISION,BEAT 4,F,BLACK,31 - 40,0,NO,,134
TRAFFIC VIOLATION,EE59425     ,CITATION ISSUED,F,WHITE,21 - 30,01/04/2023,15:16:00,WESTPORT RD                                                 ,8TH DIVISION,BEAT 2,M,HISPANIC,26 - 30,0,NO,,135
TRAFFIC VIOLATION,EE60895     ,CITATION ISSUED,M,WHITE,21 - 30,01/10/2023,18:21:00,RIVER PARK DR                                               ,1ST DIVISION,BEAT 2,M,BLACK,31 - 40,0,NO,,136
TRAFFIC VIOLATION,EE62442     ,CITATION ISSUED,M,WHITE,21 - 30,01/28/2023,08:42:00,MELLWOOD AVE / BROWNSBORO                                   ,5TH DIVISION,BEAT 1,M,WHITE,51 - 60,0,NO,,137
TRAFFIC VIOLATION,EE63241     ,CITATION ISSUED,M,WHITE,31 - 40,01/02/2023,00:50:00,BARDSTOWN RD / BRECKENRIDGE LN                              ,6TH DIVISION,BEAT 4,F,WHITE,41 - 50,1,NO,,138
TRAFFIC VIOLATION,EE63816     ,CITATION ISSUED,M,WHITE,31 - 40,02/13/2023,03:57:00,1900 BLOCK  S 7TH ST,4TH DIVISION,BEAT 3,M,BLACK,41 - 50,0,YES,4.0,139
TRAFFIC VIOLATION,EE64709     ,CITATION ISSUED,M,WHITE,41 - 50,01/14/2023,16:12:00,STONE LAKES DR                                              ,7TH DIVISION,BEAT 1,M,BLACK,26 - 30,1,NO,,140
TRAFFIC VIOLATION,EE65058     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,05:08:00,HIKES LN / YOUNGWOOD                                        ,6TH DIVISION,BEAT 5,M,HISPANIC,31 - 40,0,NO,,141
TRAFFIC VIOLATION,EE65975     ,CITATION ISSUED,M,BLACK,21 - 30,01/02/2023,18:25:00,I 0264                                                      ,2ND DIVISION,BEAT 6,M,BLACK,51 - 60,0,NO,,142
TRAFFIC VIOLATION,EE66523     ,CITATION ISSUED,M,WHITE,31 - 40,01/08/2023,17:16:00,S HURSTBOURNE PKWY / WATTERSON TRL                          ,6TH DIVISION,BEAT 4,M,BLACK,20 - 25,0,NO,,143
TRAFFIC VIOLATION,EE66755     ,CITATION ISSUED,M,WHITE,31 - 40,02/18/2023,22:33:00,11900 BLOCK  STANDIFORD PLAZA DR,7TH DIVISION,BEAT 4,M,WHITE,20 - 25,2,YES,3.0,144
TRAFFIC VIOLATION,EE70696     ,CITATION ISSUED,M,WHITE,31 - 40,02/13/2023,17:27:00,ARCADE AVE/ 7TH ST                                          ,,,M,WHITE,26 - 30,1,YES,4.0,145
TRAFFIC VIOLATION,EE71527     ,CITATION ISSUED,M,WHITE,21 - 30,01/04/2023,18:53:00,I65N @ 132 EXIT                                             ,4TH DIVISION,BEAT 1,M,BLACK,16 - 19,0,NO,,146
TRAFFIC VIOLATION,EE71638     ,CITATION ISSUED,M,WHITE,21 - 30,02/25/2023,11:24:00,LEXINGTON RD / ALTA VISTA                                   ,5TH DIVISION,BEAT 1,F,ASIAN,26 - 30,0,NO,,147
TRAFFIC VIOLATION,EE73935     ,CITATION ISSUED,M,WHITE,51 - 60,03/05/2023,14:05:00,N HURSTBOURNE PKWY                                          ,,,M,WHITE,31 - 40,0,NO,,148
TRAFFIC VIOLATION,EE75401     ,CITATION ISSUED,F,WHITE,21 - 30,02/03/2023,09:00:00,W JEFFERSON ST/S 12TH ST                                    ,1ST DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,149
TRAFFIC VIOLATION,EE76250     ,CITATION ISSUED,M,BLACK,31 - 40,01/12/2023,00:09:00,BROWNSBORO RD                                               ,5TH DIVISION,BEAT 1,F,WHITE,41 - 50,0,NO,,150
TRAFFIC VIOLATION,EE76442     ,CITATION ISSUED,M,BLACK,31 - 40,01/26/2023,03:33:00,BROWNSBORO RD                                               ,5TH DIVISION,BEAT 1,M,BLACK,41 - 50,0,NO,,151
TRAFFIC VIOLATION,EE76764     ,CITATION ISSUED,M,WHITE,31 - 40,01/26/2023,10:20:00,WESTPORT RD / CHAMBERLAIN LN                                ,8TH DIVISION,BEAT 1,F,WHITE,31 - 40,0,NO,,152
TRAFFIC VIOLATION,EE77927     ,CITATION ISSUED,M,BLACK,21 - 30,01/02/2023,00:56:00,BROWNSBORO RD                                               ,5TH DIVISION,BEAT 1,M,HISPANIC,26 - 30,0,YES,4.0,153
TRAFFIC VIOLATION,EE79911     ,CITATION ISSUED,M,WHITE,41 - 50,01/19/2023,12:28:00,HILLCREST AVE                                               ,5TH DIVISION,BEAT 1,M,WHITE,51 - 60,0,NO,,154
TRAFFIC VIOLATION,EE80390     ,CITATION ISSUED,M,WHITE,31 - 40,01/16/2023,04:24:00,BARDSTOWN RD                                                ,6TH DIVISION,BEAT 5,F,BLACK,20 - 25,0,NO,,155
TRAFFIC VIOLATION,EE80395     ,CITATION ISSUED,M,WHITE,31 - 40,01/16/2023,05:19:00,BARDSTOWN RD / RICHLAND AVE                                 ,6TH DIVISION,BEAT 4,M,BLACK,26 - 30,0,NO,,156
TRAFFIC VIOLATION,EE80526     ,CITATION ISSUED,M,WHITE,31 - 40,01/20/2023,02:39:00,BRECKENRIDGE LN / CHURCHILL PARK DR                         ,6TH DIVISION,BEAT 5,M,BLACK,20 - 25,2,NO,,157
TRAFFIC VIOLATION,EE81852     ,CITATION ISSUED,M,WHITE,41 - 50,02/07/2023,23:15:00,FERNDALE RD                                                 ,7TH DIVISION,BEAT 3,F,BLACK,20 - 25,0,NO,,158
TRAFFIC VIOLATION,EE82080     ,CITATION ISSUED,M,WHITE,31 - 40,01/19/2023,00:51:00,WESTPORT RD                                                 ,8TH DIVISION,BEAT 1,F,WHITE,20 - 25,0,NO,,159
TRAFFIC VIOLATION,EE85670     ,CITATION ISSUED,M,WHITE,51 - 60,01/07/2023,08:07:00,S ENGLISH STATION RD                                        ,8TH DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,160
TRAFFIC VIOLATION,EE91464     ,CITATION ISSUED,M,WHITE,21 - 30,01/05/2023,22:00:00,S 1ST ST/ E LIBERTY ST                                      ,1ST DIVISION,BEAT 5,F,WHITE,OVER 60,0,NO,,161
TRAFFIC VIOLATION,EE91588     ,CITATION ISSUED,M,WHITE,31 - 40,01/10/2023,08:53:00,S PARK RD @ BLUE LICK                                       ,7TH DIVISION,BEAT 6,M,WHITE,OVER 60,0,YES,,162
TRAFFIC VIOLATION,EE91806     ,CITATION ISSUED,M,WHITE,51 - 60,01/05/2023,16:43:00,WOODBOURNE AVE                                              ,5TH DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,163
TRAFFIC VIOLATION,EE92504     ,CITATION ISSUED,M,BLACK,21 - 30,01/25/2023,18:10:00,GEORGETOWN PL/LAFAYETTE DRIVE                               ,4TH DIVISION,BEAT 3,M,BLACK,26 - 30,3,YES,4.0,164
TRAFFIC VIOLATION,EE93214     ,CITATION ISSUED,F,BLACK,21 - 30,01/20/2023,00:25:00,LANKFORD LN                                                 ,3RD DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,165
TRAFFIC VIOLATION,EE93705     ,CITATION ISSUED,M,WHITE,51 - 60,02/08/2023,19:16:00,TAYLORSVILLE ROAD AND I 264                                 ,5TH DIVISION,BEAT 4,M,WHITE,31 - 40,0,NO,,166
TRAFFIC VIOLATION,EE94113     ,CITATION ISSUED,M,BLACK,31 - 40,01/23/2023,12:06:00,N 2ND ST/ E MAIN ST                                         ,1ST DIVISION,BEAT 3,F,WHITE,26 - 30,0,NO,,167
TRAFFIC VIOLATION,EE95217     ,CITATION ISSUED,M,WHITE,41 - 50,01/07/2023,16:00:00,BROWNSBORO RD                                               ,5TH DIVISION,BEAT 1,M,BLACK,26 - 30,0,NO,,168
TRAFFIC VIOLATION,EE95993     ,CITATION ISSUED,M,WHITE,31 - 40,03/05/2023,01:56:00,OUTER LOOP                                                  ,7TH DIVISION,BEAT 6,M,HISPANIC,20 - 25,0,NO,,169
TRAFFIC VIOLATION,EE96625     ,CITATION ISSUED,F,WHITE,31 - 40,01/12/2023,17:34:00,5000 BLOCK  POPLAR LEVEL RD,6TH DIVISION,BEAT 2,M,HISPANIC,31 - 40,1,NO,,170
TRAFFIC VIOLATION,EE96626     ,CITATION ISSUED,F,WHITE,31 - 40,01/12/2023,17:35:00,5000 BLOCK  POPLAR LEVEL RD,6TH DIVISION,BEAT 2,F,WHITE,31 - 40,0,NO,,171
TRAFFIC VIOLATION,EE96628     ,CITATION ISSUED,F,WHITE,31 - 40,01/21/2023,17:47:00,5000 BLOCK  PRESTON HWY,6TH DIVISION,BEAT 2,M,HISPANIC,31 - 40,0,NO,,172
TRAFFIC VIOLATION,EE98201     ,CITATION ISSUED,M,WHITE,21 - 30,01/07/2023,02:27:00,DIXIE HWY/PARAMOUNT DR                                      ,3RD DIVISION,BEAT 5,M,BLACK,26 - 30,0,NO,,173
TRAFFIC VIOLATION,EE99025     ,CITATION ISSUED,M,WHITE,21 - 30,01/09/2023,00:35:00,DR W J HODGE ST                                             ,2ND DIVISION,BEAT 3,M,BLACK,31 - 40,0,NO,,174
TRAFFIC VIOLATION,EE99026     ,CITATION ISSUED,M,WHITE,21 - 30,01/11/2023,01:46:00,BAXTER AVE                                                  ,5TH DIVISION,BEAT 2,M,BLACK,26 - 30,0,YES,4.0,175
TRAFFIC VIOLATION,EE99202     ,CITATION ISSUED,M,WHITE,41 - 50,01/09/2023,15:38:00,2600 BLOCK  BLK PORTLAND AVE,1ST DIVISION,BEAT 1,M,WHITE,41 - 50,0,NO,,176
TRAFFIC VIOLATION,EF00084     ,CITATION ISSUED,M,WHITE,41 - 50,01/04/2023,11:03:00,OUTER LOOP//MINOR LN                                        ,7TH DIVISION,BEAT 6,M,HISPANIC,26 - 30,0,NO,,177
TRAFFIC VIOLATION,EF00582     ,CITATION ISSUED,M,WHITE,41 - 50,01/01/2023,19:30:00,2300 BLOCK  BLK DOUGLASS BLVD,5TH DIVISION,BEAT 3,F,BLACK,31 - 40,1,NO,,178
TRAFFIC VIOLATION,EF00593     ,CITATION ISSUED,M,WHITE,21 - 30,01/09/2023,14:23:00,TAYLOR BLVD/BICKNELL AVE                                    ,4TH DIVISION,BEAT 5,M,HISPANIC,26 - 30,0,NO,,179
TRAFFIC VIOLATION,EF01361     ,CITATION ISSUED,M,WHITE,21 - 30,01/05/2023,22:51:00,S WENZEL ST                                                 ,1ST DIVISION,BEAT 5,F,WHITE,31 - 40,0,NO,,180
TRAFFIC VIOLATION,EF01468     ,CITATION ISSUED,M,BLACK,21 - 30,03/11/2023,21:44:00,CASA LANDA DR                                               ,3RD DIVISION,BEAT 5,M,WHITE,41 - 50,0,NO,,181
TRAFFIC VIOLATION,EF01572     ,CITATION ISSUED,M,WHITE,21 - 30,01/20/2023,08:48:00,DAFFODIL DR & GREENWOOD RD                                  ,3RD DIVISION,BEAT 1,M,WHITE,31 - 40,0,NO,,182
TRAFFIC VIOLATION,EF01864     ,CITATION ISSUED,M,WHITE,21 - 30,01/01/2023,08:48:00,DUMESNIL ST/I264W                                           ,2ND DIVISION,BEAT 2,M,WHITE,31 - 40,0,NO,,183
TRAFFIC VIOLATION,EF01968     ,CITATION ISSUED,M,WHITE,21 - 30,01/01/2023,14:40:00,W HILL ST AND MCCLOSKEY AVE                                 ,2ND DIVISION,BEAT 5,M,WHITE,31 - 40,0,NO,,184
TRAFFIC VIOLATION,EF01997     ,CITATION ISSUED,F,WHITE,41 - 50,03/02/2023,15:33:00,BEULAH CHURCH RD / CEDAR SPRINGS                            ,7TH DIVISION,BEAT 3,F,BLACK,26 - 30,0,NO,,185
TRAFFIC VIOLATION,EF02267     ,CITATION ISSUED,M,WHITE,41 - 50,01/13/2023,10:26:00,BARDSTOWN RD                                                ,5TH DIVISION,BEAT 2,F,BLACK,20 - 25,1,NO,,186
TRAFFIC VIOLATION,EF03302     ,CITATION ISSUED,M,WHITE,31 - 40,01/15/2023,09:21:00,SOUTHSIDE DR                                                ,3RD DIVISION,BEAT 2,M,WHITE,41 - 50,0,NO,,187
TRAFFIC VIOLATION,EF03733     ,CITATION ISSUED,M,WHITE,31 - 40,01/03/2023,19:26:00,I 0265E 2 16                                                ,7TH DIVISION,BEAT 2,F,WHITE,20 - 25,0,NO,,188
TRAFFIC VIOLATION,EF03734     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,18:03:00,I 0265S @ 14                                                ,7TH DIVISION,BEAT 4,M,WHITE,51 - 60,0,NO,,189
TRAFFIC VIOLATION,EF03735     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,18:14:00,I 0265S @ 10                                                ,7TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,,190
TRAFFIC VIOLATION,EF03736     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,20:11:00,I 0265N @ 64E                                               ,8TH DIVISION,BEAT 3,M,WHITE,41 - 50,1,NO,,191
TRAFFIC VIOLATION,EF03737     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,20:25:00,I 0064W @ 17                                                ,,,M,BLACK,20 - 25,0,NO,,192
TRAFFIC VIOLATION,EF03738     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,20:35:00,I 0064W @ 14.8                                              ,8TH DIVISION,BEAT 5,M,BLACK,20 - 25,0,NO,,193
TRAFFIC VIOLATION,EF03739     ,CITATION ISSUED,M,WHITE,31 - 40,01/05/2023,23:08:00,I 0065S @ 128                                               ,7TH DIVISION,BEAT 6,F,BLACK,31 - 40,0,NO,,194
TRAFFIC VIOLATION,EF03740     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,02:13:00,I 0264W @ 10.4                                              ,4TH DIVISION,BEAT 4,M,HISPANIC,31 - 40,2,NO,,195
TRAFFIC VIOLATION,EF03741     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,19:27:00,I 0264E @ 16                                                ,5TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,,196
TRAFFIC VIOLATION,EF03742     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,19:40:00,I 0264W @ 16                                                ,5TH DIVISION,BEAT 4,F,BLACK,20 - 25,0,NO,,197
TRAFFIC VIOLATION,EF03743     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,20:48:00,GENE SNYDER FWY @ 6                                         ,3RD DIVISION,BEAT 3,M,BLACK,31 - 40,1,NO,,198
TRAFFIC VIOLATION,EF03744     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,22:51:00,PRESTON HWY @ COPPER CHOPPER                                ,7TH DIVISION,BEAT 4,F,WHITE,31 - 40,0,NO,,199
TRAFFIC VIOLATION,EF03746     ,CITATION ISSUED,M,WHITE,31 - 40,01/18/2023,21:51:00,BARDSTOWN RD & BROAD RUN PKWY                               ,7TH DIVISION,BEAT 2,M,WHITE,OVER 60,0,NO,,200
TRAFFIC VIOLATION,EF03747     ,CITATION ISSUED,M,WHITE,31 - 40,02/06/2023,18:02:00,GENE SNYDER FWY @ 6                                         ,3RD DIVISION,BEAT 3,M,WHITE,26 - 30,1,NO,,201
TRAFFIC VIOLATION,EF03748     ,CITATION ISSUED,M,WHITE,31 - 40,02/06/2023,18:15:00,I 0265N @ 12                                                ,7TH DIVISION,BEAT 4,M,WHITE,41 - 50,0,NO,,202
TRAFFIC VIOLATION,EF03749     ,CITATION ISSUED,M,WHITE,31 - 40,02/06/2023,18:29:00,I 0265N @ 18                                                ,7TH DIVISION,BEAT 2,M,WHITE,OVER 60,0,NO,,203
TRAFFIC VIOLATION,EF03750     ,CITATION ISSUED,M,WHITE,31 - 40,02/06/2023,18:51:00,I 0264W @ 15                                                ,5TH DIVISION,BEAT 4,M,BLACK,31 - 40,0,NO,,204
TRAFFIC VIOLATION,EF03751     ,CITATION ISSUED,M,WHITE,31 - 40,02/06/2023,19:09:00,I 0264W @  10.6                                             ,4TH DIVISION,BEAT 4,M,BLACK,41 - 50,0,NO,,205
TRAFFIC VIOLATION,EF03752     ,CITATION ISSUED,M,WHITE,31 - 40,02/06/2023,21:37:00,I 0065S @ 128                                               ,6TH DIVISION,BEAT 2,F,BLACK,26 - 30,0,NO,,206
TRAFFIC VIOLATION,EF03753     ,CITATION ISSUED,M,WHITE,31 - 40,02/07/2023,01:06:00,I 0065S @ 129                                               ,6TH DIVISION,BEAT 2,M,AMERICAN INDIAN,41 - 50,1,NO,,207
TRAFFIC VIOLATION,EF03754     ,CITATION ISSUED,M,WHITE,31 - 40,02/07/2023,01:19:00,GENE SNYDER FWY @ 8                                         ,7TH DIVISION,BEAT 6,F,HISPANIC,41 - 50,0,NO,,208
TRAFFIC VIOLATION,EF03755     ,CITATION ISSUED,M,WHITE,31 - 40,02/08/2023,13:12:00,GENE SNYDER FWY @ 3                                         ,3RD DIVISION,BEAT 3,F,WHITE,41 - 50,0,NO,,209
TRAFFIC VIOLATION,EF03756     ,CITATION ISSUED,M,WHITE,31 - 40,02/08/2023,13:29:00,GENE SNYDER FWY N @ 6                                       ,3RD DIVISION,BEAT 3,M,WHITE,20 - 25,0,NO,,210
TRAFFIC VIOLATION,EF03758     ,CITATION ISSUED,M,WHITE,31 - 40,02/08/2023,15:27:00,I 0065S @125                                                ,7TH DIVISION,BEAT 6,M,WHITE,16 - 19,0,NO,,211
TRAFFIC VIOLATION,EF03759     ,CITATION ISSUED,M,WHITE,31 - 40,02/08/2023,15:41:00,GENE SNYDER FWY S @ 1                                       ,3RD DIVISION,BEAT 4,M,WHITE,31 - 40,0,NO,,212
TRAFFIC VIOLATION,EF03760     ,CITATION ISSUED,M,WHITE,31 - 40,02/08/2023,15:59:00,GENE SNYDER FWY N @ 6                                       ,3RD DIVISION,BEAT 3,F,WHITE,26 - 30,0,NO,,213
TRAFFIC VIOLATION,EF03761     ,CITATION ISSUED,M,WHITE,31 - 40,02/14/2023,18:40:00,I 0265S @ 10                                                ,7TH DIVISION,BEAT 4,F,HISPANIC,26 - 30,0,NO,,214
TRAFFIC VIOLATION,EF03763     ,CITATION ISSUED,M,WHITE,31 - 40,02/15/2023,18:11:00,GENE SNYDER FWY S @ 6                                       ,3RD DIVISION,BEAT 3,F,WHITE,20 - 25,0,NO,,215
TRAFFIC VIOLATION,EF03764     ,CITATION ISSUED,M,WHITE,31 - 40,02/15/2023,18:20:00,GENE SNYDER FWY S @ 2                                       ,3RD DIVISION,BEAT 4,F,WHITE,20 - 25,0,NO,,216
TRAFFIC VIOLATION,EF03765     ,CITATION ISSUED,M,WHITE,31 - 40,02/15/2023,21:14:00,SHELBYVILLE RD & WHIPPS MILL RD                             ,8TH DIVISION,BEAT 5,M,WHITE,31 - 40,0,NO,,217
TRAFFIC VIOLATION,EF03766     ,CITATION ISSUED,M,WHITE,31 - 40,02/15/2023,21:45:00,I 0065S @ 128.2                                             ,6TH DIVISION,BEAT 2,F,BLACK,20 - 25,0,NO,,218
TRAFFIC VIOLATION,EF03767     ,CITATION ISSUED,M,WHITE,31 - 40,02/17/2023,19:03:00,I 0065N @ 130                                               ,7TH DIVISION,BEAT 6,M,WHITE,31 - 40,1,NO,,219
TRAFFIC VIOLATION,EF03768     ,CITATION ISSUED,M,WHITE,31 - 40,02/17/2023,19:18:00,I 0264W @ 10                                                ,4TH DIVISION,BEAT 4,M,WHITE,51 - 60,0,NO,,220
TRAFFIC VIOLATION,EF03769     ,CITATION ISSUED,M,WHITE,31 - 40,02/17/2023,20:04:00,GENE SNYDER FWY N @ 11                                      ,7TH DIVISION,BEAT 4,M,WHITE,41 - 50,1,NO,,221
TRAFFIC VIOLATION,EF03770     ,CITATION ISSUED,M,WHITE,31 - 40,02/17/2023,21:15:00,I 0265N @ 25                                                ,8TH DIVISION,BEAT 3,F,HISPANIC,16 - 19,0,NO,,222
TRAFFIC VIOLATION,EF03771     ,CITATION ISSUED,M,WHITE,31 - 40,02/17/2023,21:31:00,I 0064W @ 12                                                ,8TH DIVISION,BEAT 5,M,WHITE,20 - 25,0,NO,,223
TRAFFIC VIOLATION,EF03772     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,17:48:00,GENE SNYDER FWY @ 5                                         ,3RD DIVISION,BEAT 3,F,WHITE,41 - 50,0,NO,,224
TRAFFIC VIOLATION,EF03773     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,18:02:00,GENE SNYDER FWY @ 3                                         ,3RD DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,225
TRAFFIC VIOLATION,EF03774     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,18:12:00,GENE SNYDER FWY @ 1                                         ,3RD DIVISION,BEAT 5,M,BLACK,16 - 19,0,NO,,226
TRAFFIC VIOLATION,EF03775     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,18:24:00,GENE SNYDER FWY @ 2                                         ,3RD DIVISION,BEAT 4,F,WHITE,31 - 40,0,NO,,227
TRAFFIC VIOLATION,EF03776     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,18:38:00,GENE SNYDER FWY @ 9.5                                       ,7TH DIVISION,BEAT 6,M,WHITE,51 - 60,0,NO,,228
TRAFFIC VIOLATION,EF03777     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,19:17:00,GENE SNYDER FWY @ 5.5                                       ,3RD DIVISION,BEAT 3,M,WHITE,41 - 50,0,NO,,229
TRAFFIC VIOLATION,EF03778     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,19:53:00,GENE SNYDER FWY @ 3                                         ,3RD DIVISION,BEAT 3,F,WHITE,26 - 30,0,NO,,230
TRAFFIC VIOLATION,EF03779     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,20:03:00,GENE SNYDER FWY @ 3                                         ,3RD DIVISION,BEAT 3,M,BLACK,26 - 30,0,NO,,231
TRAFFIC VIOLATION,EF03780     ,CITATION ISSUED,M,WHITE,31 - 40,02/20/2023,20:43:00,DIXIE HWY & BETHANY LN                                      ,3RD DIVISION,BEAT 5,M,WHITE,41 - 50,0,NO,,232
TRAFFIC VIOLATION,EF03781     ,CITATION ISSUED,M,WHITE,31 - 40,02/21/2023,18:34:00,GENE SNYDER FWY @ 2                                         ,3RD DIVISION,BEAT 4,M,BLACK,20 - 25,0,NO,,233
TRAFFIC VIOLATION,EF03782     ,CITATION ISSUED,M,WHITE,31 - 40,02/28/2023,18:04:00,GENE SNYDER FWY @ LOWER RIVER                               ,3RD DIVISION,BEAT 4,M,WHITE,51 - 60,1,NO,,234
TRAFFIC VIOLATION,EF03783     ,CITATION ISSUED,M,WHITE,31 - 40,02/28/2023,18:11:00,GENE SNYDER FWY @ LOWER RIVER RD                            ,3RD DIVISION,BEAT 4,M,WHITE,41 - 50,0,NO,,235
