word,quantity,frequency
Lewis,3,0.0
remember,3,0.0
poke,3,0.0
Pass_the_parcel,3,0.0
Forest,9,0.0001
popper,3,0.0
dungaree,24,0.0002
blouse,3,0.0
blob,6,0.0
Chris,3,0.0
rest,6,0.0
Fudge,9,0.0001
horsies,3,0.0
billy,6,0.0
beard,6,0.0
cock_a_doodle_doo,3,0.0
farmer,21,0.0002
people,27,0.0002
courgette,3,0.0
burglar,6,0.0
Josie,12,0.0001
mi,3,0.0
Bethany,24,0.0002
Kirsten,18,0.0001
Grandpa_Pete,21,0.0002
Sid,6,0.0
mama,243,0.002
Joan,3,0.0
Gregory,6,0.0
cricket,12,0.0001
ant,3,0.0
soon,6,0.0
tata,12,0.0001
Martin,6,0.0
Joel,30,0.0002
goal,15,0.0001
controller,63,0.0005
oh_dear,6,0.0
Tony,3,0.0
Sophie,6,0.0
pizza,6,0.0
seal,27,0.0002
soggy,3,0.0
battery,6,0.0
caterpillar,6,0.0
Meg,3,0.0
la,21,0.0002
turtle,9,0.0001
dryer,3,0.0
short,3,0.0
Bethany_Bethany,3,0.0
skip,3,0.0
gravy,6,0.0
potato,9,0.0001
bruise,3,0.0
ha,3,0.0
towel,3,0.0
cooker,6,0.0
touch,3,0.0
than,3,0.0
sticker,18,0.0001
peeky,6,0.0
Row_row_boat,6,0.0
row,189,0.0016
stream,12,0.0001
semolina,3,0.0
soldier,3,0.0
Michael,6,0.0
jade,9,0.0001
Bryany,3,0.0
feather,9,0.0001
shifter,3,0.0
Tigger,3,0.0
sledge,3,0.0
Grandpa_Sid,3,0.0
boogie,3,0.0
Axel,6,0.0
Emma,3,0.0
nenaw,12,0.0001
neenaw,3,0.0
bi,9,0.0001
dear_dear,3,0.0
squash,6,0.0
bo,3,0.0
zip,12,0.0001
Andy_Cole,3,0.0
Peter,3,0.0
Schmeichel,3,0.0
Peter_Schmeichel,3,0.0
Schumacher,3,0.0
Damon_Hill,3,0.0
Gazza,3,0.0
Alan,3,0.0
Cantona,3,0.0
Ella,36,0.0003
boob,9,0.0001
grubby,3,0.0
m,6,0.0
pow,3,0.0
lighthouse,3,0.0
Glennis,3,0.0
suitcase,3,0.0
Errol,3,0.0
Sharon,3,0.0
Grandma_Peggy,3,0.0
pillow,24,0.0002
okey_dokey,3,0.0
Row_row_row_the_boat,3,0.0
neck,6,0.0
chest,3,0.0
Row_row_the_boat,3,0.0
crayon,6,0.0
tatty,3,0.0
fridge,3,0.0
twinkle,3,0.0
starfish,129,0.0011
crab,3,0.0
shut,9,0.0001
pot,3,0.0
fiddly,9,0.0001
willie,36,0.0003
ing,3,0.0
c_d,12,0.0001
c_ds,3,0.0
Liz,192,0.0016
roller,27,0.0002
dumper,18,0.0001
sign,3,0.0
farm,9,0.0001
Weetabix,9,0.0001
dipper,15,0.0001
bolt,9,0.0001
soil,3,0.0
trunk,3,0.0
swish,21,0.0002
fishies,3,0.0
forklift,3,0.0
apricot,9,0.0001
junk,12,0.0001
honk,3,0.0
mat,3,0.0
duckie,3,0.0
whisker,3,0.0
Kangaroo,9,0.0001
camel,21,0.0002
hedgehog,3,0.0
chick,12,0.0001
Squonk,6,0.0
pest,3,0.0
ripe,6,0.0
hug,6,0.0
chew,6,0.0
safe,3,0.0
post,39,0.0003
pooed,21,0.0002
knicker,3,0.0
see_saw_marjorie_,9,0.0001
master,3,0.0
minute,3,0.0
ladybird,6,0.0
body,3,0.0
sir,6,0.0
load,3,0.0
any,60,0.0005
