admin_date,dose,last_7days,LOADED,rolling_count,ObjectId
2021/07/24 04:00:00+00,1,6015,2022/10/10 10:04:00+00,471607,270
2021/03/20 04:00:00+00,1,35349,2022/10/10 10:04:00+00,233661,271
2022/07/09 04:00:00+00,5,8,2022/10/10 10:04:00+00,330,272
2021/11/06 04:00:00+00,1,6082,2022/10/10 10:04:00+00,565800,273
2022/09/24 04:00:00+00,6,21,2022/10/10 10:04:00+00,94,274
2022/01/29 05:00:00+00,3,4153,2022/10/10 10:04:00+00,199369,275
2022/04/30 04:00:00+00,1,999,2022/10/10 10:04:00+00,658719,276
2021/07/24 04:00:00+00,2,3052,2022/10/10 10:04:00+00,398270,277
2021/03/20 04:00:00+00,2,13824,2022/10/10 10:04:00+00,124983,278
2022/07/16 04:00:00+00,1,1231,2022/10/10 10:04:00+00,669603,279
2021/11/06 04:00:00+00,2,2603,2022/10/10 10:04:00+00,463977,280
2022/10/01 04:00:00+00,1,1567,2022/10/10 10:04:00+00,681888,281
2022/01/29 05:00:00+00,4,68,2022/10/10 10:04:00+00,1042,282
2022/04/30 04:00:00+00,2,1114,2022/10/10 10:04:00+00,516544,283
2021/07/24 04:00:00+00,3,16,2022/10/10 10:04:00+00,1022,284
2021/03/20 04:00:00+00,3,29,2022/10/10 10:04:00+00,339,285
2022/07/16 04:00:00+00,2,939,2022/10/10 10:04:00+00,525491,286
2021/11/06 04:00:00+00,3,11440,2022/10/10 10:04:00+00,78597,287
2022/10/01 04:00:00+00,2,1551,2022/10/10 10:04:00+00,537174,288
2022/02/05 05:00:00+00,1,1727,2022/10/10 10:04:00+00,645041,289
2022/04/30 04:00:00+00,3,993,2022/10/10 10:04:00+00,217769,290
2021/07/31 04:00:00+00,1,6852,2022/10/10 10:04:00+00,478459,291
2021/03/27 04:00:00+00,1,36924,2022/10/10 10:04:00+00,270585,292
2022/07/16 04:00:00+00,3,933,2022/10/10 10:04:00+00,227561,293
2021/11/06 04:00:00+00,4,53,2022/10/10 10:04:00+00,444,294
2022/10/01 04:00:00+00,3,1869,2022/10/10 10:04:00+00,238657,295
2022/02/05 05:00:00+00,2,1972,2022/10/10 10:04:00+00,502019,296
2022/04/30 04:00:00+00,4,3195,2022/10/10 10:04:00+00,19490,297
2021/07/31 04:00:00+00,2,3010,2022/10/10 10:04:00+00,401280,298
2021/03/27 04:00:00+00,2,17921,2022/10/10 10:04:00+00,142904,299
2022/07/16 04:00:00+00,4,2374,2022/10/10 10:04:00+00,42065,300
2022/07/16 04:00:00+00,5,23,2022/10/10 10:04:00+00,353,301
2022/07/23 04:00:00+00,1,1406,2022/10/10 10:04:00+00,671009,302
2022/07/23 04:00:00+00,2,1329,2022/10/10 10:04:00+00,526820,303
2022/07/23 04:00:00+00,3,1094,2022/10/10 10:04:00+00,228655,304
2022/07/23 04:00:00+00,4,2558,2022/10/10 10:04:00+00,44623,305
2022/07/23 04:00:00+00,5,24,2022/10/10 10:04:00+00,377,306
2022/07/23 04:00:00+00,6,3,2022/10/10 10:04:00+00,38,307
2022/07/30 04:00:00+00,1,1373,2022/10/10 10:04:00+00,672382,308
2022/07/30 04:00:00+00,2,1161,2022/10/10 10:04:00+00,527981,309
2022/07/30 04:00:00+00,3,1064,2022/10/10 10:04:00+00,229719,310
2022/07/30 04:00:00+00,4,2192,2022/10/10 10:04:00+00,46815,311
2022/07/30 04:00:00+00,5,24,2022/10/10 10:04:00+00,401,312
2022/08/06 04:00:00+00,1,1241,2022/10/10 10:04:00+00,673623,313
2022/08/06 04:00:00+00,2,995,2022/10/10 10:04:00+00,528976,314
2021/11/06 04:00:00+00,5,7,2022/10/10 10:04:00+00,45,315
2022/10/01 04:00:00+00,4,4265,2022/10/10 10:04:00+00,63019,316
2021/07/31 04:00:00+00,3,33,2022/10/10 10:04:00+00,1055,317
2021/03/27 04:00:00+00,3,29,2022/10/10 10:04:00+00,368,318
2021/11/13 05:00:00+00,1,9353,2022/10/10 10:04:00+00,575153,319
2022/02/05 05:00:00+00,3,2228,2022/10/10 10:04:00+00,201597,320
2022/10/01 04:00:00+00,5,3772,2022/10/10 10:04:00+00,11265,321
2021/07/31 04:00:00+00,4,3,2022/10/10 10:04:00+00,160,322
2021/03/27 04:00:00+00,4,9,2022/10/10 10:04:00+00,42,323
2021/11/13 05:00:00+00,2,2308,2022/10/10 10:04:00+00,466285,324
2022/02/05 05:00:00+00,4,69,2022/10/10 10:04:00+00,1111,325
2022/10/01 04:00:00+00,6,30,2022/10/10 10:04:00+00,124,326
2021/08/07 04:00:00+00,1,7867,2022/10/10 10:04:00+00,486326,327
2021/04/03 04:00:00+00,1,34111,2022/10/10 10:04:00+00,304696,328
2021/11/13 05:00:00+00,3,11298,2022/10/10 10:04:00+00,89895,329
2022/02/12 05:00:00+00,1,1873,2022/10/10 10:04:00+00,646914,330
2022/10/08 04:00:00+00,1,818,2022/10/10 10:04:00+00,682706,331
2021/08/07 04:00:00+00,2,3814,2022/10/10 10:04:00+00,405094,332
2021/04/03 04:00:00+00,2,24403,2022/10/10 10:04:00+00,167307,333
2021/11/13 05:00:00+00,4,42,2022/10/10 10:04:00+00,486,334
2022/10/08 04:00:00+00,2,806,2022/10/10 10:04:00+00,537980,335
2022/02/12 05:00:00+00,2,2137,2022/10/10 10:04:00+00,504156,336
2022/05/07 04:00:00+00,1,764,2022/10/10 10:04:00+00,659483,337
2021/08/07 04:00:00+00,3,40,2022/10/10 10:04:00+00,1095,338
2021/04/03 04:00:00+00,3,49,2022/10/10 10:04:00+00,417,339
2021/11/20 05:00:00+00,1,9931,2022/10/10 10:04:00+00,585084,340
2022/10/08 04:00:00+00,3,1076,2022/10/10 10:04:00+00,239733,341
2022/02/12 05:00:00+00,3,2461,2022/10/10 10:04:00+00,204058,342
2022/05/07 04:00:00+00,2,803,2022/10/10 10:04:00+00,517347,343
2021/08/14 04:00:00+00,1,7329,2022/10/10 10:04:00+00,493655,344
2021/04/10 04:00:00+00,1,28855,2022/10/10 10:04:00+00,333551,345
2021/11/20 05:00:00+00,2,2413,2022/10/10 10:04:00+00,468698,346
2022/10/08 04:00:00+00,4,2570,2022/10/10 10:04:00+00,65589,347
2022/02/12 05:00:00+00,4,94,2022/10/10 10:04:00+00,1205,348
2022/05/07 04:00:00+00,3,768,2022/10/10 10:04:00+00,218537,349
2021/08/14 04:00:00+00,2,4586,2022/10/10 10:04:00+00,409680,350
2021/04/10 04:00:00+00,2,31413,2022/10/10 10:04:00+00,198720,351
2021/11/20 05:00:00+00,3,12869,2022/10/10 10:04:00+00,102764,352
