OBJECTID,TYPE,QUPOLY_CD,QUATGEOL,SHAPE_Length,SHAPE_Area
203,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,7167.15916937909,3320185.91254254
204,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,5507.16736810063,2398062.64728783
205,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,5013.88799372119,1657739.29013049
206,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,6295.94084217962,2502512.77010133
207,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,8458.84516162892,3575862.64314954
208,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,5549.81897996514,1502071.19971215
209,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,9371.66935898365,2937969.0724277
210,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4890.99579748652,1886143.48055059
211,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,10019.7629634851,3425575.69663244
212,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,5370.69401339534,1900352.52886972
213,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4560.04774854796,1638982.32961217
214,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1396.00546469041,154064.20088741
215,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2078.78306471303,298330.061557949
216,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,5114.78881923056,1923306.36062431
217,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,4132.52000618026,1128855.14136855
218,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,13392.5949553521,7821635.52417948
219,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1540.55149458595,184462.186213351
220,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4364.05377517608,1501311.87281099
