OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPE_Length,SHAPE_Area
13738,VA059,3,85C,2250510,3313.69912724485,-229109.239753614
13739,VA059,3,2B,2250241,1881.91333865366,-49897.987031777
13740,VA059,3,85C,2250510,4098.08108615376,-316793.896672381
13741,VA059,3,39E,2250351,5109.04985209747,-341322.522339852
13742,VA059,3,103A,2250548,2307.71310260567,-186444.492847632
13743,VA059,3,105D,2250558,2138.79918796936,-128116.66331594
13744,VA059,3,81B,2250501,4748.74198914403,-311109.43700859
13745,VA059,3,39B,2250348,3767.41365950594,-605333.471303067
13746,VA059,3,39C,2250349,2590.35702010894,-272862.041887459
13747,VA059,3,25B,2250306,1751.43319568162,-101509.848343717
13748,VA059,3,30A,2250319,11282.9936750964,-862505.318624378
13749,VA059,3,93B,2250537,3135.186477126,-201113.87124646
13750,VA059,3,107B,2250560,2433.84506011136,-177774.305587122
13751,VA059,3,105B,2250556,3380.81660744002,-302904.569162874
13752,VA059,3,105C,2250557,1836.0639221636,-98757.3270342931
13753,VA059,3,93B,2250537,5180.53396372071,-278169.282718524
13754,VA059,3,25B,2250306,1246.92193117553,-84041.9759268135
13755,VA059,3,105C,2250557,3314.99652378845,-309038.018369249
13756,VA059,3,105B,2250556,7408.4939159216,-776169.193053627
13757,VA059,3,25C,2250307,8657.2193301373,-1185355.51216139
13758,VA059,3,25C,2250307,3889.71032887226,-401210.615443731
13759,VA059,3,105C,2250557,20161.3954438413,-2362690.5926533
13760,VA059,3,93B,2250537,9320.32895170992,-652381.365124985
13761,VA059,3,84B,2250507,1800.27887870398,-87895.4433982595
13762,VA059,3,25C,2250307,4369.21646232051,-331100.823865273
13763,VA059,3,85B,2250509,1974.33163004573,-164919.152630137
13764,VA059,3,39D,2250350,7049.90954645245,-645057.206974449
13765,VA059,3,85C,2250510,1643.15780825781,-133857.558739741
13766,VA059,3,39C,2250349,17589.3539281362,1831359.44754228
13767,VA059,3,39C,2250349,16212.0542979799,1445628.00207131
13768,VA059,3,80D,2250499,2243.06643961523,-147888.791004653
13769,VA059,3,105C,2250557,5307.3791050648,-468266.112917415
13770,VA059,3,W,2250944,1275.72980362835,-92059.5812452515
13771,VA059,3,25B,2250306,11812.4637257708,1300658.51054726
13772,VA059,3,25B,2250306,5263.96613818288,-769739.38924668
13773,VA059,3,105D,2250558,2442.17229706379,-307027.517640906
13774,VA059,3,105B,2250556,1487.2965412269,-85072.543173521
13775,VA059,3,93B,2250537,1445.59297097944,-79061.0944903112
13776,VA059,3,108B,2250561,2035.64653520409,-111202.415270599
13777,VA059,3,25C,2250307,2107.46444774067,-117063.638538203
13778,VA059,3,105B,2250556,21007.6233978042,-3110169.59791774
13779,VA059,3,105C,2250557,1312.26032329389,-91152.1931847587
13780,VA059,3,105C,2250557,3242.25597955945,-499999.851815198
13781,VA059,3,88E,2250521,7368.6015289344,-880849.975668064
13782,VA059,3,105D,2250558,2608.25555048886,-142622.835380157
13783,VA059,3,93B,2250537,4064.98366184523,-346918.907873009
13784,VA059,3,105C,2250557,1524.7520013801,-94565.2613785656
13785,VA059,3,84B,2250507,1878.99166287936,-173295.665534944
13786,VA059,3,85B,2250509,2148.5124510654,-104010.428680309
13787,VA059,3,39D,2250350,3396.18307386078,-365509.150948419
13788,VA059,3,25B,2250306,4722.52824868858,-451491.305946436
13789,VA059,3,105C,2250557,4304.56485769692,-542519.363730171
13790,VA059,3,107B,2250560,1031.66389097463,-50708.3576890323
13791,VA059,3,39B,2250348,1150.21430292481,-66198.3229757175
13792,VA059,3,39D,2250350,1284.98363678231,-85119.741055244
13793,VA059,3,21B,2250292,1168.46325404618,-76826.4505757158
13794,VA059,3,39C,2250349,27687.7786312102,-4205924.32124125
13795,VA059,3,105C,2250557,4010.33252796092,-249214.818102866
