OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,GLOBALID,SHAPEAREA,SHAPELEN
129681,R6,RES MULTI-FAMILY,RESIDENTIAL,{2FF42F03-0197-4535-A6EC-BEB83AEAD989},105827.39455,1419.09729058305
129692,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{929021E3-F1DA-4DEE-BA74-47A1DADBC469},615488.4114875,4160.57163481037
129694,R7,RES MULTI-FAMILY,RESIDENTIAL,{37C156D8-0D1A-492A-A458-B9D35868364B},116557.931496875,1558.39049078988
129695,OR,OFFICE/RES,OFFICE,{CA59B1F5-D46B-4281-B597-20FC8F40363E},13976.2738359375,568.001970786163
129697,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{9555B3B9-329F-4FB8-BEBF-1E7C4B70BA9F},171046.054164844,2564.68905140748
130636,OR1,OFFICE/RES,OFFICE,{BFAABA18-A037-41EF-AA4B-0AFEA4DE460D},26764.38669375,668.511963777972
130639,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{B724E66E-01AF-4424-B134-DF3443B53C4C},400435.524075781,4838.86414999615
130641,M2,INDUSTRIAL,INDUSTRIAL,{6286CEBA-CB07-47B5-AF89-9B98C3097132},1030957.86017656,4974.04405552323
130957,R4,RES SINGLE FAMILY,RESIDENTIAL,{5A892824-349B-4AB8-8662-C40536D4A1D6},57939.3721242188,1217.96163052254
130958,PEC,PLANNED EMPLOYMENT CENTER,SPECIAL,{84231C56-2326-409A-B1FE-73F10E0E56C1},1756373.87289531,5913.8723613997
130960,OR3,OFFICE/RES,OFFICE,{4AEB97A2-7A6F-40E1-BE7A-CC3D716C9298},2279995.33740625,6438.90840870749
130977,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{BE9E81B9-CBED-4839-8FA9-C2FD0F452F8E},11820.0878289062,497.266676230119
131279,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{621A2E93-1231-4813-9919-A05C9C5C398C},36723.7494039063,1049.95526221033
131281,R6,RES MULTI-FAMILY,RESIDENTIAL,{E093355C-F212-4DC4-B650-04693CB68C2F},9911.38626875,401.6918305866
131310,R6,RES MULTI-FAMILY,RESIDENTIAL,{B574E6E7-4951-4FEF-8DA6-FAA7F36E5129},23299.4740109375,675.454464426285
131315,R1,RES SINGLE FAMILY,RESIDENTIAL,{4FF7B800-F74E-4E0D-A3CD-5B62718E9636},420558.431207813,2992.49896932061
131359,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{78F8FFD0-C062-4314-B3CD-9E40DB8A0CAD},33290.8826476563,751.109600167624
131363,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{73C3890C-E569-434D-BE53-5FEE6DF01EA9},34567.5494375,1075.35024193794
131389,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{8D825A8D-F3BA-4145-8F70-8061BCED270C},7804.636490625,381.047681081551
131396,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{3C53642E-0532-4844-A160-79A3FCDE098C},36254.227578125,782.711211181789
131420,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{A43D723F-44FE-435F-89C7-B71C39FCBB39},2452005.59955391,15881.0706253339
131421,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{F0E61999-6745-4693-913F-7BA92B9CBE2A},94580.098215625,1382.0270467535
131422,OR3,OFFICE/RES,OFFICE,{3501DF87-D2A9-4E50-9327-BF566826C249},1144274.33881719,7076.82530536317
131431,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{7D123BAF-F593-4657-8F81-831DAD25B8C5},12678.9262585938,644.046430326794
131436,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{64C019C4-88FC-4598-B6A9-9F4782A09F85},14628.8353976563,697.889791422374
131455,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{1701205F-43AD-49C8-A3D0-23789E907E90},7423.723121875,373.525668431311
131465,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{76B22BF6-272F-4721-9CB8-E1E8D2B8049A},45332.7685320313,877.398908677549
131467,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{D21A8CD8-F32B-4C78-BDAE-881708418F87},10679.84378125,474.076433873414
131597,R5A,RES MULTI-FAMILY,RESIDENTIAL,{CD424AAA-5B4C-4966-A188-EDA1843548D1},824240.604632813,4879.05080186057
131612,R5A,RES MULTI FAMILY,RESIDENTIAL,{335E3ABE-BF55-4419-8E91-012BA5815C80},2048174.35031094,8083.71776493125
131628,R4,RES SINGLE FAMILY,RESIDENTIAL,{F25AE9E2-238F-4BD9-9A3C-8B25CBA3651A},106576.043388281,1403.75044837981
131629,R5B,RES TWO-FAMILY,RESIDENTIAL,{2559C939-FF35-44C8-A429-6768098BE9C5},278463.587660938,2888.48124684185
131648,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{6F130CFA-26EE-4E63-BC21-FD4C9631D64D},9090.65267265625,422.825535151717
131651,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{8AE65A21-5D67-4521-BE43-F594E53BC9A4},7245.29290078125,380.906014889797
131939,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{9EE06027-FAB9-44A7-83F2-FD04842FC445},1951.13564921875,181.524232532578
131965,M2,INDUSTRIAL,INDUSTRIAL,{E6BE963A-91EA-4418-B978-409B2CEC9AEC},25230.2276328125,682.933229345895
131978,R1,RES SINGLE FAMILY,RESIDENTIAL,{64322125-8CF0-4EF7-8B96-BDFF2EF8C58E},113740.154575781,1428.59672712826
131985,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{1A3E6097-B0C0-4473-AA3F-A0944DA238C6},8645.17540078125,402.353011464866
131995,OR2,OFFICE/RES,OFFICE,{C2496FB4-44A6-4F80-9F29-4719A4715D0B},88503.4922171875,1889.53555888937
132002,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{8A475D1A-6E4A-48A2-AC78-D14959F64060},10272.0401570313,461.325676593469
132003,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{40062FAC-A05E-4883-94C7-9F7CBFD7F991},6378.60987734375,503.683039940011
132004,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{99298A8C-388F-4F00-8B20-96423BB7F896},12323.821990625,557.449859906841
132019,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{9FEDFA25-05EE-49CC-81EF-B575E654552A},20208.48193125,655.628819844471
132021,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{B0975B08-CDA5-4923-AA65-CCA43EC59058},11514.4532109375,450.008219926824
132052,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{A04FA92E-0ED0-4115-BAA5-C9AA70E6E35E},62875.1577984375,1416.39229659467
132063,OR2,OFFICE/RES,OFFICE,{153AA1A9-FA58-4402-BCC1-1BB0608EDEAD},50877.964625,910.002807594474
132065,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{DF3550EA-5DF5-46BE-A702-C7080189808F},27583.1842523438,720.542169562781
132083,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{0C9AACB2-6F90-489B-A96B-AB56E30979C3},8344.664428125,428.821419442963
132089,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{D6F7CCBF-D1D2-427B-B964-0607383C4880},15793.8222703125,626.582435629632
132092,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{CEF61E4B-6738-4111-B0E4-2BF7B4EA7D47},806617.882410156,8702.37502390837
132120,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{F981C653-F0D4-426D-8E27-2BF5B3E100D5},506449.069607031,6790.99272967746
132125,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{33F27A42-17E3-416A-B1B2-9BA3C13CE233},93017.0575273438,2032.66207250251
132141,OR2,OFFICE/RES,OFFICE,{4963D245-9922-4FAD-82B2-FEA4F19A84BB},120670.864421875,1461.34576512178
132142,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{6B30FCED-97B1-457E-9718-5E68F4F1624C},37771.2318585937,1226.65703769545
132147,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{59DE731C-6412-4DFE-8BE0-0B8505A798F3},195903.970726562,2062.09100763208
132149,R6,RES MULTI-FAMILY,RESIDENTIAL,{1600F720-7EA5-43D6-A050-2F93E543F45C},10452.964009375,653.152264185712
132151,R6,RES MULTI-FAMILY,RESIDENTIAL,{A3FFC9BB-CF23-4F63-A604-523618B6E835},152114.79968125,2114.79079190651
132155,R7,RES MULTI-FAMILY,RESIDENTIAL,{954E80AD-670F-482C-88C8-6965D17A4A04},13039.5598203125,791.711428431795
132158,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{FB81B32F-A2F9-4285-91BF-F1B4D8AEAB33},63137.5518382813,1006.27156562211
132162,R7,RES MULTI-FAMILY,RESIDENTIAL,{851A2534-253D-452F-854E-CEA44054EAF0},115591.08144375,1443.80917215051
132169,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{91EC4D14-0576-49AC-8740-B5A64F9C460F},7229.84486953125,375.304999012392
132174,OR2,OFFICE/RES,OFFICE,{4E433729-A767-40EF-9EF1-57AE230AC4F0},1180050.37389922,11989.295252206
132237,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{2A9B2712-E81C-4C9D-8C33-E1520829DA78},61285.4664601563,1054.2135321894
132243,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{2A9D2AE5-86A7-4C2F-9034-1130D5CC30D9},551882.253548438,4008.09294579824
132255,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{807D6354-458F-4674-B29B-696AD8B541A5},12230.97696875,517.769826750521
132282,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{9D927EA9-4182-4465-A034-40F11DD0EA6E},22022.7782828125,609.707676301312
132294,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{9EC55699-6010-48B0-8A34-2982D7014AFC},11649.6170523438,461.313091694773
132298,R7,RES MULTI-FAMILY,RESIDENTIAL,{8FD235F7-4E5E-4C62-B111-267C426FF561},13845.9927320313,648.039326180048
132419,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{3C44A8AA-C1E1-441F-AE80-9D3C177198D1},22164.8480421875,1100.80122818392
132420,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{BD81E325-9781-4CE2-8BF3-CA79254E0254},17809.5315101562,806.54810042301
132423,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,{E9363F02-EDEB-4A98-8D62-765BCE52F1C8},29675.0986671875,692.821408565246
132451,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{502D2390-79AD-491A-A1FE-EEFC42E7481A},37235.2169273438,792.624851217761
132454,R7,RES MULTI-FAMILY,RESIDENTIAL,{15D43129-4D22-4ECA-9843-4330650B42B1},100865.8226125,1417.59328261528
132459,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{CA04DF04-EB31-461F-A7B1-E91639A14B3E},22164.5051578125,902.788806815457
132471,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{6E72851C-F2F3-4298-AEA2-D929E21799F4},8483.45792734375,558.184468813062
132476,R6,RES MULTI-FAMILY,RESIDENTIAL,{A0D4C518-449B-43C3-972A-E26735C4DE42},95252.7648179688,2394.98548401981
132482,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{C8FBA0EC-3F32-4B50-A7A8-8E0C0F87CCAE},7369.46500703125,344.076228567615
132557,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{D1BA7402-C168-469E-82B5-8665312F4CF2},4483.18469921875,424.261886817982
132562,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{3D8981FA-A1F8-4BC2-8567-43D4C9C91C76},18604.2809835938,574.112679965825
