business_id,date,score,description,type,ObjectId
32114,20181116,93,,ROUTINE,189
32733,20230203,94,,ROUTINE,190
33164,20180921,0,,COMPLAINT,191
33099,20221205,97,,ROUTINE,192
32536,20230711,98,,SURVEY,193
32910,20181023,99,,ROUTINE,194
32114,20190618,94,,ROUTINE,195
32733,20190709,95,,ROUTINE,196
33164,20180921,92,,ROUTINE,197
33099,20230518,100,,ROUTINE,198
32536,20190611,100,,ROUTINE,199
32910,20190507,95,,ROUTINE,200
32114,20200107,93,,ROUTINE,201
32733,20190116,96,,ROUTINE,202
33164,20190620,0,,COMPLAINT,203
33099,20180921,0,,COMPLAINT,204
32536,20200115,100,,ROUTINE,205
32910,20191114,97,,ROUTINE,206
32114,20210722,95,,ROUTINE,207
32733,20190709,0,,COMPLAINT,208
33164,20190702,96,,FOLLOWUP,209
33099,20190123,100,,ROUTINE,210
32536,20211103,98,,ROUTINE,211
32910,20210317,100,,ROUTINE,212
32114,20220519,93,,ROUTINE,213
32733,20190716,0,,FOLLOWUP,214
33164,20190620,77,,ROUTINE,215
33099,20190612,100,,ROUTINE,216
32553,20230503,94,,ROUTINE,217
32910,20211202,98,,ROUTINE,218
32140,20220504,97,,ROUTINE,219
32733,20190722,0,,FOLLOWUP,220
33164,20190215,92,,ROUTINE,221
33099,20191210,100,,ROUTINE,222
32553,20221101,94,,ROUTINE,223
33054,20220513,95,,ROUTINE,224
32140,20221018,95,,ROUTINE,225
32733,20190403,0,,COMPLAINT,226
33164,20200124,96,,ROUTINE,227
33164,20201008,96,,ROUTINE,228
33164,20210615,95,,ROUTINE,229
33164,20220512,96,,ROUTINE,230
33201,20220824,96,,ROUTINE,231
33201,20230227,98,,ROUTINE,232
33201,20181227,94,,ROUTINE,233
33201,20190709,98,,ROUTINE,234
33201,20200128,98,,ROUTINE,235
33201,20210816,94,,ROUTINE,236
33201,20220302,96,,ROUTINE,237
33228,20221014,99,,ROUTINE,238
33228,20230412,100,,ROUTINE,239
33228,20180831,100,,ROUTINE,240
33228,20190406,100,,ROUTINE,241
33228,20191012,98,,ROUTINE,242
33228,20200624,98,,ROUTINE,243
