Date,Intersection,City,State,Inspection #,Level,OOS-TR,OOS-TL,OOS-DR,Crash,Weighed,# of Violations,Total Fines,Inspector
2018-02-28,200 AVENUE U,WILMERDING,PA,PAM584000453,3,,,,,,0.0,0.0,INSPECTOR 2
2018-02-28,200 AVENUE U,WILMERDING,PA,PAM584000454,3,,,,,,0.0,0.0,INSPECTOR 2
2018-02-28,200 OSBORNE ST,TURTLE CREEK,PA,PAM584000455,2,,,,,,4.0,0.0,INSPECTOR 2
2018-02-28,200 OSBORNE ST,TURTLE CREEK,PA,PAM584000456,3,,,,,,0.0,0.0,INSPECTOR 2
2018-02-28,MILLERS RUN @ HICKORY GRADE,S.FAYETTE,PA,PAM615000644,3,,,,,,2.0,0.0,INSPECTOR 1
2018-02-28,MILLERS RUN @ HICKORY GRADE,S.FAYETTE,PA,PAM615000645,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-28,MILLERS RUN @ HICKORY GRADE,S.FAYETTE,PA,PAM615000646,1,,,,,,1.0,0.0,INSPECTOR 1
2018-02-28,MILLERS RUN @ HICKORY GRADE,S.FAYETTE,PA,PAM615000647,2,,,,,,0.0,0.0,INSPECTOR 1
2018-02-28,MILLERS RUN @ HICKORY GRADE,S.FAYETTE,PA,PAM615000648,1,,,,,,1.0,0.0,INSPECTOR 1
2018-02-28,MILLERS RN @ HICKORY GRADE,SOUTH FAYETTE,PA,PAM628000598,2,,,,,,2.0,0.0,INSPECTOR 4
2018-02-28,MILLERS RN @ HICKORY GRADE,SOUTH FAYETTE,PA,PAM628000599,1,Y,,,,,3.0,0.0,INSPECTOR 4
2018-02-28,MILLERS RN @ HICKORY GRADE,SOUTH FAYETTE,PA,PAM628000600,2,Y,,,,,6.0,0.0,INSPECTOR 4
2018-02-28,MILLERS RN @ HICKORY GRADE,SOUTH FAYETTE,PA,PAM628000601,1,,,,,,0.0,0.0,INSPECTOR 4
2018-02-28,200 BLOCK AVENUE U,WILMERDING,PA,PAM637000370,1,,,,,,1.0,0.0,INSPECTOR 3
2018-02-28,200 OSBORNE STREET,TURTLE CREEK,PA,PAM637000371,1,,,,,,5.0,216.5,INSPECTOR 3
2018-02-27,1121 MCPHERSON AVE,CLAIRTON,PA,PAM584000449,1,Y,,,,,10.0,266.97,INSPECTOR 2
2018-02-27,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM584000450,1,,,,,,0.0,0.0,INSPECTOR 2
2018-02-27,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM584000451,3,,,,,,0.0,0.0,INSPECTOR 2
2018-02-27,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM584000452,3,,,,,,1.0,0.0,INSPECTOR 2
2018-02-27,IMPERIAL LANDFILL,FINDLAY,PA,PAM615000641,1,Y,,,,,6.0,416.97,INSPECTOR 1
2018-02-27,IMPERIAL LANDFILL,FINDLAY,PA,PAM615000642,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-27,IMPERIAL LANDFILL,FINDLAY,PA,PAM615000643,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-27,11 BOGGS RD,IMPERIAL,PA,PAM628000595,3,,,,,,0.0,0.0,INSPECTOR 4
2018-02-27,11 BOGGS RD,IMPERIAL,PA,PAM628000596,1,Y,,,,,6.0,416.97,INSPECTOR 4
2018-02-27,11 BOGGS RD,IMPERIAL,PA,PAM628000597,1,Y,,,,,11.0,543.97,INSPECTOR 4
2018-02-27,BROWNSVILLE RD/CORRIGAN DR,SOUTH PARK,PA,PAM637000369,1,Y,,,,,1.0,216.5,INSPECTOR 3
2018-02-26,WILDWOOD @ BABCOCK,MCCANDLESS,PA,PAM615000639,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-26,WILDWOOD @ BABCOCK,MCCANDLESS,PA,PAM615000640,2,Y,,,,,3.0,0.0,INSPECTOR 1
2018-02-26,E. INGOMAR @ BABCOCK BLVD,MCCANDLESS,PA,PAM628000593,3,,,,,,1.0,0.0,INSPECTOR 4
2018-02-26,E. INGOMAR @ BABCOCK BLVD,MCCANDLESS,PA,PAM628000594,2,Y,,,,,2.0,0.0,INSPECTOR 4
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE,PA,PAM615000635,3,,,,,,1.0,0.0,INSPECTOR 1
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE,PA,PAM615000636,2,,,,,,2.0,0.0,INSPECTOR 1
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE,PA,PAM615000637,3,,,,,,3.0,141.5,INSPECTOR 1
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE,PA,PAM615000638,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000589,3,,,,,,0.0,0.0,INSPECTOR 4
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000590,3,,,,,,0.0,0.0,INSPECTOR 4
2018-02-23,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000591,3,,,,,,0.0,0.0,INSPECTOR 4
2018-02-23,2700 NEVILLE RD,NEVILLER ISLAND,PA,PAM628000592,3,,,,,,1.0,0.0,INSPECTOR 4
2018-02-21,ANGELINA @ ISLAND,MCKEESROCKS,PA,PAM615000632,1,,,,,,1.0,0.0,INSPECTOR 1
2018-02-21,ANGELINA @ ISLAND,MCKEESROCKS,PA,PAM615000633,1,,,,,,1.0,0.0,INSPECTOR 1
2018-02-21,GRAND AVE @ NEVILLE RD,NEVILLE,PA,PAM615000634,2,,Y,,,,4.0,416.97,INSPECTOR 1
2018-02-21,ISLAND AVE @ CUTLER,MC KEES ROCKS,PA,PAM628000586,1,,,,,,2.0,0.0,INSPECTOR 4
2018-02-21,ISLAND AVE @ CUTLER,MC KEES ROCKS,PA,PAM628000587,1,,,,,,3.0,0.0,INSPECTOR 4
2018-02-21,3501 ISLAND AVE,NEVILLE ISLAND,PA,PAM628000588,3,,,,,,1.0,0.0,INSPECTOR 4
2018-02-21,600 BLK OLD CLAIRTON RD,PLEASANT HILLS,PA,PAM637000368,3,,,,,,1.0,0.0,INSPECTOR 3
2018-02-20,PEARCEMILL @ 910,PINE,PA,PAM615000630,1,,,,,,2.0,0.0,INSPECTOR 1
2018-02-20,UNIVERSITY @ THORNRUN,MOON,PA,PAM615000631,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-20,RT 910 @ PEARCE MILL RD,PINE,PA,PAM628000583,3,,,,,,3.0,0.0,INSPECTOR 4
2018-02-20,RT 910 @ PEARCE MILL RD,PINE,PA,PAM628000584,1,,,,,,6.0,0.0,INSPECTOR 4
2018-02-20,UNIVERSITY BLVD @ THORN RUN,MOON,PA,PAM628000585,1,,,Y,,,6.0,533.0,INSPECTOR 4
2018-02-15,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000445,1,,,,,,0.0,0.0,INSPECTOR 2
2018-02-15,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000446,3,,,,,,1.0,0.0,INSPECTOR 2
2018-02-15,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000447,3,,,Y,,,2.0,0.0,INSPECTOR 2
2018-02-15,FIFTH ST & BORDER ST,WEST ELIZABETH,PA,PAM584000448,2,Y,,,,,7.0,216.97,INSPECTOR 2
2018-02-15,GRAND AVE @ NEVILLE RD,NEVILLE,PA,PAM615000625,1,,,,,,3.0,0.0,INSPECTOR 1
2018-02-15,GRAND AVE @ NEVILLE RD,NEVILLE,PA,PAM615000626,3,,,,,,0.0,0.0,INSPECTOR 1
2018-02-15,GRAND AVE @ NEVILLE RD,NEVILLE,PA,PAM615000627,1,,,,,,4.0,0.0,INSPECTOR 1
2018-02-15,GRAND AVE @ NEVILLE RD,NEVILLE,PA,PAM615000628,1,,,,,,2.0,0.0,INSPECTOR 1
2018-02-15,GRAND AVE @ NEVILLE RD,NEVILLE,PA,PAM615000629,1,,,,,,1.0,0.0,INSPECTOR 1
2018-02-15,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000580,1,Y,,,,,5.0,416.97,INSPECTOR 4
2018-02-15,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000581,1,,,,,,2.0,0.0,INSPECTOR 4
2018-02-15,GRAND AVE @ HUBERT ST,NEVILLE ISLAND,PA,PAM628000582,1,Y,,,,,10.0,593.97,INSPECTOR 4
2018-02-15,BROUGHTON RD/EAST PARK DRIVE,BETHEL PARK,PA,PAM637000364,3,,,,,,1.0,0.0,INSPECTOR 3
2018-02-15,BROUGHTON RD/EAST PARK DRIVE,BETHEL PARK,PA,PAM637000365,3,,,,,,0.0,0.0,INSPECTOR 3
2018-02-15,BROUGHTON RD/EAST PARK DRIVE,BETHEL PARK,PA,PAM637000366,3,,,,,,3.0,0.0,INSPECTOR 3
