OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18245,4,Local drainage basin divide,Local,Local,0.08719129,460.37064331359
18246,4,Local drainage basin divide,Local,Local,0.51454198,2716.78405056227
18247,8,Shoreline,Shoreline,Shoreline,0.48022699,2535.59875389201
18248,4,Local drainage basin divide,Local,Local,2.92983007,15469.4786475658
18249,5,Stream reach basin divide,Stream Reach,Reach,0.43081098,2274.67979389056
18250,4,Local drainage basin divide,Local,Local,0.67539101,3566.06244382458
18251,4,Local drainage basin divide,Local,Local,0.06930319,365.921362508558
18252,4,Local drainage basin divide,Local,Local,0.61285001,3235.84665915079
18253,0,Not a drainage basin divide,No Show,No Show,0.01428989,75.4500042700267
18254,4,Local drainage basin divide,Local,Local,0.329948,1742.12592364107
18255,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.02024996,5386.94455365355
18256,4,Local drainage basin divide,Local,Local,1.42455005,7521.60480205586
18257,4,Local drainage basin divide,Local,Local,0.71450501,3772.58853600794
18258,1,Major drainage basin divide,Major,Major,0.45129698,2382.84684934725
18259,3,Subregional drainage basin divide,Subregional,Subregional,0.865565,4570.18455818362
18260,2,Regional drainage basin divide,Regional,Regional,0.74941402,3956.90479075559
18261,5,Stream reach basin divide,Stream Reach,Reach,0.33982199,1794.26191665586
18262,4,Local drainage basin divide,Local,Local,0.92367202,4876.98649108111
18263,4,Local drainage basin divide,Local,Local,0.51889902,2739.78831542998
18264,1,Major drainage basin divide,Major,Major,1.32397997,6990.6364978331
18265,4,Local drainage basin divide,Local,Local,0.347038,1832.36137353878
18266,4,Local drainage basin divide,Local,Local,1.20972001,6387.34716278242
18267,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.39649999,7373.52033290974
18268,2,Regional drainage basin divide,Regional,Regional,0.71279197,3763.54126694636
18269,2,Regional drainage basin divide,Regional,Regional,0.71385002,3769.13088197253
18270,4,Local drainage basin divide,Local,Local,0.452571,2389.57498943909
18271,8,Shoreline,Shoreline,Shoreline,1.94062995,10246.5447890398
18272,4,Local drainage basin divide,Local,Local,0.72485297,3827.22572460664
18273,8,Shoreline,Shoreline,Shoreline,2.04953002,10821.5130731498
18274,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.53931397,2847.58006308798
18275,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.90096902,4757.11370613935
18276,3,Subregional drainage basin divide,Subregional,Subregional,0.36442399,1924.15972994781
18277,4,Local drainage basin divide,Local,Local,3.38542008,17875.0390910693
18278,4,Local drainage basin divide,Local,Local,0.30555599,1613.33491541305
