OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,Shape_Length,Shape_Area
111,I120,37,3,37,B,5,21, , ,0,18724.3928800821,18395565.7111454
112,D126,31,3,14,B,7,20, , ,0,20325.7468913483,16475882.3730213
113,O115,44,3,37,C,4,12, , ,0,16593.9835995601,9442974.69310802
114,C142,30,3,35,B,6,2, , ,0,20349.8970847465,19093974.4331915
115,C109,30,3,35,B,6,2, , ,0,11369.37990946,7698906.81291359
116,J149,38,3,37,B,5,21,I117, ,0,11784.178005773,6408278.31014469
117,J113,38,3,37,B,5,21, , ,0,17697.1652451799,9070922.99084873
118,K145,40,3,33,C,4,12,J127, ,0,22155.9308397005,22724502.6379111
119,B172,29,3,14,B,7,20, , ,0,38247.0999798705,74494148.4349027
120,K126,40,3,33,C,4,3, , ,0,10670.3149114601,6059869.75353164
121,O131,44,3,37,C,4,12, , ,0,15269.7341694936,10209137.6204187
122,Q137,46,3,19,B,6,22,C139p, ,0,19408.650443122,15458949.2564041
123,O114,44,3,37,C,4,12, , ,0,19802.1890750194,9274992.47051966
124,B151,29,3,14,A,7,20, , ,0,24264.0406784851,33651859.2370855
125,O130,44,3,37,C,4,1, , ,0,21311.4549276203,11145696.7523087
126,B155,29,3,19,B,7,22, , ,0,21777.0039460026,14566921.8611884
127,C104,30,3,35,B,6,2, , ,0,13103.2572484794,9069705.88507643
128,J111,38,3,33,B,5,15, , ,0,12267.6127103005,6297812.30446146
129,D137,31,3,20,B,7,11, ,Dry,0,16154.1452267043,7892661.24856661
130,K144,40,3,33,C,4,15,J110, ,0,11538.2770740622,6932417.22563457
131,J148,38,3,37,B,5,21,I114 & I115P, ,0,12883.164329236,7470884.63435951
132,I115,37,3,37,B,5,21, , ,0,16862.4689155217,13814846.369055
133,D140,31,3,19,B,7,11, , ,0,14843.0622192144,12613481.83851
134,B170,29,3,20,A,7,20, , ,0,15281.9528422659,5517740.37125106
135,J104,38,3,35,C,5,15, , ,0,16218.0138928651,10445875.839297
136,K137,40,3,33,C,4,3,K118p, ,0,17407.5018632918,6814751.73743456
137,D136,31,3,19,B,7,11, , ,0,22300.7397566313,16427476.2357089
138,J147,38,3,37,B,5,15,I105/I106p, ,0,12449.4250129075,7026678.86022438
139,O124,44,3,33,C,4,3, , ,0,20512.6910207237,9620729.3734677
140,J108,38,3,37,B,5,21, , ,0,14832.6336800733,10675606.6301594
141,C111,30,3,35,B,6,2, , ,0,18860.8356727741,15126252.64383
142,B182,29,3,20,A,7,11,D143p, ,0,16967.0005147484,7653457.51961014
143,O126,44,3,33,C,4,3, , ,0,14660.8246145087,9911616.23812479
144,C115,30,3,35,B,6,2, , ,0,19796.053261311,18144979.1063951
145,O113,44,3,33,C,4,1, , ,0,12723.5239407159,8383846.8524756
146,B183,29,3,20,A,7,20,F143, ,0,22167.6001658546,23194260.5154196
147,K119,40,3,33,C,4,15, , ,0,10806.7677127135,6491241.7511841
148,C141,30,3,35,B,6,2, , ,0,11161.7045922782,4852958.30643777
149,J107,38,3,33,B,5,15, , ,0,19042.4325498337,10292136.6819162
150,I111,37,3,37,B,5,21, , ,0,16448.1288890822,9194972.35856253
151,I110,37,3,37,B,5,21, , ,0,10649.9499269713,2406249.41498093
152,C105,30,3,35,B,6,2, , ,0,9965.48039069582,5543085.4780868
153,O111,44,3,33,C,4,1,O107p, ,0,19404.7902612165,10853655.9750274
154,V101,36,3,20,A,7,20,B152, ,0,15168.654184528,10500305.3290745
155,H154,35,3,35,B,6,21,H127p, ,0,14331.4160588907,9375314.18461326
156,O123,44,3,33,C,4,3, , ,0,16265.3619492303,10393973.1687723
157,D122,31,3,20,A,7,20, , ,0,18173.1470658561,11375435.1538834
158,D141,31,3,20,B,7,11, , ,0,11350.9084528244,6683692.05438179
159,C106,30,3,35,B,6,2, , ,0,28866.0276133551,41689976.801369
160,C133,30,3,35,B,7,22, , ,0,24289.3153044042,20111808.8161978
161,V106,36,3,20,A,7,20,B171, ,0,18379.179368787,9375340.32481971
162,C134,30,3,35,B,6,10, ,Dry,0,20476.8261215274,11483240.0568536
163,K131,40,3,33,C,4,3, , ,0,23798.5672524196,13028209.2421368
164,I109,37,3,37,B,5,15, , ,0,9012.68084876386,4888516.8703128
165,O109,44,3,33,C,4,1,O107p, ,0,16916.2949480832,14150153.0374886
