X,Y,OBJECTID,ID1,ID2,REGION
-118.345499278,42.976962181,23656,LavaPlains_22,22,LavaPlains
-118.675787646,42.975580713,23657,LavaPlains_291,291,LavaPlains
-118.537492059,42.977924854,23658,LavaPlains_292,292,LavaPlains
-118.501660753,42.978722646,23659,LavaPlains_292,292,LavaPlains
-118.461782359,42.979963484,23660,LavaPlains_20,20,LavaPlains
-118.411145445,42.980679586,23661,LavaPlains_32,32,LavaPlains
-118.693161884,42.977498454,23662,LavaPlains_298,298,LavaPlains
-118.493698774,42.980436853,23663,LavaPlains_292,292,LavaPlains
-118.443502543,42.981242026,23664,LavaPlains_20,20,LavaPlains
-118.331151028,42.982684523,23665,LavaPlains_32,32,LavaPlains
-118.526065788,42.981378308,23666,LavaPlains_292,292,LavaPlains
-118.372939594,42.983317831,23667,LavaPlains_22,22,LavaPlains
-118.157548645,42.986665113,23668,LavaPlains_302,302,LavaPlains
-118.399492028,42.984123211,23669,LavaPlains_32,32,LavaPlains
-118.134653369,42.987860405,23670,LavaPlains_26,26,LavaPlains
-118.422319883,42.985049277,23671,LavaPlains_20,20,LavaPlains
-118.730691581,42.982652471,23672,LavaPlains_298,298,LavaPlains
-118.166931222,42.989950873,23673,LavaPlains_302,302,LavaPlains
-118.556545915,42.985717288,23674,LavaPlains_24,24,LavaPlains
-118.553809684,42.985915473,23675,LavaPlains_24,24,LavaPlains
-118.529914106,42.986237436,23676,LavaPlains_292,292,LavaPlains
-118.340726731,42.989415296,23677,LavaPlains_22,22,LavaPlains
-118.38304996,42.989233632,23678,LavaPlains_32,32,LavaPlains
-118.148552652,42.992310318,23679,LavaPlains_26,26,LavaPlains
-118.711169683,42.986407553,23680,LavaPlains_298,298,LavaPlains
-118.335095735,42.99270115,23681,LavaPlains_22,22,LavaPlains
-118.162195172,42.994668119,23682,LavaPlains_302,302,LavaPlains
-118.403400254,42.992044895,23683,LavaPlains_32,32,LavaPlains
-118.428622449,42.992054806,23684,LavaPlains_20,20,LavaPlains
-118.170316536,42.994987863,23685,LavaPlains_302,302,LavaPlains
