State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alabama (AL),36078,89,73,81,57,54,47,41,
Alabama (AL),36079,48,60,53,56,41,34,28,
Alabama (AL),36080,14,15,19,11,18,*,*,
Alabama (AL),36081,75,77,81,59,50,46,43,
Alabama (AL),36082,*,*,*,*,*,*,*,
Alabama (AL),36083,52,58,45,44,35,37,36,
Alabama (AL),36087,*,*,*,*,*,*,*,
Alabama (AL),36088,12,11,12,*,*,*,*,
Alabama (AL),36089,35,43,27,26,29,25,27,
Alabama (AL),36091,29,27,24,26,14,18,*,
Alabama (AL),36092,116,134,95,90,86,79,70,
Alabama (AL),36093,43,66,55,52,37,44,40,
Alabama (AL),36101,*,*,*,*,*,*,*,
Alabama (AL),36102,*,*,*,*,*,*,*,
Alabama (AL),36103,*,*,*,*,*,*,*,
Alabama (AL),36104,30,21,29,28,23,18,18,
Alabama (AL),36105,73,59,49,37,41,41,37,
Alabama (AL),36106,72,66,64,59,53,39,44,
Alabama (AL),36107,27,24,29,19,20,22,15,
Alabama (AL),36108,111,125,121,85,97,61,72,
Alabama (AL),36109,187,208,157,135,110,100,100,
Alabama (AL),36110,52,63,48,39,38,35,22,
Alabama (AL),36111,60,64,59,52,48,33,32,
Alabama (AL),36112,*,*,*,*,*,*,*,
Alabama (AL),36113,*,*,*,*,*,*,*,
Alabama (AL),36114,*,*,*,*,*,*,*,
Alabama (AL),36115,*,*,*,*,*,*,*,
Alabama (AL),36116,135,124,135,121,109,87,52,
Alabama (AL),36117,237,199,222,179,175,137,126,
Alabama (AL),36118,*,*,*,*,*,*,*,
Alabama (AL),36119,*,*,*,*,*,*,*,
Alabama (AL),36120,*,*,*,*,*,*,*,
Alabama (AL),36121,*,*,*,*,*,*,*,
Alabama (AL),36123,*,*,*,*,*,*,*,
Alabama (AL),36124,*,*,*,*,*,*,*,
Alabama (AL),36125,*,*,*,*,*,*,*,
Alabama (AL),36130,*,*,*,*,*,*,*,
Alabama (AL),36131,*,*,*,*,*,*,*,
Alabama (AL),36132,*,*,*,*,*,*,*,
Alabama (AL),36133,*,*,*,*,*,*,*,
Alabama (AL),36134,*,*,*,*,*,*,*,
Alabama (AL),36135,*,*,*,*,*,*,*,
Alabama (AL),36140,*,*,*,*,*,*,*,
Alabama (AL),36141,*,*,*,*,*,*,*,
Alabama (AL),36142,*,*,*,*,*,*,*,
Alabama (AL),36177,*,*,*,*,*,*,*,
Alabama (AL),36191,*,*,*,*,*,*,*,
Alabama (AL),36201,116,91,99,74,71,65,46,
Alabama (AL),36202,*,11,17,*,*,*,*,
Alabama (AL),36203,138,97,94,88,83,82,51,
Alabama (AL),36204,*,*,*,*,*,*,*,
Alabama (AL),36205,*,*,*,*,*,*,*,
Alabama (AL),36206,80,81,79,58,59,52,48,
Alabama (AL),36207,116,120,118,92,92,67,65,
Alabama (AL),36250,40,24,22,27,19,24,15,
Alabama (AL),36251,35,45,36,42,27,24,24,
Alabama (AL),36253,*,*,*,*,*,*,*,
Alabama (AL),36254,*,*,*,*,*,*,*,
Alabama (AL),36255,*,*,*,*,*,*,*,
Alabama (AL),36256,*,15,12,*,*,*,*,
Alabama (AL),36257,*,*,*,*,*,*,*,
Alabama (AL),36258,13,14,24,*,16,*,*,
Alabama (AL),36260,26,19,29,20,22,15,*,
Alabama (AL),36261,*,*,*,*,*,*,*,
Alabama (AL),36262,16,*,*,*,*,*,*,
Alabama (AL),36263,*,*,*,*,*,*,*,
Alabama (AL),36264,73,49,39,49,47,47,26,
Alabama (AL),36265,121,126,101,95,85,72,61,
