OBJECTID,COMMENT,STEWARD1,STEWARD2,GlobalID,Shape_Length,Shape_Area
161,,BLM Cadastral - NV,,{138BDBB6-0DE4-4CAF-A5D3-D8C8F33AC874},1454.78539624867,112583.626939221
162,,BLM Cadastral - NV,,{91D25333-11AC-4DD3-9B9F-BE67460EB31F},1454.56440446076,128389.740913922
163,,BLM Cadastral - NV,,{1B5DFC48-B77A-47A9-87F5-6526BDFB360A},1470.49904947387,97141.512305196
164,,BLM Cadastral - NV,,{F73A3870-D05A-4F70-B443-4E0CAE7F89E7},488.332403982782,10195.4163608651
165,,BLM Cadastral - NV,,{A8C99708-5DE2-4A6C-BE2C-79AD8F420CA0},1469.20849368603,132829.568948558
166,,BLM Cadastral - NV,,{993286C5-EE64-4EF1-8EF6-95493813C4BD},367.758112978337,5782.29401983288
167,,BLM Cadastral - NV,,{1CA05F4A-798B-4E9E-ABF5-112E0F8260AD},1446.29723321697,123342.053276195
168,,BLM Cadastral - NV,,{1F14A4D2-726A-4314-A9CF-B3EC83497077},1554.45334701382,103666.806629884
169,,BLM Cadastral - NV,,{04209AA6-9DCB-4579-BA3C-7B4C10FE0662},344.668932679282,5143.14589789386
170,,BLM Cadastral - NV,,{C8E898A1-6F3C-4168-86F7-1076DC489F7C},610.477448191476,15996.9945312684
171,,BLM Cadastral - NV,,{B4D6837D-E8C2-4E56-B504-C2AEC5A9C47F},1436.78968623076,120204.524523854
172,,BLM Cadastral - NV,,{C0CA3929-3D5B-432E-90A7-9226D34DA915},703.448964072215,21139.4244764011
173,,BLM Cadastral - NV,,{46102F2D-955D-4F4E-9E82-8D0D420C0BCC},451.741118652779,8733.27143437504
174,,BLM Cadastral - NV,,{CEFF20C1-EF78-4F32-8C6A-9F18F4ABCFD0},1609.03732189296,161670.034403636
175,,BLM Cadastral - NV,,{C3EB623E-77E4-4CDB-80C8-63C20750D013},1497.90889895373,143916.860372813
176,,BLM Cadastral - NV,,{FB2F182A-165E-45C7-B5EA-6918F79B05B2},1497.56785098494,121952.52057234
177,,BLM Cadastral - NV,,{6C2F3316-8B1D-41F8-BC11-0EB23E62E081},1416.84336073691,86345.6696387609
178,,BLM Cadastral - NV,,{B3ECA11A-8D75-4DE0-8AAA-4B8A64E0E002},1093.62956880217,50562.5851647333
179,,BLM Cadastral - NV,,{EF682D8E-0980-4A27-8600-09E0843440D6},802.55225795618,27199.5131161363
180,,BLM Cadastral - NV,,{57EF1CBB-2EA0-4679-BAB5-6408F8B19E77},529.150670646221,11791.7810754451
181,,BLM Cadastral - NV,,{A10361FB-A1A5-4410-AC3B-8B351C0142FE},1609.21230643224,161846.426290626
182,Gap,BLM Cadastral - NV,,{B4C7D649-28CB-4645-8120-E883C2003C9A},23336.5182635807,915234.935080237
183,Overlap,BLM Cadastral - NV,,{96CABB5D-A667-4328-A5AF-A8BE59131AF3},1368.41441086498,81277.264391082
184,Gap,BLM Cadastral - NV,,{390D262F-AAC0-4669-9DFF-8878DC061567},5039.19503343527,150310.579401586
185,,BLM Cadastral - NV,,{5371FC02-C513-4D39-8F86-25CCCA6A3F7D},1128.45955685685,78906.3122409271
186,Overlapping Second Division,BLM Cadastral - NV,,{41CC0859-16E9-4ACC-A713-ABDADD8D8F88},909.372507418229,45103.4608286543
187,,BLM Cadastral - NV,,{221B23BE-DCEC-487C-9D68-5A00A6D29E9A},905.380188565168,46202.7587891029
