OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
20,261112904001,8.0,7.0,,,,,,,,0,0,0,,,,0.0,78696321.4921875,43059.3220239543
21,261635761003,34.0,16.0,7.0,9.0,18.0,7.0,14.0,20.0,,0,0,0,0.4375,0.388888888888889,,0.0,5081847.10595703,12229.2774312767
22,261635952002,,,,,,,,,,0,0,0,,,,,4908139.1237793,8854.15755540172
23,261635840001,56.0,33.0,13.0,20.0,23.0,9.0,22.0,34.0,,0,0,0,0.393939393939394,0.391304347826087,,0.0,25718159.8139648,21036.4182153201
24,261635844001,47.0,28.0,10.0,18.0,19.0,9.0,19.0,28.0,,0,0,0,0.357142857142857,0.473684210526316,,0.0,27508216.8547363,21012.4682828821
25,261635764003,20.0,8.0,,,12.0,,8.0,12.0,,0,0,0,,,,0.0,5376254.13647461,11694.3691088636
26,261635767002,12.0,,,,9.0,,,7.0,,0,0,0,,,,0.0,8769266.96533203,14399.8903126083
27,261635765001,11.0,7.0,,,,,,6.0,,0,0,0,,,,0.0,3260715.83398438,7239.25136594186
28,261635801001,18.0,9.0,,6.0,9.0,,7.0,11.0,,0,0,0,,,,0.0,56277477.4177246,31924.3068694133
29,261635778004,35.0,18.0,,14.0,17.0,6.0,10.0,25.0,,0,0,0,,0.352941176470588,,0.0,4204260.84228516,8081.8900096542
30,261635778003,46.0,23.0,9.0,14.0,23.0,9.0,18.0,28.0,,0,0,0,0.391304347826087,0.391304347826087,,0.0,7100683.82006836,13385.2237749515
31,261635774005,35.0,20.0,8.0,12.0,15.0,7.0,15.0,20.0,,0,0,0,0.4,0.466666666666667,,0.0,2311470.15380859,6520.88081577377
32,261635779002,36.0,17.0,6.0,11.0,19.0,8.0,14.0,22.0,,0,0,0,0.352941176470588,0.421052631578947,,0.0,3903934.00830078,7971.86191918515
33,261635815001,27.0,13.0,,10.0,14.0,,8.0,19.0,,0,0,0,,,,0.0,5073557.65698242,9139.11226037028
34,261635815002,26.0,12.0,,9.0,14.0,,7.0,19.0,,0,0,0,,,,0.0,4145955.88574219,8519.6709502234
35,261635846001,51.0,26.0,9.0,17.0,25.0,12.0,21.0,30.0,,0,0,0,0.346153846153846,0.48,,0.0,6744081.33007813,13068.3751058582
36,261635766003,31.0,15.0,,12.0,16.0,7.0,10.0,21.0,,0,0,0,,0.4375,,0.0,9139496.29272461,14366.4982061651
37,261635767001,17.0,,,,12.0,,7.0,10.0,,0,0,0,,,,0.0,5680241.80541992,13167.3359110704
38,261635692001,30.0,11.0,,7.0,19.0,9.0,13.0,17.0,,0,0,0,,0.473684210526316,,0.0,3112889.16455078,9265.96251433596
39,261635692004,20.0,11.0,,7.0,9.0,,8.0,12.0,,0,0,0,,,,0.0,3137787.10180664,9274.2326407805
40,261635704001,50.0,24.0,8.0,16.0,26.0,11.0,19.0,31.0,,0,0,0,0.333333333333333,0.423076923076923,,0.0,10505236.7145996,13266.5685368329
41,261635730001,55.0,27.0,9.0,18.0,28.0,11.0,20.0,35.0,,0,0,0,0.333333333333333,0.392857142857143,,0.0,7016139.82885742,10593.0078664865
42,261635722005,70.0,32.0,11.0,21.0,38.0,16.0,27.0,43.0,,0,0,0,0.34375,0.421052631578947,,0.0,6329959.23681641,11489.7139829084
43,261635795002,47.0,25.0,10.0,15.0,22.0,10.0,20.0,27.0,,0,0,0,0.4,0.454545454545455,,0.0,3965962.61962891,8531.87642606634
44,261635616002,9.0,,,,6.0,,,6.0,,0,0,0,,,,0.0,5891293.36621094,13068.7130900653
45,261635658002,55.0,32.0,10.0,22.0,23.0,9.0,19.0,36.0,,0,0,0,0.3125,0.391304347826087,,0.0,6509870.83398438,11209.5636566529
46,261635658003,47.0,23.0,11.0,12.0,24.0,11.0,22.0,25.0,,0,0,0,0.478260869565217,0.458333333333333,,0.0,5231891.29492188,10549.8267799875
47,261635736005,33.0,17.0,,12.0,16.0,7.0,12.0,21.0,,0,0,0,,0.4375,,0.0,2000094.00292969,6014.7149991859
48,261635734002,33.0,19.0,7.0,12.0,14.0,7.0,14.0,19.0,,0,0,0,0.368421052631579,0.5,,0.0,2067520.67382813,6742.08073247189
49,261635740001,43.0,22.0,7.0,15.0,21.0,9.0,16.0,27.0,,0,0,0,0.318181818181818,0.428571428571429,,0.0,3306705.78808594,7380.33234087013
50,261635742022,41.0,23.0,6.0,17.0,18.0,6.0,12.0,29.0,6.0,0,0,0,0.260869565217391,0.333333333333333,0.146341463414634,0.0,17556868.3227539,20864.5302936191
51,261635762002,19.0,8.0,,,11.0,,7.0,12.0,,0,0,0,,,,0.0,3725475.93652344,7933.93854118967
52,261635777001,40.0,17.0,6.0,11.0,23.0,10.0,16.0,24.0,,0,0,0,0.352941176470588,0.434782608695652,,0.0,4571004.85498047,8862.75987554764
53,261635780002,25.0,11.0,,7.0,14.0,7.0,11.0,14.0,8.0,0,0,0,,0.5,0.32,0.0,3116044.60205078,8760.42154205281
54,261635767003,15.0,8.0,,,7.0,,6.0,9.0,,0,0,0,,,,0.0,5369832.33691406,12619.8878759748
55,261635755004,18.0,9.0,,,9.0,,8.0,10.0,,0,0,0,,,,0.0,3005496.98364258,8046.21875115863
56,261635773004,29.0,15.0,,10.0,14.0,7.0,12.0,17.0,,0,0,0,,0.5,,0.0,2821627.67016602,7414.11509211881
57,261635653001,20.0,11.0,,7.0,9.0,,7.0,13.0,,0,0,0,,,,0.0,16248491.5361328,24354.5882866108
58,261635839001,24.0,10.0,,6.0,14.0,6.0,10.0,14.0,,0,0,0,,0.428571428571429,,0.0,7866924.36401367,11241.6769179424
59,261635652002,18.0,11.0,,8.0,7.0,,,13.0,,0,0,0,,,,0.0,19469050.0603027,19696.4690009504
60,261635531003,35.0,18.0,7.0,11.0,17.0,8.0,15.0,20.0,,0,0,0,0.388888888888889,0.470588235294118,,0.0,3081462.44238281,8096.94806303709
61,261635531002,49.0,23.0,8.0,15.0,26.0,12.0,20.0,29.0,,0,0,0,0.347826086956522,0.461538461538462,,0.0,3603646.04248047,9398.22466036434
62,261635531001,14.0,,,,9.0,,,9.0,,0,0,0,,,,0.0,2718189.81787109,7399.58122215375
