Reference_Id,Account,Agency_Application,Relief_Program,Application_Date,Relief_Amount,Household_Income,Household_Size,Financial_Hardship,Job_Loss,Reduced_Hours,Account_Type,Zip,Country,State,Location,Council_District,ObjectId
LZ3N-VYRK-9FMV,6002300000.0,False,MCR,2021/08/26 00:00:00+00,955.77,3000.0,3.0,True,False,True,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",3.0,4898
L932-9ZKR-P6WM,270840000.0,True,MCR,2021/09/29 00:00:00+00,227.74,3000.0,1.0,True,True,True,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",25.0,4899
N4ML-PK3Q-M2JP,3887566578.0,True,MCR,2021/08/31 00:00:00+00,1000.0,700.0,2.0,True,False,True,residential,40211.0,USA,Kentucky,"40211, Kentucky, USA",4.0,4900
322L-4ZZZ-334F,6195390154.0,True,MCR,2021/08/26 00:00:00+00,177.91,3000.0,5.0,True,False,False,residential,40291.0,USA,Kentucky,"40291, Kentucky, USA",22.0,4901
WYLY-WYLR-QGFH,2682113280.0,True,MCR,2021/09/09 00:00:00+00,1000.0,4000.0,4.0,True,False,True,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",12.0,4902
YP9V-QKLR-W93C,5145810000.0,False,MCR,2021/09/30 00:00:00+00,683.73,3000.0,5.0,True,False,True,residential,40211.0,USA,Kentucky,"40211, Kentucky, USA",5.0,4903
9MVQ-92M4-TFJP,8508985083.0,False,MCR,2022/01/10 00:00:00+00,467.68,3000.0,5.0,True,False,True,residential,40229.0,USA,Kentucky,"40229, Kentucky, USA",23.0,4904
M4M2-NWP4-WXZZ,8298719418.0,False,MCR,2021/09/22 00:00:00+00,385.9,2500.0,1.0,True,False,True,residential,40219.0,USA,Kentucky,"40219, Kentucky, USA",13.0,4905
9MPK-QKYP-RCR4,9414720000.0,False,MCR,2021/08/31 00:00:00+00,1000.0,3200.0,5.0,True,True,True,residential,40218.0,USA,Kentucky,"40218, Kentucky, USA",2.0,4906
YLLV-2NYR-4QJL,4998236660.0,False,MCR,2021/08/25 00:00:00+00,1000.0,250.0,3.0,True,False,False,residential,40219.0,USA,Kentucky,"40219, Kentucky, USA",2.0,4907
