OBJECTID,DFIRM_ID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,AR_REVERT,SOURCE_CIT,HYDRO_ID,CST_MDL_ID
789,50027C,50027C_4802,AE,FLOODWAY,T,,50027C_FIS1,,
790,50027C,50027C_6311,AE,FLOODWAY,T,,50027C_FIS1,,
791,50021C,50021C_7863,AE,FLOODWAY,T,,50021C_FIS1,,
792,50027C,50027C_9257,AE,FLOODWAY,T,,50027C_FIS1,,
793,50025C,50025C_2381,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
794,50021C,50021C_7422,AE,FLOODWAY,T,,50021C_FIS1,,
795,50021C,50021C_7368,AE,FLOODWAY,T,,50021C_FIS1,,
796,50027C,50027C_7971,AE,FLOODWAY,T,,50027C_FIS1,,
797,50021C,50021C_7171,AE,FLOODWAY,T,,50021C_FIS1,,
798,50021C,50021C_7681,AE,FLOODWAY,T,,50021C_FIS2,,
799,50025C,50025C_2468,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
800,50027C,50027C_9311,AE,FLOODWAY,T,,50027C_FIS1,,
801,50021C,50021C_5961,AE,FLOODWAY,T,,50021C_FIS1,,
802,50027C,50027C_9228,AE,FLOODWAY,T,,50027C_FIS1,,
803,50025C,50025C_2468,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
804,50027C,50027C_8141,AE,FLOODWAY,T,,50027C_FIS1,,
805,500056,500056_6719,AE,FLOODWAY,T,,500056_FIS1,,
806,500056,500056_6729,AE,FLOODWAY,T,,500056_FIS1,,
807,50027C,50027C_9148,AE,FLOODWAY,T,,50027C_FIS1,,
808,50021C,50021C_7813,AE,FLOODWAY,T,,50021C_FIS1,,
809,500056,500056_6719,AE,FLOODWAY,T,,500056_FIS1,,
810,50021C,50021C_7054,AE,FLOODWAY,T,,50021C_FIS1,,
811,500056,500056_6719,AE,FLOODWAY,T,,500056_FIS1,,
812,50021C,50021C_5079,AE,FLOODWAY,T,,50021C_FIS1,,
813,50025C,50025C_2633,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
814,50025C,50025C_2740,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
815,50027C,50027C_9157,AE,FLOODWAY,T,,50027C_FIS1,,
816,50027C,50027C_9265,AE,FLOODWAY,T,,50027C_FIS1,,
817,50027C,50027C_8820,AE,FLOODWAY,T,,50027C_FIS1,,
818,50021C,50021C_7795,AE,FLOODWAY,T,,50021C_FIS2,,
819,50021C,50021C_7399,AE,FLOODWAY,T,,50021C_FIS1,,
820,50021C,50021C_7863,AE,FLOODWAY,T,,50021C_FIS1,,
821,50027C,50027C_9150,AE,FLOODWAY,T,,50027C_FIS1,,
822,50027C,50027C_9151,AE,FLOODWAY,T,,50027C_FIS1,,
823,50027C,50027C_6275,AE,FLOODWAY,T,,50027C_FIS1,,
824,50027C,50027C_9158,AE,FLOODWAY,T,,50027C_FIS1,,
825,50027C,50027C_9159,AE,FLOODWAY,T,,50027C_FIS1,,
826,50027C,50027C_9160,AE,FLOODWAY,T,,50027C_FIS1,,
827,50021C,50021C_5954,AE,FLOODWAY,T,,50021C_FIS1,,
828,50027C,50027C_9297,AE,FLOODWAY,T,,50027C_FIS1,,
829,50027C,50027C_8609,AE,FLOODWAY,T,,50027C_FIS1,,
830,50021C,50021C_7671,AE,FLOODWAY,T,,50021C_FIS1,,
831,50021C,50021C_7674,AE,FLOODWAY,T,,50021C_FIS1,,
832,50027C,50027C_8135,AE,FLOODWAY,T,,50027C_FIS1,,
833,50021C,50021C_7399,AE,FLOODWAY,T,,50021C_FIS1,,
834,50021C,50021C_7688,AE,FLOODWAY,T,,50021C_FIS1,,
835,50027C,50027C_8277,AE,FLOODWAY,T,,50027C_FIS1,,
836,50027C,50027C_9152,AE,FLOODWAY,T,,50027C_FIS1,,
837,50027C,50027C_8324,AE,FLOODWAY,T,,50027C_FIS1,,
838,50021C,50021C_7054,AE,FLOODWAY,T,,50021C_FIS1,,
839,50027C,50027C_5105,AE,FLOODWAY,T,,50027C_FIS1,,
840,50025C,50025C_2683,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
841,50021C,50021C_7063,AE,FLOODWAY,T,,50021C_FIS1,,
842,50027C,50027C_8780,AE,FLOODWAY,T,,50027C_FIS1,,
843,50023C,50023C_1568,AE,FLOODWAY,T,,50023C_FIS1,,
844,50027C,50027C_5105,AE,FLOODWAY,T,,50027C_FIS1,,
845,50027C,50027C_5111,AE,FLOODWAY,T,,50027C_FIS1,,
846,500027,500027_6643,AE,FLOODWAY,T,,500027_FIS1,,
847,500066,500066_6772,AE,FLOODWAY,T,,500066_FIS1,,
848,50023C,50023C_2020,AE,FLOODWAY,T,,50023C_STUDY3,,
849,50023C,50023C_2535,AE,FLOODWAY,T,,50023C_FIS1,,
850,50023C,50023C_2331,AE,FLOODWAY,T,,50023C_STUDY3,,
851,50023C,50023C_2573,AE,FLOODWAY,T,,50023C_STUDY3,,
852,50023C,50023C_2246,AE,FLOODWAY,T,,50023C_FIS1,,
853,50023C,50023C_1550,AE,FLOODWAY,T,,50023C_FIS1,,
854,50023C,50023C_1752,AE,FLOODWAY,T,,50023C_FIS1,,
855,50023C,50023C_1941,AE,FLOODWAY,T,,50023C_FIS1,,
