AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2319,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,24.0,207
2320,POLICE OFFICER                     ,M,W ,50 - 59,54,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,21.0,208
2321,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,1ST PLATOON                                            ,20.0,209
2323,POLICE OFFICER                     ,M,W ,50 - 59,53,7TH DIVISION                                           ,2ND PLATOON                                            ,24.0,210
2324,POLICE OFFICER                     ,M,B ,40 - 49,49,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,20.0,211
2325,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,2ND PLATOON                                            ,24.0,212
2327,POLICE MAJOR                       ,F,B ,40 - 49,48,8TH DIVISION                                           ,STAFF                                                  ,23.0,213
2329,POLICE OFFICER                     ,M,W ,40 - 49,49,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,18.0,214
2331,POLICE OFFICER                     ,M,W ,40 - 49,49,4TH DIVISION                                           ,SUPPORT PLATOON                                        ,23.0,215
2333,POLICE OFFICER                     ,M,W ,50 - 59,50,NARCOTICS                                              ,CANINE SQUAD                                           ,24.0,216
2337,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25.0,217
2340,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,3RD PLATOON                                            ,24.0,218
2341,POLICE OFFICER                     ,M,W ,OVER 60,65,5TH DIVISION                                           ,2ND PLATOON                                            ,24.0,219
2342,POLICE OFFICER                     ,F,W ,50 - 59,54,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23.0,220
2346,POLICE OFFICER                     ,M,W ,50 - 59,58,8TH DIVISION                                           ,1ST PLATOON                                            ,24.0,221
2352,POLICE SERGEANT                    ,M,W ,50 - 59,53,2ND DIVISION                                           ,1ST PLATOON                                            ,23.0,222
2355,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,1ST PLATOON                                            ,23.0,223
2356,POLICE SERGEANT                    ,M,W ,50 - 59,51,RIVER PATROL                                           ,STAFF                                                  ,18.0,224
2357,POLICE LIEUTENANT                  ,F,W ,50 - 59,55,3RD DIVISION                                           ,STAFF                                                  ,23.0,225
2359,POLICE SERGEANT                    ,M,W ,40 - 49,44,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,18.0,226
2360,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,7TH DIVISION                                           ,STAFF                                                  ,18.0,227
2361,POLICE SERGEANT                    ,M,W ,40 - 49,48,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,23.0,228
2362,POLICE OFFICER                     ,M,W ,40 - 49,46,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,23.0,229
2365,POLICE OFFICER                     ,M,W ,50 - 59,53,SWAT UNIT                                              ,SQUAD 2                                                ,22.0,230
2367,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,23.0,231
2368,POLICE MAJOR                       ,M,B ,40 - 49,46,3RD DIVISION                                           ,STAFF                                                  ,10.0,232
2369,POLICE OFFICER                     ,M,W ,40 - 49,49,7TH DIVISION                                           ,2ND PLATOON                                            ,18.0,233
2372,POLICE OFFICER                     ,M,W ,40 - 49,49,1ST DIVISION                                           ,BIKE PLATOON                                           ,24.0,234
2373,POLICE OFFICER                     ,M,W ,40 - 49,48,6TH DIVISION                                           ,DETECTIVES                                             ,22.0,235
2378,POLICE OFFICER                     ,M,B ,40 - 49,40,NARCOTICS                                              ,SQUAD 3                                                ,18.0,236
2379,POLICE OFFICER                     ,M,U ,50 - 59,50,CANINE UNIT                                            ,2ND PLATOON                                            ,19.0,237
2380,POLICE OFFICER                     ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,21.0,238
2382,POLICE SERGEANT                    ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,23.0,239
2387,POLICE OFFICER                     ,M,W ,40 - 49,49,TRAINING                                               ,BASIC ACADEMY                                          ,23.0,240
2394,POLICE OFFICER                     ,M,W ,50 - 59,55,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,23.0,241
2395,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,TRAFFIC                                                ,STAFF                                                  ,19.0,242
2397,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,1ST PLATOON                                            ,23.0,243
2399,POLICE OFFICER                     ,M,W ,OVER 60,61,7TH DIVISION                                           ,2ND PLATOON                                            ,21.0,244
2400,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,1ST PLATOON                                            ,19.0,245
2402,POLICE OFFICER                     ,M,W ,40 - 49,44,AIR PATROL                                             ,STAFF                                                  ,20.0,246
2403,POLICE OFFICER                     ,F,W ,50 - 59,54,1ST DIVISION                                           ,1ST PLATOON                                            ,22.0,247
2404,POLICE OFFICER                     ,F,W ,40 - 49,45,1ST DIVISION                                           ,BIKE PLATOON                                           ,21.0,248
2406,POLICE OFFICER                     ,F,B ,50 - 59,59,1ST DIVISION                                           ,BIKE PLATOON                                           ,20.0,249
2407,POLICE SERGEANT                    ,M,W ,40 - 49,44,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,20.0,250
2410,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,2ND PLATOON                                            ,21.0,251
2413,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,1ST PLATOON                                            ,6.0,252
