OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1848, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,11.45610737,,{F04D6E8F-06D8-44E4-89D8-3C2A4B1205BB},2284.75509867907,46361.2639693565
1849, ,Priority Area 4: Dispersed Tres Rios, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,900691.7845048,,{941D173D-6193-4E07-ABF5-3F26CC87AEEE},6.99537060617534,1.60716290102105
1850, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.08277985,,{F04B98E7-A154-4A8D-86B1-498E1FB9B1CA},742.666909432914,334.994040133871
1851, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.01777128,,{59CFC843-1806-4D7C-B2CB-4F023FD6252B},89.3085226252628,71.9193155097497
1852, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,2.43393896,,{5588886F-5080-4BFD-A396-EED5B08F67CE},1754.74644232213,9849.80216534363
1853, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,39.80953796,,{98B37355-BD51-492D-B32D-638A7CC19C05},1605.51853459652,161103.524569953
1854, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.38355927,,{CCC4566D-1492-451F-8A5A-29B6D3E6C5D6},234.452201560883,1552.21184430347
1855, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.04432132,,{6A851BCA-8927-48BC-8539-A91DCA3F73A4},89.0092649417627,179.359410833453
1856, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,99.20332749,,{36443ADF-9ABD-456B-A860-F3C139D7ED59},4370.1967857388,393168.24498265
1857, ,Priority Area 4: Dispersed Tres Rios, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,900691.7845048,,{86FBE202-8F51-443C-94EC-4C7DDC158343},2038.43929261601,42454.1869901671
1858, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,2.51578263,,{33C72E37-8113-4F73-AB8C-6DB6CA310275},508.535735971425,10181.0011137302
1859, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,15.58352398,,{2E9A06F6-CD3A-42A7-B6A4-AE46627A794F},1871.5346896692,63064.2981945716
1860, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,361.30124273,,{41D16242-59E2-47A3-8AA5-ED8EADAD20CA},5646.09853272531,1462134.19517848
1861, ,Priority Area 1: Cortez-Mancos,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,40.07867493,,{AEB78D00-6653-44F8-A723-2181137A6C84},1610.94447651902,162192.622228601
1862, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.00524317,,{A8066169-1D03-4D29-9895-7C3D12CD6890},21.4600043446651,21.2184011863176
1863, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.43369399,,{430AA59F-BAAB-4398-9792-EC9BCF32A8C8},188.510433573386,1755.09959023501
1864, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,23.14083195,,{05652EF9-ACA6-4E1F-9A3A-FD28F858B634},1828.91805795472,93647.6170902018
1865, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,39.46506352,,{19B7E652-0F99-478C-9ED6-8BAEC84904B8},1599.65379395148,159709.426718334
1866, ,Priority Area 1: Cortez-Mancos,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,4700.7810501,,{7022EDE4-5938-473A-AAC4-D59C83D30533},43055.6909901343,18916314.4838436
