OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
337,7203,West Branch Saugatuck River,72,Saugatuck,7,Southwest Coast,7629.06005859,11.92039966,130934.246481473,332321913.77684
338,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,46.27560043,0.0723057,8829.5172504258,2015766.45283859
339,7301,Comstock Brook,73,Norwalk,7,Southwest Coast,4698.60009765,7.34155988,89672.0902960847,204671020.943462
340,7107,Cricker Brook,71,Southwest Eastern,7,Southwest Coast,4564.91015625,7.13266992,91987.4625416043,198847476.322298
341,7103,Yellow Mill Channel,71,Southwest Eastern,7,Southwest Coast,2894.79003906,4.52309989,64084.0554335409,126096937.70008
342,7405,Rippowam River,74,Southwest Western Complex,7,Southwest Coast,15060.79980468,23.53249931,219461.619474698,656048455.545161
343,7102,Bruce Brook,71,Southwest Eastern,7,Southwest Coast,2199.39990234,3.43655991,52961.5066333256,95805802.3829393
344,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,608.42999267,0.95067197,24869.099415125,26503208.9329844
345,7109,Sasco Brook,71,Southwest Eastern,7,Southwest Coast,6533.77978515,10.20899963,99214.8633000486,284611415.797079
346,7407,Mianus River,74,Southwest Western Complex,7,Southwest Coast,18331.90039062,28.64360046,236319.925660154,798536860.380307
347,7401,Fivemile River,74,Southwest Western Complex,7,Southwest Coast,7993.72021484,12.49020004,148573.635131155,348206515.171561
348,7101,Lewis Gut,71,Southwest Eastern,7,Southwest Coast,2548.32006835,3.98175001,52389.7345475273,111004793.399491
349,7406,East Branch Mianus River,74,Southwest Western Complex,7,Southwest Coast,3448.97998046,5.38903999,90348.6770774177,150237677.205351
350,7411,Byram River,74,Southwest Western Complex,7,Southwest Coast,11948.40039062,18.66939926,213364.012341458,520472576.515048
351,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,1781.02001953,2.78284001,82022.5951470651,77581234.4276758
352,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,39.38010025,0.0615313,6897.22949100876,1715394.57814885
353,7403,Noroton River,74,Southwest Western Complex,7,Southwest Coast,7058.04003906,11.02820014,105301.613764132,307448099.255335
354,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,240.65199279,0.37601798,21291.884543361,10482791.9564941
355,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,4683.33984375,7.31771993,106568.468336119,204006375.612978
356,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,135.12300109,0.21112999,12718.8801182189,5885963.30784968
357,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,412.64801025,0.64476197,47733.1764630655,17974926.8238653
358,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,2065.11010742,3.2267301,64418.200003365,89956167.6008215
359,7410,East Branch Byram River,74,Southwest Western Complex,7,Southwest Coast,7227.02001953,11.29220008,95169.1957300916,314808855.932996
360,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,337.70999145,0.52767199,24768.4497904475,14710637.1158628
361,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,2066.26000976,3.22853994,116604.960907983,90006475.207984
362,7409,Horseneck Brook,74,Southwest Western Complex,7,Southwest Coast,4173.25976562,6.52070999,123479.066801592,181786988.64239
363,7402,Darien River,74,Southwest Western Complex,7,Southwest Coast,3976.05004882,6.2125802,69915.9088868231,173196654.502573
364,7408,Greenwich Creek,74,Southwest Western Complex,7,Southwest Coast,5692.58984375,8.89466953,94396.8486183658,247969196.730159
365,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,1668.38000488,2.60683989,108762.496144891,72674488.756583
366,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,1976.19995117,3.08782005,93005.2576087084,86083367.9682161
367,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,3519.94995117,5.4999299,96296.2437539517,153329212.231354
368,7412,Blind Brook,74,Southwest Western Complex,7,Southwest Coast,7328.08007812,11.45009994,116483.922186476,319211055.218344
369,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,3875.77001953,6.05589008,150184.757979354,168828595.164957
370,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,643.77398681,1.00590002,43917.9314708495,28042811.0430036
371,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,1218.64001464,1.90411996,67195.2581344938,53083750.1561141
372,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,374.05899047,0.58446699,35016.7344352638,16293995.9122233
373,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,183.03599548,0.285993,24234.8251053722,7973038.24041085
374,7000,Southwest Shoreline,70,Southwest Shoreline,7,Southwest Coast,1283.02001953,2.00471997,99161.1877795696,55888395.0523209
