OBJECTID,SHAPE_Length,SHAPE_Area
917,3203.15889398125,586777.163423817
918,4022.64792366437,590826.723405839
919,6471.73160687711,612813.214398736
920,4917.32227752825,714444.447837619
921,13170.159484336,1522977.19348878
922,245.084098613845,825.958973890907
923,239.355595574115,1119.62973802414
924,450.791557076114,5237.09841920513
925,5224.90682646569,1231141.84155862
926,11511.6343600207,1551371.44063783
927,2960.84968391259,78794.6941851246
928,2279.11028883853,132464.420869114
929,14879.8168685976,1397797.58665452
930,186.091718511304,434.657488022061
931,12670.1634032164,3438866.32655769
932,9739.33264068597,1825001.62598026
933,5590.47813699964,167633.770865656
934,846.836545416649,24478.9118502542
935,5960.90521237175,298233.683945275
936,5794.40949794203,867081.932417269
937,10907.5302057022,3848945.62012028
938,13544.2739206225,677335.297295803
939,2031.46042117203,66677.9353652369
940,57322.425030865,3477658.13825412
941,534.60781222509,13684.0999062117
942,567.103558669353,22207.1082525073
