OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
11558,1346.90544,0.0,0.0,1.0,1.0,1.0,0.0,SC,1346.90544066055
11559,1321.4525,0.0,0.0,0.0,0.0,1.0,1.0,SX,1321.4524953475
11560,1305.96057,0.0,0.0,1.0,1.0,1.0,1.0,SC,1305.96056980233
11575,1079.73974,0.0,0.0,0.0,0.0,1.0,1.0,SX,1079.73973568817
11584,1321.30565,0.0,0.0,0.0,1.0,1.0,1.0,QS,1321.3056509068
11586,1079.6087,0.0,0.0,0.0,1.0,1.0,0.0,QS,1079.60869723256
11587,3.03792,0.0,0.0,0.0,1.0,1.0,0.0,QS,3.03792279470024
11588,1357.52035,0.0,0.0,0.0,0.0,0.0,1.0,GL,1357.52034848847
11604,891.37729,0.0,0.0,0.0,0.0,0.0,1.0,GL,891.377287870039
11615,1261.48126,0.0,0.0,0.0,0.0,1.0,1.0,SX,1261.48126335074
11618,118.88132,0.0,0.0,0.0,1.0,1.0,1.0,QS,118.881316906234
11620,1737.25229,0.0,0.0,0.0,0.0,0.0,1.0,GL,1737.2522870651
11621,594.5244,0.0,0.0,0.0,0.0,0.0,1.0,GL,594.524401710253
11654,790.08205,0.0,0.0,0.0,0.0,0.0,1.0,GL,790.082047197517
11687,998.19933,0.0,0.0,1.0,1.0,1.0,0.0,SC,998.199329036924
11689,1338.78973,0.0,0.0,1.0,1.0,1.0,1.0,SC,1338.78973090894
11690,1654.99428,0.0,0.0,0.0,0.0,1.0,1.0,SX,1654.99428226155
11691,1338.78905,0.0,0.0,1.0,1.0,1.0,1.0,SC,1338.7890483471
11692,1343.28601,0.0,0.0,0.0,0.0,0.0,1.0,GL,1343.28600661411
11693,987.47002,0.0,0.0,0.0,1.0,1.0,0.0,QS,987.470021768324
11694,593.07113,0.0,0.0,0.0,0.0,0.0,1.0,GL,593.071127962296
11695,1256.15724,0.0,0.0,0.0,0.0,0.0,1.0,GL,1256.15723802647
11696,330.65931,0.0,0.0,0.0,0.0,0.0,1.0,GL,330.659309349099
11697,131.5771,0.0,0.0,0.0,0.0,0.0,1.0,GL,131.577096015942
11698,263.67443,0.0,0.0,0.0,0.0,0.0,1.0,GL,263.674434128375
11699,463.14259,0.0,0.0,0.0,0.0,0.0,1.0,GL,463.142590414139
11701,526.51343,0.0,0.0,0.0,0.0,0.0,1.0,GL,526.513430869567
11705,556.88926,0.0,0.0,0.0,0.0,0.0,1.0,GL,556.889259397646
11712,254.70271,0.0,0.0,0.0,0.0,0.0,1.0,GL,254.702710085472
11715,1320.42477,0.0,0.0,0.0,1.0,1.0,1.0,QS,1320.42477152784
11716,820.53872,0.0,0.0,0.0,0.0,1.0,1.0,SX,820.538720037998
11717,1332.75207,0.0,0.0,0.0,1.0,1.0,1.0,QS,1332.75206831529
11718,148.61706,0.0,0.0,0.0,0.0,0.0,1.0,GL,148.617062135794
11719,707.146,0.0,0.0,0.0,0.0,0.0,1.0,GL,707.145997300543
11720,461.63443,0.0,0.0,0.0,0.0,0.0,1.0,GL,461.634427706265
11721,40.12341,0.0,0.0,0.0,0.0,0.0,1.0,GL,40.1234092160687
11752,74.34157,0.0,0.0,0.0,0.0,0.0,1.0,GL,74.3415741790532
11755,625.88507,0.0,0.0,1.0,1.0,1.0,0.0,SC,625.885065529845
11756,32.43368,0.0,0.0,0.0,0.0,0.0,1.0,GL,32.4336809278575
11758,713.26962,0.0,0.0,0.0,0.0,0.0,1.0,GL,713.26962111253
11759,511.69135,0.0,0.0,0.0,0.0,0.0,1.0,GL,511.691349951539
11762,2656.29939,0.0,0.0,0.0,1.0,1.0,0.0,QS,2656.29939092294
11765,1134.93821,0.0,0.0,0.0,0.0,1.0,1.0,SX,1134.93820901037
11771,1323.14736,0.0,0.0,1.0,1.0,1.0,0.0,SC,1323.14736436732
11772,628.68696,0.0,0.0,1.0,1.0,1.0,1.0,SC,628.686957929194
11773,1328.38614,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.38614405465
11774,1328.83117,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.83116792872
11775,7.51616,0.0,0.0,0.0,1.0,1.0,0.0,QS,7.51616475750082
11777,1298.39613,0.0,0.0,0.0,1.0,1.0,1.0,QS,1298.39613088148
11778,686.21744,0.0,0.0,0.0,0.0,0.0,1.0,GL,686.217438283952
11792,870.63374,0.0,0.0,0.0,0.0,0.0,1.0,GL,870.633744143142
11796,1717.27305,0.0,0.0,1.0,1.0,1.0,0.0,SC,1717.273048613
11798,1320.82956,0.0,0.0,0.0,0.0,0.0,1.0,GL,1320.82955552024
11799,488.20973,0.0,0.0,0.0,0.0,0.0,1.0,GL,488.209730973483
11813,932.58241,0.0,0.0,0.0,0.0,1.0,1.0,SX,932.582413641635
11818,198.27004,0.0,0.0,0.0,0.0,0.0,1.0,GL,198.270035472462
