OBJECTID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,SHAPE_Leng,Shape_Length,Shape_Area
233,0,M3,INDUSTRIAL,INDUSTRIAL,2640.90467288,2640.90411618553,328544.615092616
234,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,833.514036831,833.514088020144,38089.2281718034
235,0,M2,INDUSTRIAL,INDUSTRIAL,579.372030295,579.372302048147,16140.6842897545
236,0,M2,INDUSTRIAL,INDUSTRIAL,1030.63627442,1030.63631742595,63971.0798441975
237,0,R7,RES MULTI-FAMILY,RESIDENTIAL,4706.78335837,4706.78371689834,780361.722443169
238,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1289.68262897,1289.68219520476,98653.1973831702
239,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1566.02953489,1566.02963063921,151419.228011851
240,0,M2,INDUSTRIAL,INDUSTRIAL,1271.60699847,1271.60784700481,54247.3515718611
241,0,R7,RES MULTI-FAMILY,RESIDENTIAL,565.316599174,565.316345311581,17538.7730485859
242,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,295.222975644,295.223038109862,2660.82485246139
243,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3262.68475534,3262.68393411146,267609.467031341
244,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1333.19249531,1333.19255163602,90901.828276709
245,0,M2,INDUSTRIAL,INDUSTRIAL,907.883677212,907.883894409472,47575.7110550773
246,0,M2,INDUSTRIAL,INDUSTRIAL,717.337343136,717.337184574032,31878.3708400736
247,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1005.55587794,1005.5556780205,58003.5717854707
248,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,611.964353303,611.96413028316,23200.1969578837
249,0,OR2,OFFICE/RES,OFFICE,726.552871492,726.552773073224,17249.4198209626
250,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,978.49391047,978.493554690589,30015.9242540096
251,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,519.48684981,519.48654976285,13496.2825247411
252,0,R5B,RES TWO-FAMILY,RESIDENTIAL,438.665894301,438.665859624321,9211.92883811617
253,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1290.18130068,1290.1809124575,58070.1020402128
254,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,396.105928497,396.106082756963,8414.86792738013
255,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,446.433036051,446.432937106274,12303.6525454444
256,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,697.300871615,697.301194585495,21122.162902906
257,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,519.370888657,519.370921592217,16858.7017663551
258,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,562.341807673,562.342077621684,19533.3929780833
259,0,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2269.91863885,2269.91838921082,228320.951073232
