OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
245,Fish Creek Rim WSA,1-117,N,ORL05,,Unknown,102.24979753,0.0341697082566654,4.50767835367422e-05
246,Fish Creek Rim WSA,1-117,N,ORL05,,Unknown,2086.38724914,0.21461699481635,0.0009212473686952
247,,out,X,ORL05,,Unknown,0.3705952,0.0016535666202805,1.63319680953111e-07
248,,roadout,X,ORL05,,Unknown,8.69142242,0.126235676110211,3.8302970434857e-06
249,,out,X,ORL05,,Unknown,0.27948218,0.0014146339818093,1.23164908112346e-07
250,Homestead WSA,6-2,N,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,7471.73541514,0.561742852606798,0.0034536027091914
251,Homestead WSA,FS6291,N,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,1131.2705921,0.22321678002445,0.0005231400297216
252,Homestead WSA,FS6291,N,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,89.15605774,0.0304982860119626,4.12090476550878e-05
253,,roadout,X,ORV04,,Unknown,3.60697859,0.0454623183344713,1.58950246689935e-06
254,Disaster Peak WSA,3-153,N,ORV04,,Unknown,1191.73907836,0.114656896470496,0.0005244436673979
255,,roadout,Y,ORV04,,Unknown,10.30362174,0.147764207899342,4.55284786204631e-06
256,inholding,inholding,X,ORV04,,Unknown,160.65373602,0.0340325301826499,7.08045212537593e-05
257,,roadout,Y,ORV04,,Unknown,2.89357385,0.0418047550997555,1.27517306848985e-06
258,,roadout,Y,ORV04,,Unknown,2.87428555,0.0412603297974388,1.26813229179369e-06
259,Upper West Little Owyhee WSA,3-173,Y,ORV04,,Unknown,61488.8234124,0.953990039946404,-0.0271128055256801
260,,out,X,ORV04,,Unknown,39.9401106,0.0169851863173464,1.76619437002548e-05
261,,roadout,X,ORV04,,Unknown,7.11169621,0.0875853415504834,3.13648080617216e-06
262,Fifteenmile Creek WSA,3-156,Y,ORV04,,Unknown,50352.28423599,0.928800967016875,0.022219096260559
263,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,39.93474171,0.0169753384922138,1.76230920508688e-05
264,inholding,inholding,X,ORV04,,Unknown,40.097609,0.0170017067851351,1.76919449976752e-05
265,inholding,inholding,X,ORV04,,Unknown,39.92636385,0.0169727332667587,1.7618399750321e-05
266,inholding,inholding,X,ORV04,,Unknown,40.02640167,0.0169919756421403,1.76635431357747e-05
267,,roadout,X,ORV04,,Unknown,11.46639426,0.171217017446894,5.05850785401011e-06
268,,out,Y,ORV04,,Unknown,39.65489667,0.0169452540689527,1.75493452686852e-05
269,,out,Y,ORV04,,Unknown,39.7162037,0.0169553330505504,1.7574488699857e-05
270,,out,Y,ORV04,,Unknown,119.49029138,0.0339620748919229,5.28696048875241e-05
271,,out,Y,ORV04,,Unknown,39.42174814,0.0169063859571569,1.74510955813487e-05
272,,roadout,X,ORV04,,Unknown,2.76054402,0.0439762363713409,1.21802191433647e-06
273,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,3493.76588969,0.292228091646412,0.0015414975831477
274,,roadout,X,ORV04,,Unknown,1.30017539,0.0205188755175744,5.73888214497502e-07
275,Owyhee River Canyon WSA,3-195,N,ORV04,,Unknown,557.29743693,0.0814605021540496,0.000247065598154
