OBJECTID,PLSSID,TWNSHPLAB,STEWARD,REVISEDDATE,STATEABBR,STWRDPLYID,STWRDPLYTP,STWRDLAB,SHAPE_Length,SHAPE_Area
166,AL160140S0040W0,T14S R4W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.38456603452889,0.0091690598690495
167,AL160080S0020E0,T8S R2E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.385017757789631,0.0092387069690673
168,AL250230N0120E0,T23N R12E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.359268368157633,0.0081031018476703
169,AL160210S0150W0,T21S R15W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.388692824434802,0.0094128467559981
170,AL250140N0050E0,T14N R5E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378069064930533,0.0088859001107824
171,AL160140S0100W0,T14S R10W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.383757095227082,0.0090782367381057
172,AL250150N0140E0,T15N R14E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380053893641542,0.0089760816911425
173,AL250020N0240E0,T2N R24E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.3783663321429,0.0088812106606538
174,AL250110N0130E0,T11N R13E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380529121999762,0.0089324697196002
175,AL250120N0270E0,T12N R27E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379844364650202,0.008914229553025
176,AL250050N0130E0,T5N R13E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.37843042382214,0.0088667880712971
177,AL250220N0020W0,T22N R2W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.508954775044415,0.0080142712676346
178,AL250060N0060E0,T6N R6E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378939736262441,0.0089237710521583
179,AL250160N0150E0,T16N R15E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.398575173400885,0.0089403788163082
180,AL250030S0010E0,T3S R1E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,1.32988820405772,0.0062270290872667
181,AL250120N0140E0,T12N R14E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379396053155103,0.0089064525054539
182,AL160010S0080E0,T1S R8E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.386467152395157,0.0089927403925668
183,AL250040N0280E0,T4N R28E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.376332266808161,0.0087956446924725
184,AL160010S0030E0,T1S R3E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.381650732522352,0.0089925430911237
185,AL250130N0030W0,T13N R3W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379369562677792,0.0088557093971076
186,AL250100N0110E0,T10N R11E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379691763329665,0.0089855034477467
