OBJECTID,AV_LEGEND,IMS_LEGEND,COASTP_COD,COAST_POLY,NAMEDP_COD,NAMED_POLY,SCALELEVEL,STREAM_NO,STREAM,LAKE_NO,LAKE,BAY_NO,BAY,HARBOR_NO,HARBOR,SOUND_NO,SOUND,ACREAGE,Shape__Area,Shape__Length
10395,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,0, ,0, ,0, ,0, ,0.75292801,32797.4830932617,739.961945331068
10396,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1081,Mianus River,0, ,0, ,0, ,0, ,23.91250038,1041629.19244385,43980.2346596341
10397,Water,Water,1,Inland Polygons,2,Named Waterbody,4,0, ,2449,Rockwood Lake Reservoir,0, ,0, ,0, ,57.94039916,2523884.46829224,10263.4991087566
10398,Water,Water,1,Inland Polygons,2,Named Waterbody,5,806,Holts Ice Pond Brook,1277,Holts Ice Pond,0, ,0, ,0, ,6.74400997,293769.108551025,3012.06006071526
10399,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1209,Noroton River,0, ,0, ,0, ,0, ,2.09239006,91144.394744873,2544.49892655328
10400,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,457,Cedar Pond,0, ,0, ,0, ,9.03668022,393637.906585693,5266.79257113782
10401,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1688,Stony Brook,1123,Half Mile Pond,0, ,0, ,0, ,0.0919279,4004.38513183594,265.737503232101
10402,Water,Water,1,Inland Polygons,2,Named Waterbody,4,504,East Branch Byram River,1523,Lake Mead,0, ,0, ,0, ,3.79589009,165348.883728027,3108.17500906981
10403,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,2506,Salisbury Pond,0, ,0, ,0, ,0.32986098,14368.7699890137,463.982145634869
10404,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1394,June Pond,0, ,0, ,0, ,1.21406996,52884.7409362793,1151.6475065158
10405,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1272,Hollow Pond,0, ,0, ,0, ,0.210417,9165.80545043945,408.227211077802
10406,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,3575,Woodway Golf Club Pond,0, ,0, ,0, ,2.08694005,90907.1477355957,1596.61512841534
10407,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,0, ,0, ,0, ,0, ,0.20111,8760.38003540039,369.063380964086
10408,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,0, ,0, ,0, ,0, ,0.24530699,10685.5730285645,554.563771262788
10409,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1368,John Pond,0, ,0, ,0, ,1.24989998,54445.6157836914,1073.06013392782
10410,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1688,Stony Brook,0, ,0, ,0, ,0, ,0.04341309,1891.06915283203,175.184856903824
10411,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,89,Babcock Pond,0, ,0, ,0, ,3.99973011,174228.01260376,2959.47839605722
10412,Water,Water,1,Inland Polygons,2,Named Waterbody,5,663,Goodwives River,0, ,0, ,0, ,0, ,0.98781198,43029.0963745117,868.013611497297
10413,Water,Water,1,Inland Polygons,2,Named Waterbody,3,262,Byram River,0, ,0, ,0, ,0, ,1.07892,46997.9480285645,1185.70081646772
10414,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,2036,North Lake,0, ,0, ,0, ,1.34364998,58529.3263244629,1104.19793628921
10415,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,0, ,0, ,20,Cockenoe Harbor,20,Cockenoe Harbor,3,Long Island Sound,2083.33007812,90749964.7543335,120992.896563152
10416,Water,Water,1,Inland Polygons,2,Named Waterbody,5,806,Holts Ice Pond Brook,0, ,0, ,0, ,0, ,0.56392997,24564.8315734863,696.634928520755
10417,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,3347,Valley Pond,0, ,0, ,0, ,3.16233992,137751.505981445,1685.6438155459
