OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,CASE_NR,SHAPE_Length,SHAPE_Area
11174,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,165.37786911,{9E6B6188-581B-4A8E-B473-1E1A2180B931},,0.0346847550473714,7.33992286426835e-05
11175,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,155.50875271,{D244C371-6385-4171-A91E-A3C344EB13DB},,0.0435161680027268,6.90884172297149e-05
11176,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056842FD,ORM00,281230,RWA-M-2000D,CADNSDI,0.0,,648.59280155,{ABCCFE50-AC3A-422E-BC33-79770E9FE9FF},,0.0686097625545582,0.0002880618065129
11177,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056843FD,ORM00,281230,RWA-M-2000E,CADNSDI,0.0,,639.54313604,{3EABC48D-3440-4E93-A172-A5825193111C},,0.0682617966109117,0.0002845196724945
11178,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,532.08243243,{693D0F0A-3644-4F3B-9560-D960B91BDACC},,0.069176179205825,0.0002367612770152
11179,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,41.39187967,{163B3E6C-5D16-4781-92A2-380879012C3E},,0.0172965752710509,1.82761689171116e-05
11180,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,626.82547388,{1B55CB2D-C7A8-44F8-8CBF-84C4640FB07A},,0.067552848792474,0.000278988262732
11181,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056842FD,ORM00,281230,RWA-M-2000D,CADNSDI,0.0,,5142.52515467,{AE6C6FD5-32BC-4F55-AE44-5ED8E3FEC1E9},,0.375260321069229,0.0022842626597785
11182,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,369.8980679,{3D1B60DA-34CF-4FA9-9714-A2BC4DC2E430},,0.0662518409351635,0.0001648297109966
11183,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,6.85990456,{23574577-14BD-4BA9-B4AF-5B23A710EFD0},,0.0110419573331778,3.0307573893098e-06
