OBJECTID,DONUT,WETLANDS,ATTRIBUTE,DECODE,HGM_CODE,NAME,WETLAND_NAME,WETLAND_REPORT,CATEGORY,SOURCE,P_AREA,SHAPE_Length,SHAPE_Area
413,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,1320.3668122,148.0367979438,1320.36221365224
414,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,1048.71656104,137.201519689272,1048.71677335515
415,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2C,,,,,,802.54466133,131.438449322653,802.545949851646
416,,,PEMA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,67221.12811152,1077.67273003712,67221.104156527
417,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,8897.01653754,501.000368720617,8897.02818037653
418,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,11695.96156492,877.565723568007,11695.9521621305
419,,,PSSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,19888.75352583,1076.5085525329,19888.7771479481
420,,,PSSCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,4613.64986335,504.753416678171,4613.67102950363
421,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,2810.94663699,431.361525620562,2810.95305493166
422,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,3093.8039665,235.071663952198,3093.80004090785
423,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,4670.69155197,524.294041630618,4670.69966873499
424,,,PSSA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,3959.21530042,551.101957009761,3959.21749036376
425,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R2A,,,,,,6778.90781504,492.727156427588,6778.90392675659
426,,,R3UBH,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,5762.78696032,844.330343789767,5762.79062502614
