OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SOURCE_LYR,ADMU_LNTYPE,GLOBALID,SHAPE_Length
45,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,DOB,{D0A30CF4-DB7C-4D33-928C-BBD0696BA076},0.248720452192111
46,CLOSURE,DIS,0.0,PLSSIntersected,DOB,{D26AC815-C2D5-4FB2-9FB9-B823F68107EC},0.0014435390439334
47,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,DOB,{D57862E5-D40C-4606-AB49-879A0E44C491},0.140026564309592
48,CLOSURE,DIS,0.0, ,DOB,{5FFE9238-75E5-484B-A9DD-A41BD15955A1},0.0320014494900719
49,ROAD,SOURCEL,0.0,HIGHWAYS_ARC,RAB,{9F204625-A753-4A78-9702-21FEE3B5C7FF},0.831154104375475
50,GRAZING_BOUNDARY,SOURCEL,0.0,GRA_ARC,RAB,{13D5228B-485F-4C13-A181-E2A357D962F0},0.426508083919137
51,GRAZING_BOUNDARY,SOURCEL,0.0,GRA_ARC,RAB,{814FB9EE-EDC8-4B75-8391-82107E1D2BEE},1.08338454400221
52,CLOSURE,DIS,0.0, ,RAB,{3664A78F-0B85-4064-808A-26063146F549},0.0060673130214314
53,CLOSURE,DIS,0.0, ,RAB,{273223DA-BEF4-4431-AEA8-EDAF8111734F},0.0105670019104356
54,CLOSURE,DIS,0.0, ,RAB,{14BA67B6-D6EE-44FE-9221-35A8E4B71E7B},0.0153998449505961
55,UNKNOWN,UNK,, ,RAB,{6E68F1B1-5D19-415D-8512-ED3BBF44A654},0.0063453363177575
56,UNKNOWN,UNK,, ,RAB,{B45FD90D-CD8E-4E7B-BADF-0AAA37E09893},0.0267846182845823
57,CLOSURE,DIS,0.0, ,RAB,{2524C212-03C6-44C4-BD2D-B517FE29BDCD},0.0153568640769925
58,CLOSURE,DIS,0.0, ,RAB,{A170D67F-8E45-4EF2-9063-1A0FCCFD5665},0.0268740206257286
59,UNKNOWN,UNK,, ,RAB,{56E8B4B8-6DC7-4877-8650-7FF6BDFFE307},0.0278566408342972
60,UNKNOWN,UNK,, ,RAB,{93A8157C-1C5C-49CA-BBB5-4DAF96312C4A},0.0290580542609724
61,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{D6218699-1285-48A3-A650-DF5CBDFCD875},1.30746866440759
62,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{64E2B0C4-CAA1-4B09-B6D1-6427CF59A711},0.566221920642297
63,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{3DD410AF-750F-4FC6-8031-8CC0659B5051},2.54775464420393
64,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{0F3A0BEC-EA69-4C64-89F4-5A01691BE29C},0.435904041535771
65,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{FBDE674F-0767-4D7D-8F31-50990888A715},0.820888454226939
66,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{2381C4C1-A864-48E2-AB2E-DC020E7E3C18},0.518752731327905
67,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{04B2B2C8-C30C-438C-A2FF-44C321F4FA19},1.83259386552101
68,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{D49D0259-1891-43C0-989C-170FC9C899EF},1.51698418596804
69,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{27138920-17ED-46DB-86F5-0A0F315008F1},3.92067529202693
70,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{F15CECC2-6ABA-41F8-874C-03F18BA36E2E},1.06179184010136
71,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{A23B51C4-9533-4616-AF4A-623CFAACCF7B},0.392439989914888
72,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{4C596F9E-A798-41EA-836B-C4F36366B566},1.41020660922102
73,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{1C5F69BD-43D0-437E-B566-4477F2377C11},4.04044402430522
74,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{D0A37D50-C320-442E-A8AD-05D2E0A9CF76},0.308000074324811
75,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{8E86105E-1E2C-407F-A266-3AE983B295A2},0.21889173878099
76,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,RAB,{5D181F0A-CC2F-45F2-BE8F-2A7DBB9D05FF},0.207848888715541
77,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{76B840E3-7ED1-44B5-B263-7F0B6684318A},0.838221284395627
78,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{B19C6DA4-8B4F-4EAB-A7D7-9908E6F848ED},0.235649303208011
79,COUNTY,SOURCEL,0.0,COB_ARC,RAB,{A491C81D-D513-4486-B549-910A7DE7CC0C},1.55514149146537
80,FOREST_SERVICE_ADMIN,SOURCEL,0.0,Status_Arc,DOB,{71315B5B-4097-46EA-BB4E-FAF77417E43D},0.193066067031132
