OBJECTID,cons_pct,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,ThreatF5,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,ACRES,Shapearea,Shapelen
3435,0.0,17.8777008,14.48429965,11.4694004,3,3,4,1,3.4,6,5,62.58750152,5,0.94774643,1,1,0,0.0,3,459.20615097,6,0.20306348,9,1.73948018,6,4.2713278,9,3.0,8,10.04683406,0,0,4.0,5,3,459.20613429,1858348.72718412,12697.0242536746
3436,0.0,7.21295976,32.74150085,7.78428983,7,8,6,1,6.0,8,6,42.04180145,1,0.04552798,0,0,5,32.03857031,4,868.57964401,8,0.05268371,2,0.02544383,2,0.13149053,0,0.0,3,1.33617683,0,0,3.5,4,6,868.57963749,3515031.14445738,15564.4408979529
3437,0.0,4.44343996,9.74580001,-15.83880043,10,2,10,1,6.0,7,4,93.01399993,5,0.60022149,0,0,0,0.0,3,431.60511103,7,0.18980312,4,0.08732519,2,0.25889406,0,0.0,2,0.76855438,0,0,2.65,3,6,431.60512583,1746650.96201848,9287.37249762502
3438,1.86912428,9.6196804,23.53650093,8.05737018,6,6,6,3,4.8,3,8,22.37980079,4,0.28501062,0,0,6,48.67199313,7,5437.41262551,3,0.59256418,6,0.38093669,4,1.78913403,0,0.0,5,2.95059159,0,0,4.6,6,5,5437.41261323,22004516.173046,75818.1405475288
3439,0.0,6.27272987,11.07989978,-12.28110027,8,2,10,1,6.0,9,6,41.56610107,4,0.40809118,0,0,0,0.0,2,194.86289601,9,0.00361279,8,0.99013205,4,1.54688248,1,0.509112,5,2.90698748,0,0,3.4,4,6,194.86289966,788585.3313386,8062.96961185534
3440,0.0,9.4499998,31.36260032,5.43256998,6,8,7,1,6.2,9,8,21.90649986,4,0.32407154,0,0,0,0.0,2,157.02052893,9,0.00611385,0,0.0,6,3.8207106,0,0.0,7,6.82427964,0,0,3.45,4,6,157.0205343,635442.09948516,5064.1113396186
3441,8.42670908,12.74610042,9.12370014,-17.49769973,5,2,10,4,5.8,8,5,57.84109878,7,2.74983509,0,0,5,34.80070382,5,1662.3037363,8,0.08323869,8,0.80484689,5,2.73157059,0,0.0,6,4.96098024,0,0,4.7,6,6,1662.30372003,6727131.39391146,28646.9638677267
3442,0.0,21.73329925,20.35750007,4.70390987,3,5,7,1,3.6,2,9,14.77620029,1,0.06674238,0,0,0,0.0,1,31.86938422,2,1.07840175,0,0.0,7,5.17913991,0,0.0,7,5.17913991,0,0,2.5,3,3,31.86938762,128971.35188288,2796.98781806112
3443,40.3622749,6.99751996,25.36709976,4.39615011,8,7,8,8,7.4,6,10,1.09572005,5,1.01736958,7,31,9,73.56568105,8,19409.305392,6,0.28368083,5,0.18976825,2,0.35787679,0,0.0,3,1.42026391,0,0,6.35,8,8,19409.30535722,78546986.2268262,148223.058882839
3444,0.0,23.5454998,20.35750007,4.70390987,2,5,7,1,5.0,10,9,16.47920036,1,0.04564156,0,0,0,0.0,1,21.79377301,10,0.0,7,0.57539371,3,0.55153368,0,0.0,8,9.40305287,0,0,3.5,4,5,21.7937732,88196.62383608,1966.7127030025
3445,0.0,20.25349998,20.35750007,4.70390987,3,5,7,1,4.2,5,7,31.88979911,1,0.07774646,1,1,0,0.0,2,134.61839876,5,0.34895675,5,0.22270358,4,1.64955163,0,0.0,5,3.43156659,0,0,2.75,3,4,134.61839901,544783.51176104,6760.2169127323
3446,0.0,19.8118,18.60029983,8.45277023,3,5,5,1,4.8,10,8,20.64290046,4,0.34467779,3,3,0,0.0,2,164.58310064,10,0.0,8,0.93156587,8,11.75059889,0,0.0,6,4.77288371,0,0,4.3,5,5,164.58309847,666046.83328476,6605.81049604056
3447,30.10189803,19.18600082,19.70619964,6.09337997,3,5,7,8,5.6,5,10,12.11190032,2,0.15158399,1,1,0,0.0,1,91.63408889,5,0.36877105,9,1.48296339,10,66.22928293,0,0.0,10,31.11715339,10,99,4.4,5,6,91.63409127,370831.49412675,4000.46681062643
