OBJECTID,MODEL91,LINE91,FRAME91,YEAR,CAN_NBR91,FLGTDATE91,SCALE91,PRINTSAVAIL,SHAPEAREA,SHAPELEN
238,11045,11,45,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10025395.9757281,13156.2307813851
239,11044,11,44,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9763090.97455469,12966.1573064688
240,11043,11,43,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9070566.47453906,12484.71202179
241,11042,11,42,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8369457.75917109,12031.8952894822
242,11041,11,41,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9275668.23354219,12456.5537580738
243,11040,11,40,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8164235.23134141,11803.6667131891
244,11039,11,39,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,7924545.41496875,11724.0830643532
245,11038,11,38,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8832674.01966484,12191.3645627156
246,11037,11,37,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9013457.24458281,12294.4715111885
247,11036,11,36,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9419090.09470625,12526.2456698962
248,11035,11,35,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8823971.45402656,12221.2348741298
249,11034,11,34,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8410236.17463047,12016.0284826509
250,11033,11,33,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8868333.57921094,12288.4208388018
251,11032,11,32,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8643824.43842578,12196.900485524
252,11031,11,31,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10234354.863007,13045.1793282746
253,10039,10,39,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11421798.9420719,13823.9413495498
254,10038,10,38,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11625377.6498094,13995.3416518385
255,10037,10,37,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10800426.9895516,13657.8032786216
256,10036,10,36,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13168989.8848695,14772.8698015993
257,10035,10,35,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10800236.8805688,13722.5188179757
258,10034,10,34,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11938753.8814984,14258.6955220272
259,10033,10,33,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12888357.2659078,14703.5405286074
260,10032,10,32,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13161101.2039008,14851.1831796043
261,10031,10,31,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12650557.7590703,14635.0807925657
262,10030,10,30,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11828665.0348484,14288.8331593031
263,10029,10,29,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12965974.3624656,14776.7989297175
264,10028,10,28,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11664948.4783,14180.2758353703
265,10027,10,27,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11607775.7997094,14094.4463302592
266,10026,10,26,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9870653.87427969,13249.4460566791
267,10025,10,25,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10904718.4348578,13684.340126895
268,10024,10,24,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11184409.773407,13748.8879713965
269,10023,10,23,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8913908.72118203,12583.7962756078
270,10022,10,22,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11068162.9641516,13574.2368960493
271,10021,10,21,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11038846.7382109,13541.7082502641
272,10020,10,20,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11502528.8650289,13757.1645266027
273,10019,10,19,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11279444.8353813,13641.2964570572
274,10018,10,18,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10561887.809493,13281.7484547472
275,10017,10,17,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11765647.2767891,13889.3852855724
276,10016,10,16,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10807268.8440516,13385.7318490702
277,10015,10,15,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9975179.89726484,12955.5454640646
278,10014,10,14,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10323151.7048734,13117.8741125496
279,11030,11,30,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8386076.66910703,12133.2958993749
