ObjectId,Street_,Dir,Post_Dir,Street,Type_,Loc,Zip,Council,Neighborhood,Referred,Down___Clear
286,6700,,,Capella,Ln,Entire,,,,,2006/11/27 05:00:00+00
287,12602,,,Castle ,Rd,Entire,,,,,2006/11/28 05:00:00+00
288,1111,,,Cecil,Ave,Entire,,,,,2006/11/29 05:00:00+00
289,2239,,,Cedar,St,Entire,,,,,2006/11/30 05:00:00+00
290,2705,,,Cedar,St,Entire,,,,,2006/12/04 05:00:00+00
291,1948,W,,Chestnut,St,Entire,,,,,2006/12/21 05:00:00+00
292,2343,W,,Chestnut,St,Entire,,,,,2007/01/03 05:00:00+00
293,2831,W,,Chestnut,St,Entire,,,,,2007/01/08 05:00:00+00
294,9112,,,Minor,Ln,Entire,,,,,2007/06/28 03:59:59+00
295,1227,S,,Clay,St,Entire,,,,,2007/01/10 05:00:00+00
296,5607,,,Clearridge,Pl,Entire,,,,,2007/01/10 05:00:00+00
297,2508,,,Columbia,St,Entire,,,,,2007/01/11 05:00:00+00
298,3803,,,Powell,Ave,Entire,,,,,2007/01/11 05:00:00+00
299,2532,,,Columbia,St,Entire,,,,,2007/01/18 05:00:00+00
300,2730,,,Congress,St,Entire,,,,,2007/01/18 05:00:00+00
301,5103,,,Constance,Dr,Entire,,,,,2007/01/30 05:00:00+00
302,1816,W,,Gaulbert,Ave,Rear,,,,,2007/06/29 03:59:59+00
303,9806,,,Gerald,Way,Entire,,,,,2007/06/29 03:59:59+00
304,2712,,,Gilligan,St,Entire,,,,,2007/07/02 03:59:59+00
305,330,,,Glendora,Ave,Rear,,,,,2007/07/05 03:59:59+00
306,1017,,,Goss,Ave,Entire,,,,,2007/07/11 03:59:59+00
307,6519,,,Putman,St,Entire,,,,,2007/07/12 03:59:59+00
308,2236,,,Grand,Ave,Entire,,,,,2007/07/13 03:59:59+00
309,3407,,,Grand,Ave,Entire,,,,,2007/07/16 03:59:59+00
310,3,,,Grand ,Ave,Entire,,,,,2007/07/20 03:59:59+00
311,5,,,Grand ,Ave,Entire,,,,,2007/07/26 03:59:59+00
312,2402,,,Granger,Rd,Entire,,,,,2007/08/07 03:59:59+00
313,2019,W,,Market,St,Entire,,,,,2007/08/08 03:59:59+00
314,2100,,,Greenwood,Ave,Entire,,,,,2007/08/09 03:59:59+00
315,2147,,,Rowan,St,Entire,,,,,2007/08/09 03:59:59+00
316,2327,,,Greenwood,Ave,Entire,,,,,2007/08/10 03:59:59+00
317,2505,,,Greenwood,Ave,Entire,,,,,2007/08/14 03:59:59+00
318,3417,,,Greenwood,Ave,Entire,,,,,2007/08/15 03:59:59+00
