X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1257012.45,274802.916250005,932,4458,25165,Shelbyville @ Chipping,-85.585086,38.246988
1258242.01625,274663.477500007,933,4459,25170,Shelbyville @ Whittington,-85.580798,38.246654
1259906.5175,274469.396249995,934,4462,25180,Shelbyville @ Hurstbourne,-85.574993,38.246187
1260808.6925,274370.844999999,935,4464,25190,Shelbyville @ 9916,-85.571847,38.245952
1261522.92874999,274285.212500006,936,4465,25195,Shelbyville @ Cambridge Station,-85.569356,38.245745
1204916.29000001,245152.120000005,937,417,2520,Southside @ Lawndale,-85.764766,38.163363
1261902.35875,274245.909999996,938,4466,25200,Shelbyville @ Dorsey,-85.568033,38.245652
1262822.94625001,274148.620000005,939,4468,25210,Shelbyville @ Rosewood,-85.564823,38.245421
1263261.16374999,274122.701250002,940,4469,25212,Shelbyville @ Dorsey Station,-85.563296,38.245367
1263901.49875,274030.174999997,941,4470,25215,Shelbyville @ Sycamore,-85.561062,38.245138
1264363.65625,273970.791250005,942,4471,25220,Shelbyville @ Moser,-85.55945,38.244993
1265616.61624999,273815.338750005,943,4473,25230,Shelbyville @ Burnsdale,-85.55508,38.244615
1265984.50875001,273771.886250004,944,4474,25235,Shelbyville @ Brookside,-85.553797,38.24451
1266737.52875,273684.754999995,945,4475,25240,Shelbyville @ Burnley,-85.551171,38.2443
1267318.145,273612.823750004,946,4476,25245,Shelbyville @ Willow Stone,-85.549146,38.244125
1268160.14375,273602.416250005,947,4477,25250,Shelbyville @ Blankenbaker,-85.546214,38.244129
1268679.06999999,273841.317499995,948,4479,25260,Shelbyville @ Watterson Trail,-85.544419,38.244805
1204933.93375,245700.332499996,949,419,2530,Southside @ Freeman,-85.764736,38.164869
1204950.37875,246402.989999995,950,420,2535,Southside @ Alger,-85.764719,38.166799
1267946.62875,273615.256249994,951,4525,25380,Shelbyville @ Blankenbaker,-85.546958,38.244156
1267265.37375,273659.092500001,952,4526,25385,Shelbyville @ Willow Stone,-85.549332,38.24425
1266395.1525,273765.712500006,953,4527,25390,Shelbyville @ Spring Meadows,-85.552367,38.244509
1266070.605,273807.452500001,954,4528,25395,Shelbyville @ Brookside,-85.553499,38.244611
1205778.83625001,245144.867500007,955,421,2540,Steedly @ 205,-85.761766,38.163382
1265543.495,273864.448750004,956,4529,25400,Shelbyville @ Burnsdale,-85.555337,38.244747
1265151.80625001,273910.795000002,957,4530,25405,Shelbyville @ Kentucky Baptist,-85.556703,38.244859
1264302.22375,274013.548749998,958,4531,25410,Shelbyville @ Moser,-85.559666,38.245108
1263696.83374999,274099.375,959,4532,25415,Shelbyville @ Sycamore,-85.561778,38.24532
1263190.69125,274155.754999995,960,4534,25430,Shelbyville @ Dorsey,-85.563543,38.245455
1261447.43625,274328.542500004,961,4535,25435,Shelbyville @ Promenade,-85.569621,38.245861
1260438.85375001,274457.736249998,962,4537,25445,Shelbyville @ Wildwood,-85.573139,38.246176
