ObjectId,REQ_ID,Request_Date,person_premise,address1,zip,Activity_Date,ACTIVITY_TYPE_ID,Activity_Type_Desc
77,712109,2020/12/09 05:00:00+00,WEL AT HUMANA GYM,522 WEST MAIN ST,,2020/12/09 05:00:00+00,12,ENFORCEMENT ACTION
78,704847,2020/09/04 03:59:59+00,THE HEALING PLACE WOMEN'S,1503 S 15TH ST,40210.0,2020/09/08 03:59:59+00,12,ENFORCEMENT ACTION
79,701902,2020/07/22 03:59:59+00,SOUTH EASTERN FREIGHT,2220 7TH STREET,40208.0,2020/07/28 03:59:59+00,12,ENFORCEMENT ACTION
80,695794,2020/04/16 03:59:59+00,HOLY SMOKES BBQ,7508 PRESTON HWY,40219.0,2020/04/17 03:59:59+00,12,ENFORCEMENT ACTION
81,708885,2020/11/13 05:00:00+00,MOE'S,1029 S 26TH ST,40210.0,2020/11/14 05:00:00+00,12,ENFORCEMENT ACTION
82,712122,2020/12/09 05:00:00+00,YMCA DOWNTOWN GYM,555 SOUTH 2ND ST,,2020/12/09 05:00:00+00,12,ENFORCEMENT ACTION
83,705007,2020/09/09 03:59:59+00,CIRCLE K #4703224,1255 W ASHLAND AVE,40215.0,2020/09/11 03:59:59+00,12,ENFORCEMENT ACTION
84,701980,2020/07/22 03:59:59+00,LA BODEGUITA DE MIMA,725 E MARKET ST,40206.0,2020/07/28 03:59:59+00,12,ENFORCEMENT ACTION
85,695968,2020/04/17 03:59:59+00,AREA WIDE PROTECTIVE  (AWP),4333 POPLAR LEVEL ROAD,40213.0,2020/04/21 03:59:59+00,12,ENFORCEMENT ACTION
86,708887,2020/11/13 05:00:00+00,GARLAND FOOD MARKET,2600 GARLAND AVE,40211.0,2020/11/16 05:00:00+00,12,ENFORCEMENT ACTION
87,712123,2020/12/09 05:00:00+00,ALTITUDE TRAMPOLINE PARK,4420 DIXIE HWY,,2020/12/09 05:00:00+00,12,ENFORCEMENT ACTION
88,705105,2020/09/10 03:59:59+00,FAMILY DOLLAR #26820,4126 TAYLOR BLVD,40215.0,2020/09/14 03:59:59+00,12,ENFORCEMENT ACTION
89,701983,2020/07/22 03:59:59+00,FAMILY DOLLAR #20750,3022 PORTLAND AVE,40212.0,2020/07/23 03:59:59+00,12,ENFORCEMENT ACTION
90,696008,2020/04/17 03:59:59+00,OXMOOR APARTMENTS,202 OXMOOR LANE,40222.0,2020/04/22 03:59:59+00,12,ENFORCEMENT ACTION
91,708891,2020/11/13 05:00:00+00,FOOD MART EXPRESS,3727 W BROADWAY,40211.0,2020/11/13 05:00:00+00,12,ENFORCEMENT ACTION
92,712545,2020/12/14 05:00:00+00,FAMILY DOLLAR #24710,7100 PRESTON HWY,40219.0,2020/12/14 05:00:00+00,12,ENFORCEMENT ACTION
93,705146,2020/09/10 03:59:59+00,CIRCLE K #4700134,6204 SHEPHERDSVILLE RD,40219.0,2020/09/14 03:59:59+00,12,ENFORCEMENT ACTION
94,702058,2020/07/24 03:59:59+00,LAUNDRY CONNECTION,1907 S 4TH ST,40208.0,2020/07/27 03:59:59+00,12,ENFORCEMENT ACTION
95,696015,2020/04/20 03:59:59+00,HOME DEPOT,10301 WESTPORT ROAD,40241.0,2020/04/21 03:59:59+00,12,ENFORCEMENT ACTION
96,696015,2020/04/20 03:59:59+00,HOME DEPOT,10301 WESTPORT ROAD,40241.0,2020/04/22 03:59:59+00,12,ENFORCEMENT ACTION
97,696080,2020/04/20 03:59:59+00,EL TENAMPA BAR & GRILL,5412 DEL MARIA WAY,40291.0,2020/04/21 03:59:59+00,12,ENFORCEMENT ACTION
