OBJECTID,SUBJ_FIRE1890,SHAPE_Length,SHAPE_Area
215,200+,0.930975592594891,0.0241684252702008
216,0_49,0.0765471340538503,0.0003418581541449
217,200+,0.289372946626093,0.0016532936983774
218,0_49,0.130214398369341,0.0005669103906925
219,50_99,0.0895907665578718,0.0003395589772245
220,0_49,0.182123511273072,0.0015752697553426
221,50_99,0.261278003272861,0.0014302544638192
222,0_49,0.316685839582804,0.0022139825753122
223,0_49,0.222495255519786,0.0013773446098397
224,0_49,0.0985665520994453,0.00045713888053
225,0_49,0.133162907561531,0.000674722895686
226,200+,11.0565316484434,0.173740897399264
227,0_49,0.0586312703249741,0.0002006186716637
228,0_49,0.382507011386795,0.0035726468744945
229,0_49,0.543753916864684,0.0035903444053429
230,50_99,0.0877400084840317,0.0004004715196734
231,0_49,0.120324377304614,0.0006755392985186
232,50_99,0.119765676577352,0.0005681909070718
233,0_49,0.443058466029018,0.0061361717900179
234,0_49,0.0825253956961409,0.0003714827249328
235,50_99,0.102019546631848,0.000477662768662
236,50_99,0.263804544678354,0.0019639956443686
237,200+,0.144635474269281,0.0006950024066751
238,0_49,0.471108944667452,0.0031461710114459
239,200+,0.0786264933543572,0.000382688989441
240,0_49,0.11638329010903,0.0006108358062328
241,0_49,0.281546480127447,0.0020960448561619
242,0_49,0.097745625700537,0.0004654887477402
243,50_99,0.0969689069619069,0.000355625567647
244,0_49,0.083544940473051,0.000461390732178
245,50_99,0.112143426995772,0.0008152031764066
246,0_49,0.0596979976322672,0.0001752060964668
247,0_49,0.067497131771051,0.0002637276462767
248,0_49,0.0854357099223069,0.0004437186019779
249,0_49,0.156249070997093,0.0006625634314691
250,0_49,0.210293987360961,0.0011779157073572
251,0_49,0.104606369798451,0.0006915476266736
252,50_99,2.33069644867527,0.0312180674056909
253,0_49,0.192162264246602,0.0012422033123081
254,0_49,0.102632472175043,0.0005962829538288
255,0_49,0.135402318214258,0.0009612881719426
256,0_49,0.2568077576773,0.0014231560985389
257,0_49,1.1798095671561,0.0111624697915193
258,0_49,0.213272280394305,0.0012619705889895
259,0_49,0.134080708645107,0.0009687119333916
260,0_49,0.101847802911367,0.0005970953608487
261,50_99,0.276397055674503,0.001964156157285
262,0_49,0.113911178378939,0.0006645134528738
263,50_99,0.0939894942070163,0.0005325650074233
264,0_49,0.252471954553424,0.0019895507090358
265,0_49,0.110798104835573,0.0008436915422274
266,50_99,0.0681735930553451,0.000260960226128
267,0_49,0.139823062867922,0.0009613617788265
268,0_49,0.0573851899089001,0.0002090749767784
269,0_49,0.147532558437019,0.0009650047952293
270,50_99,0.169951672516806,0.0009162634974344
271,0_49,0.0689149197776688,0.0002848564372504
272,0_49,0.174843305102842,0.0009634501929598
273,0_49,0.0720225450853772,0.0003220133550033
274,200+,0.544149878454894,0.0044427007288227
275,200+,0.17785908006711,0.0011483771234527
276,0_49,0.116170212442607,0.0007027351501848
277,50_99,0.116630859078608,0.0006778972318381
278,0_49,0.12271881968266,0.0008468093253221
279,BURNED,0.239652275942393,0.0014062871620823
280,0_49,0.112107771141794,0.0006650243340827
281,0_49,0.251559247032974,0.0014597696650526
282,50_99,0.0906848254447567,0.0005557752559555
283,0_49,0.385243107728033,0.0034021881242673
284,50_99,0.40290742364213,0.0034941909803426
285,200+,0.232437620155988,0.0023017853489495
286,50_99,0.22320243316543,0.0023851220139376
287,50_99,0.206634941957472,0.0012775058248883
288,50_99,0.228264156810217,0.001665877181336
289,BURNED,0.16888009719277,0.0008963802086597
290,50_99,0.23139856077298,0.0014673135183817
291,0_49,0.354731879939617,0.0024320361240843
292,0_49,0.397906596873065,0.002967535443074
293,50_99,0.183404307126988,0.0008246389149474
294,0_49,0.0760888078074943,0.0003398444957177
295,200+,0.0784321940784223,0.0004581008769089
296,200+,0.351252343686609,0.004529927600284
297,0_49,0.12433866997667,0.0006547048490657
298,0_49,0.154240506252348,0.0008748935067445
299,50_99,0.135313718615359,0.0007036525772297
300,200+,0.186992769434775,0.0016722269271469
301,0_49,0.140685663858503,0.000600591670274
302,BURNED,0.0391152578397811,0.0001050144414466
303,0_49,0.578794246777187,0.0052496103126383
304,50_99,0.198122626206257,0.0011039209770205
305,0_49,0.102943343221445,0.0005722509300964
306,0_49,0.258231298917657,0.002010930428918
307,50_99,0.194604803583849,0.0010272467050659
308,50_99,0.282577448916366,0.0033543839322122
309,0_49,0.0925873500139449,0.0004447243475023
310,50_99,0.807770605796064,0.0072242981384026
311,0_49,0.0894805336105477,0.000430817179376
312,0_49,0.0868502364422753,0.0003830202927254
313,50_99,0.0945625274951036,0.0004301138227969
314,0_49,0.0826792490972966,0.0003947379643464
315,50_99,0.248364015712448,0.0015940096267327
316,50_99,0.0685749892782811,0.0003092790577437
317,0_49,0.124508337968223,0.000754866604809
318,50_99,0.084033292699398,0.0003378194482657
319,0_49,0.261687389221534,0.0026573290892902
320,50_99,0.257964631843887,0.0015579631886234
321,50_99,0.107243075806293,0.0005018326165825
322,50_99,0.0641237130515466,0.0002979913187852
323,0_49,0.135252475638216,0.0006929357691922
324,50_99,0.183133586675332,0.0020511310507518
325,0_49,0.147334051772137,0.0006474280644659
326,0_49,0.244233266764982,0.0014606852869386
327,50_99,0.0617064869641873,0.0002491656521275
328,0_49,0.89028347530472,0.0121746414893943
329,50_99,0.0707617182331256,0.0002999331901655
330,50_99,0.263907428956723,0.0018084821216834
331,0_49,0.0875222222931228,0.0004290613156045
332,0_49,0.421808690744215,0.0024021343350794
333,0_49,0.0945785048626466,0.0003180305339283
334,200+,0.0914764435966361,0.0004826780862463
335,50_99,0.510746521568084,0.0049768294243575
336,0_49,0.123401996866544,0.000841543767143
337,0_49,0.118132987832739,0.0005756519035287
338,0_49,0.0787161307301603,0.0003412321692853
339,50_99,0.105029318169295,0.0005135921807952
340,0_49,0.142151904869205,0.0007364867990797
