OBJECTID,NAME,TYPE,VISIBLE,RRSYM,DRAW_SYMBOL,GlobalID,CreationDate,Creator,EditDate,Editor,Shape__Length
1559,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,87c45a78-475c-45c6-88c5-01ddc8d41cc1,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2118.29953355385
1560,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,c12f3468-fe56-41cc-86ed-495b9969e31c,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,13.0592793125586
1561,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,643032bd-1e2e-4dc1-89ee-7d9152da768d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,334.967410906343
1562,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,cb1d6ff0-382f-4fbc-8334-c9542e49abf5,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,675.142158757435
1568,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,0832b0c7-7363-4ae9-80db-5b881caaad75,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,4227.41823831403
1569,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,185c1207-b41f-4239-8cc2-2149b4a04803,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,3897.8278703592
1576,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,N,204.0,,defb3df3-26d3-4a6b-bde1-5c6cc0a64c4f,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,186.661743663564
1577,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,N,204.0,,b548661c-599b-448b-9345-2d4185b29994,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,189.729947554854
1581,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,2962b8dd-0bf4-482f-8be6-2b3f38fc2cf9,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,232.030857473329
1582,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,5dcd9fce-b9cb-4c8e-a48b-4908752aa88d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1543.9201287215
1583,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,6c8c7305-7310-47c3-a9f0-daa99d6664bc,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1408.77453670138
1584,NORFOLK SOUTHERN,RAILWAY,N,204.0,,1644244e-7d1a-45e5-b5f6-d8662f2ab01d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,43.5546952778931
1585,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,de01c269-ba3a-43c5-beb6-4e98596b027b,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,28.52753756124
1586,NORFOLK SOUTHERN,RAILWAY,N,204.0,,f5157015-d42b-4acc-9372-a03a80334a98,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,43.6128229859028
1587,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,edbad806-129d-4e85-b0b4-bd6c5d1e8385,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,28.5071768175005
1588,NORFOLK SOUTHERN,RAILWAY,N,204.0,,f9f52bda-caad-4828-b638-488ae6e6aa5c,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,55.4645998911399
1589,NORFOLK SOUTHERN,RAILWAY,N,204.0,,70d62f32-3876-4ace-9ed0-fc879c5567d9,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,55.4621406854739
1590,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,cd0ac115-0f2d-41f0-a6de-42238b346786,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,129.660262926533
