COUNTY1_00,COUNTY2_00,DIR_FLY,FRAME,MODEL00,OBJECTID,LINE00,SEQUENCE00,YEAR,CAN_NBR00,FLGTDATE00,SCALE00,PRINTSAVAIL,SHAPEAREA,SHAPELEN
Oldham, ,E-W,04&05,005004,128,005,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324480.96165859,12662.2375065228
Oldham, ,E-W,04&05,006004,129,006,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324336.42580781,12662.1448745994
Oldham, ,W-E,04&05,008004,130,008,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324136.83175391,12662.0121619941
Oldham, ,W-E,04&05,009004,131,009,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324060.26170156,12661.9608084957
Oldham, ,W-E,04&05,010004,132,010,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323935.78334844,12661.8781977263
Oldham, ,W-E,04&05,011004,133,011,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323811.29025,12661.7955771442
Oldham, ,W-E,04&05,012004,134,012,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323732.20960469,12661.7429668122
Oldham, ,W-E,04&05,007004,135,007,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324255.89531875,12662.091020694
Jefferson, ,W-E,04&05,016004,136,016,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324187.33707813,12662.0476263485
Jefferson, ,E-W,04&05,018004,137,018,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324085.38983906,12661.9799028562
Jefferson, ,E-W,04&05,019004,138,019,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324558.44510469,12662.3858039234
Jefferson, ,W-E,04&05,020004,139,020,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324736.32299375,12662.5393499188
Jefferson, ,W-E,04&05,021004,140,021,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324740.51662188,12662.5429847667
Jefferson, ,E-W,04&05,022004,141,022,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324746.58329922,12662.5491198959
Jefferson, ,E-W,04&05,017004,142,017,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324074.70693984,12661.972502138
Oldham, ,W-E,04&05,014004,143,014,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323612.97795,12661.6639893215
Oldham, ,W-E,04&05,013004,144,013,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323606.26677188,12661.6590992741
Oldham, ,W-E,04&05,015004,145,015,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324057.29677813,12661.960201294
Jefferson, ,W-E,04&05,023004,146,023,4,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324749.74226641,12662.5527601767
Jefferson, ,W-E,04&05,026004,147,026,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324872.27038594,12662.643667913
Jefferson, ,W-E,04&05,027004,148,027,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324880.84213125,12662.6510568254
Jefferson, ,W-E,04&05,028004,149,028,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324933.14674453,12662.6896983651
Jefferson, ,W-E,04&05,029004,150,029,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324944.63314766,12662.6995877972
Jefferson, ,E-W,04&05,024004,151,024,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324803.49135078,12662.5926433784
Jefferson, ,E-W,04&05,025004,152,025,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324863.7047125,12662.6362841029
Jefferson, ,E-W,04&05,030004,153,030,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324955.70907813,12662.70822989
Jefferson, ,E-W,04&05,031004,154,031,4,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324968.23197734,12662.7181150751
Jefferson, ,E-W,04&05,032004,155,032,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325179.87181641,12662.8692812853
Jefferson, ,E-W,04&05,033004,156,033,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325633.50025,12663.1382855
Jefferson, ,E-W,04&05,034004,157,034,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325795.36646719,12663.2395614979
Jefferson, ,W-E,04&05,036004,158,036,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326577.6137625,12663.7351613851
Jefferson, ,W-E,04&05,037004,159,037,4,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326737.24299375,12663.8327003534
