ScoreRecent,GradeRecent,DateRecent,Score2,Grade2,Date2,Score3,Grade3,Date3,permit_number,facility_type,facility_type_description,subtype,subtype_description,premise_name,premise_address,premise_city,premise_state,premise_zip,opening_date,ObjectId
100,A,2023/05/25 00:00:00,98,,2023/05/25 00:00:00,100,A,2022/11/10 00:00:00,34796,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",KROGER L-186,2219 HOLIDAY MANOR CENTER,LOUISVILLE,KY,40222,1989/03/06 00:00:00,59
98,A,2023/09/27 00:00:00,99,A,2023/03/28 00:00:00,98,A,2022/10/10 00:00:00,34802,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,KNIGHTS OF COLUMBUS,4417 RIVER RD,LOUISVILLE,KY,40207,1988/08/11 00:00:00,60
97,A,2023/08/02 00:00:00,100,A,2023/06/02 00:00:00,98,A,2022/08/24 00:00:00,35172,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,STANDARD CC POOL SNACK BAR,8208 STANDARD CLUB LN,LOUISVILLE,KY,40241,1997/07/03 00:00:00,61
98,A,2023/10/17 00:00:00,98,A,2023/04/20 00:00:00,99,A,2022/10/21 00:00:00,36905,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,KFC Y052-042,9487 WESTPORT RD,LOUISVILLE,KY,40242,1989/02/27 00:00:00,62
97,A,2023/08/28 00:00:00,93,,2023/08/28 00:00:00,99,A,2023/02/22 00:00:00,37660,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",PAUL'S FRUIT MARKET #4,4946 BROWNSBORO RD,LOUISVILLE,KY,40222,1989/04/11 00:00:00,63
97,A,2023/10/24 00:00:00,95,,2023/10/24 00:00:00,97,A,2023/04/24 00:00:00,46593,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",CIRCLE K #4703243,8001 BROWNSBORO RD,LOUISVILLE,KY,40241,1992/05/19 00:00:00,64
99,A,2023/10/16 00:00:00,98,A,2023/04/19 00:00:00,99,A,2022/10/20 00:00:00,52942,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,BURGER KING #542,3701 DIANN MARIE RD,LOUISVILLE,KY,40241,1995/04/27 00:00:00,65
97,A,2023/07/20 00:00:00,96,,2023/07/20 00:00:00,93,C,2023/01/09 00:00:00,53924,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",SPEEDWAY #9315,11301 WESTPORT RD,LOUISVILLE,KY,40241,1995/09/01 00:00:00,66
100,A,2023/10/23 00:00:00,96,,2023/10/23 00:00:00,99,A,2023/04/27 00:00:00,55185,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",KROGER L-707,9440 BROWNSBORO RD,LOUISVILLE,KY,40241,1996/04/24 00:00:00,67
99,,2023/02/23 00:00:00,97,,2022/04/04 00:00:00,97,,2021/03/12 00:00:00,55556,610,RETAIL FOOD STORES,62,PRE-PACKAGED RETAIL,WALGREENS #3631,2420 LIME KILN LN,LOUISVILLE,KY,40222,1996/06/19 00:00:00,68
95,A,2023/07/20 00:00:00,92,,2023/07/20 00:00:00,98,A,2023/01/09 00:00:00,57140,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",WALMART #526,3706 DIANN MARIE RD,LOUISVILLE,KY,40241,1997/02/18 00:00:00,69
99,A,2023/07/10 00:00:00,100,,2023/07/10 00:00:00,99,A,2023/01/03 00:00:00,58169,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",TARGET T-1071,4101 TOWNE CENTER DR,LOUISVILLE,KY,40241,1997/07/03 00:00:00,70
96,A,2023/06/28 00:00:00,97,,2023/06/28 00:00:00,99,A,2022/12/09 00:00:00,58714,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",SPEEDWAY #9373,9500 BROWNSBORO RD,LOUISVILLE,KY,40241,1997/09/18 00:00:00,71
98,A,2023/08/30 00:00:00,99,A,2023/02/24 00:00:00,99,A,2022/09/13 00:00:00,58849,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,CINEMARK SPRINGHURST #1,4400 TOWNE CENTER DR,LOUISVILLE,KY,40241,1997/10/10 00:00:00,72
98,A,2023/08/30 00:00:00,99,A,2023/02/24 00:00:00,98,A,2022/09/13 00:00:00,58852,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,CINEMARK SPRINGHURST #4,4400 TOWNE CENTER DR,LOUISVILLE,KY,40241,2003/04/02 00:00:00,73
100,A,2023/08/28 00:00:00,98,,2023/08/28 00:00:00,99,A,2023/02/24 00:00:00,59772,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",MEIJER #164 GAS,10701 FISCHER PARK DR,LOUISVILLE,KY,40241,1998/03/09 00:00:00,74
100,A,2023/05/12 00:00:00,98,,2023/05/12 00:00:00,100,A,2022/11/08 00:00:00,59873,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",MEIJER #164,4100 TOWNE CENTER DR,LOUISVILLE,KY,40241,1998/03/30 00:00:00,75
98,A,2023/10/11 00:00:00,97,A,2023/04/20 00:00:00,99,A,2022/10/19 00:00:00,60210,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,SCHLOTZSKY'S,10531 FISCHER PARK DR,LOUISVILLE,KY,40241,1998/05/21 00:00:00,76
97,A,2023/10/31 00:00:00,96,A,2023/05/01 00:00:00,97,A,2022/11/01 00:00:00,62735,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,OUTBACK STEAKHOUSE #1814,9498 BROWNSBORO RD,LOUISVILLE,KY,40241,1999/08/11 00:00:00,77
98,A,2023/08/29 00:00:00,97,,2023/08/29 00:00:00,99,A,2023/02/20 00:00:00,63776,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",KROGER L-389,5929 TIMBER RIDGE DR,PROSPECT,KY,40059,2000/03/20 00:00:00,78
99,A,2023/11/06 00:00:00,100,,2023/11/06 00:00:00,100,A,2023/05/04 00:00:00,64219,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",HAMPTON INN I-265,4100 HAMPTON LAKE WAY,LOUISVILLE,KY,40241,2000/06/13 00:00:00,79
100,A,2023/11/02 00:00:00,97,A,2023/05/09 00:00:00,99,A,2022/11/14 00:00:00,64221,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,PAPA JOHN'S #20,5911 TIMBER RIDGE DR,PROPSECT,KY,40059,2010/01/11 00:00:00,80
