OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1491,6802-05,6802,Nonewaug River,68,Pomperaug,6,Housatonic,734.47497558,1.14761996,30264.9510995164,-31993741.7211027
1492,4707-14,4707,Blackledge River,47,Salmon,4,Connecticut,480.58898925,0.75091999,23607.7384061784,-20934461.9391727
1493,4702-00,4702,Judd Brook,47,Salmon,4,Connecticut,1880.35998535,2.93806004,65005.3832567789,-81908492.2910622
1494,3903-01,3903,Sherman Brook,39,Yantic,3,Thames,909.20599365,1.42062997,35274.334394704,-39605016.3898595
1495,4600-15,4600,Mattabesset River,46,Mattabesset,4,Connecticut,181.70700073,0.283917,16803.63183286,-7915163.90906746
1496,4709-04,4709,Pine Brook,47,Salmon,4,Connecticut,3142.7199707,4.91050004,89241.5633177886,-136896833.166768
1497,4012-00,4012,Carr Brook,40,Connecticut Main Stem,4,Connecticut,3515.73999023,5.49335002,96094.9051256273,-153145684.525068
1498,5201-06,5201,Eightmile River,52,Quinnipiac,5,South Central Coast,612.35498046,0.95680499,30397.2954348269,-26674187.0763805
1499,3800-13,3800,Shetucket River,38,Shetucket,3,Thames,1246.40002441,1.94749999,41855.0126822858,-54293321.9948147
1500,6700-24,6700,Shepaug River,67,Shepaug,6,Housatonic,474.76300048,0.74181801,23365.4288812786,-20680688.8627582
1501,3600-11,3600,Pachaug River,36,Pachaug,3,Thames,761.76898193,1.19026005,28419.8334934279,-33182672.3448045
1502,3800-16,3800,Shetucket River,38,Shetucket,3,Thames,1565.63000488,2.44630002,67997.1183951746,-68198952.1359829
1503,5201-04,5201,Eightmile River,52,Quinnipiac,5,South Central Coast,796.23199462,1.24410998,39452.2685345493,-34683853.3081242
1504,3600-12,3600,Pachaug River,36,Pachaug,3,Thames,400.95800781,0.62649697,19617.2287373066,-17465726.2537752
1505,6900-22,6900,Naugatuck River,69,Naugatuck,6,Housatonic,2133.36010742,3.33336997,64628.7784341856,-92929030.6082015
1506,4707-15,4707,Blackledge River,47,Salmon,4,Connecticut,940.59002685,1.46967005,32068.6929803889,-40972107.9920251
1507,3905-06,3905,Pease Brook,39,Yantic,3,Thames,599.96502685,0.93744498,26378.1881103883,-26134468.1067325
1508,3900-02,3900,Yantic River,39,Yantic,3,Thames,1143.14001464,1.78615999,41365.856352387,-49795301.8634253
1509,3600-03,3600,Pachaug River,36,Pachaug,3,Thames,457.61499023,0.71502298,22507.1832255751,-19933696.8812549
1510,4708-04,4708,Dickinson Creek,47,Salmon,4,Connecticut,1256.39001464,1.96309995,42836.4556518528,-54728179.8630283
1511,4600-21,4600,Mattabesset River,46,Mattabesset,4,Connecticut,373.06799316,0.582919,20687.0302030776,-16250837.4212252
1512,3900-07,3900,Yantic River,39,Yantic,3,Thames,1088.51000976,1.70079994,39398.920207816,-47415596.9554759
1513,3800-14,3800,Shetucket River,38,Shetucket,3,Thames,970.76202392,1.51681995,39859.0190666098,-42286394.4864874
1514,6000-35,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,746.20697021,1.16594994,31502.7259900988,-32504777.7370884
1515,5202-05,5202,Tenmile River,52,Quinnipiac,5,South Central Coast,1577.63000488,2.46503996,52352.6860374979,-68721426.7148994
1516,3600-05,3600,Pachaug River,36,Pachaug,3,Thames,667.29699707,1.04264998,31748.0633354904,-29067472.0664467
1517,6000-32,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,2041.4399414,3.18974995,51545.6807774079,-88925234.3240858
1518,3700-43,3700,Quinebaug River,37,Quinebaug,3,Thames,1138.25,1.77850997,38095.1992355377,-49582098.8006175
1519,3905-05,3905,Pease Brook,39,Yantic,3,Thames,313.9790039,0.490592,21208.4537481297,-13676906.5680166
1520,4600-05,4600,Mattabesset River,46,Mattabesset,4,Connecticut,1657.57995605,2.58996009,49919.28614188,-72203967.1824178
1521,6401-00,6401,Sawmill Brook,64,Candlewood,6,Housatonic,1976.79003906,3.08873009,64285.4386126018,-86108848.1658695
1522,3903-02,3903,Sherman Brook,39,Yantic,3,Thames,771.36602783,1.20526003,33329.8103515792,-33600701.3020964
1523,3907-05,3907,Susquetonscut Brook,39,Yantic,3,Thames,743.44396972,1.16163003,28433.5771207351,-32384431.1770654
1524,4709-03,4709,Pine Brook,47,Salmon,4,Connecticut,495.69000244,0.77451497,23155.072107666,-21592237.8598971
1525,3900-03,3900,Yantic River,39,Yantic,3,Thames,745.63201904,1.16505002,29824.3610016022,-32479709.9558699
1526,4012-01,4012,Carr Brook,40,Connecticut Main Stem,4,Connecticut,400.08999633,0.62514102,22623.2621760262,-17427934.5242207
1527,6700-23,6700,Shepaug River,67,Shepaug,6,Housatonic,838.31298828,1.30985999,36426.4617002018,-36516912.5566388
1528,4604-00,4604,Sawmill Brook,46,Mattabesset,4,Connecticut,1812.01000976,2.83125996,76649.9659067396,-78931028.7946253
1529,4709-01,4709,Pine Brook,47,Salmon,4,Connecticut,810.66699218,1.26666998,32461.304303249,-35312666.4558661
1530,3600-08,3600,Pachaug River,36,Pachaug,3,Thames,852.24401855,1.33162999,32653.0022553483,-37123732.7819411
1531,6912-03,6912,Steele Brook,69,Naugatuck,6,Housatonic,491.3210144,0.76768898,26150.1983581707,-21401930.9399253
1532,4705-05,4705,Jeremy River,47,Salmon,4,Connecticut,581.12902832,0.90801399,23763.224696929,-25313990.8143478
