OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,LIMA_LIM_ACC_CODE,LIM_ACC_CODE_DESC,TOWN_TOWN,TOWN_DESC,YEAR,GlobalID,Shape__Length
1364,95-N,62.34,66.71,2,Full Control-Other Divided Hwys 4 or more lanes,75,MADISON,2022,b812c54b-45f5-4682-b0d8-5a0f15dabdd9,23067.4985641262
1365,95-N,78.68,83.58,2,Full Control-Other Divided Hwys 4 or more lanes,104,OLD LYME,2022,8af759c7-2ef6-48cb-b241-b301fc1ecf76,25869.4471614833
1366,95-S,49.65,51.0,2,Full Control-Other Divided Hwys 4 or more lanes,43,EAST HAVEN,2022,2de90ebf-8a76-4e37-80e3-075c6f02038c,7141.43324982464
1367,95-S,51.0,57.28,2,Full Control-Other Divided Hwys 4 or more lanes,14,BRANFORD,2022,3eb226d8-50b8-4604-a91e-ea567c307c27,33161.2894867212
1368,1-N,40.2,40.42,7,Partial Control-Channelization,83,MILFORD,2022,6be2f0e6-63ec-42ca-a93f-7f87e341d335,1271.83701138819
1369,1-N,101.87,102.21,2,Full Control-Other Divided Hwys 4 or more lanes,58,GROTON,2022,9c6e1c0c-8b10-4b53-8d81-6bca043b0627,1801.74083075371
1370,1-N,110.28,112.11,6,Partial Control-Undivided Highways,137,STONINGTON,2022,fde03dfc-e537-4834-b607-2e4eb43a9cef,9650.74528250981
1371,117-S,0.86,0.89,6,Partial Control-Undivided Highways,58,GROTON,2022,914f207a-052e-45d3-8aea-3efd34cbad08,167.422408798482
1372,15-N,23.53,29.23,1,Full Control Parkways,50,FAIRFIELD,2022,215b14bc-d4b0-46b1-823b-ceb7ee7dd8dc,30114.7301118773
1373,15-N,45.81,46.77,1,Full Control Parkways,92,NEW HAVEN,2022,2c1f37af-74aa-495f-b5ed-ffcdbe131017,5091.53588330222
1374,15-N,46.77,47.2,1,Full Control Parkways,167,WOODBRIDGE,2022,cd306e34-4a9f-4180-b7bb-d4c3e288c340,2176.93473863441
1375,15-N,77.89,80.08,2,Full Control-Other Divided Hwys 4 or more lanes,159,WETHERSFIELD,2022,7c0ee863-d00b-4b47-8fb8-c04c78a80436,11591.3172103227
1376,8-S,24.06,27.44,2,Full Control-Other Divided Hwys 4 or more lanes,87,NAUGATUCK,2022,c42ff147-7c15-4f81-821d-0fce3676fabd,17849.317015696
1377,8-S,41.94,45.09,2,Full Control-Other Divided Hwys 4 or more lanes,73,LITCHFIELD,2022,0aa0c5a2-d9d8-4363-bbdb-4db46732f465,17663.645085278
1378,82-E,1.12,2.75,4,Full Control-Undivided Highways,60,HADDAM,2022,eaf7a6cf-4d1d-4e70-9412-3d4e2f863b2d,8710.36038182177
1379,84-E,30.04,37.27,2,Full Control-Other Divided Hwys 4 or more lanes,151,WATERBURY,2022,5d473cab-467e-4ca2-bd39-b9888000b5fe,38117.2935428577
1380,84-E,67.42,72.61,2,Full Control-Other Divided Hwys 4 or more lanes,76,MANCHESTER,2022,a67e623f-18fa-4c5d-9044-033ed514d0b7,27383.1750776498
1381,84-E,72.61,77.42,2,Full Control-Other Divided Hwys 4 or more lanes,146,VERNON,2022,13469a50-9a8a-4eb5-926e-e95141c7cae6,25396.2724086284
1382,84-W,18.48,25.09,2,Full Control-Other Divided Hwys 4 or more lanes,130,SOUTHBURY,2022,dfff9c54-8d71-4a10-8c3f-4a71ba59c6cc,34949.3060747598
1383,84-W,37.27,40.37,2,Full Control-Other Divided Hwys 4 or more lanes,25,CHESHIRE,2022,af353e7b-8759-4c67-9dd6-91289783ab8e,16360.003560764
1384,84-W,50.32,51.86,2,Full Control-Other Divided Hwys 4 or more lanes,88,NEW BRITAIN,2022,3d75a5c2-ccd2-45f0-8b40-228500e18025,7780.00867365824
1385,84-W,59.3,62.7,2,Full Control-Other Divided Hwys 4 or more lanes,63,HARTFORD,2022,55c8a5e7-699e-47fd-bf88-c3317d56fc04,17865.1874836314
1386,84-W,72.63,77.42,2,Full Control-Other Divided Hwys 4 or more lanes,146,VERNON,2022,becc5dab-e8fc-4f07-9475-6894e5df9fdf,25239.844353715
1387,84-W,77.42,84.54,2,Full Control-Other Divided Hwys 4 or more lanes,142,TOLLAND,2022,fab3d98d-284d-495e-925a-e1929035ec4b,37634.1796688034
1388,840-N,0.8,0.85,4,Full Control-Undivided Highways,18,BROOKFIELD,2022,cf1c6198-a0b3-417d-87f2-30a5ae756fa6,242.078416634745
1389,840-S,0.8,0.85,4,Full Control-Undivided Highways,18,BROOKFIELD,2022,a3f2a98e-c23c-4141-82ed-d468acc10e67,226.197454259749
1390,9-N,39.27,39.69,2,Full Control-Other Divided Hwys 4 or more lanes,88,NEW BRITAIN,2022,1923c3e5-3ff9-4e90-aaf1-019b0c06979c,2253.53320069263
1391,9-S,2.52,5.47,2,Full Control-Other Divided Hwys 4 or more lanes,49,ESSEX,2022,cbe94ebf-babd-4860-a544-14e88336a827,15602.8581630804
1392,9-S,5.47,7.72,2,Full Control-Other Divided Hwys 4 or more lanes,122,DEEP RIVER,2022,0a1a5762-3f3e-4fb3-8262-3fd39c1d41a2,11874.176393419
1393,9-S,18.79,24.65,2,Full Control-Other Divided Hwys 4 or more lanes,82,MIDDLETOWN,2022,e397bf36-5725-49bf-9fbf-d22d9a1c6926,31004.5940856962
1394,91-N,3.74,10.78,2,Full Control-Other Divided Hwys 4 or more lanes,100,NORTH HAVEN,2022,33983ed6-034f-4cfe-a7e3-8f0a5aef8655,37135.7774636625
1395,91-N,21.17,25.83,2,Full Control-Other Divided Hwys 4 or more lanes,82,MIDDLETOWN,2022,213b5f14-bde1-4cfd-ac36-0f38447f41d0,24654.3828215315
1396,91-S,27.87,32.15,2,Full Control-Other Divided Hwys 4 or more lanes,118,ROCKY HILL,2022,89a77ceb-a6b0-4889-ab31-3ee56b18f65b,22211.6946899359
