OBJECTID,GEOID10,B03002_001,White,AA,AI_AN_A,Asian,NHOPIA,Other,TwoRace,Hispanic,RaceEthnic,Shape__Area,Shape__Length
531,261635247006,1153,23,1061,0,0,0,0,0,69,Black or African American alone,7424600.94970703,10988.9260412854
532,261635263003,1634,132,319,0,0,0,0,0,1183,Hispanic or Latino:,3993860.3840332,10992.9468285718
533,261635303001,265,0,250,0,0,0,0,15,0,Black or African American alone,8861324.29150391,14267.2750491275
534,261635309003,621,7,595,0,0,0,0,19,0,Black or African American alone,4745482.23242188,9812.55033410051
535,261635309002,569,5,545,0,1,0,0,7,11,Black or African American alone,4787032.67919922,8823.46179199542
536,261635051002,560,13,547,0,0,0,0,0,0,Black or African American alone,2419028.47900391,6563.59058239202
537,261635049004,420,23,387,0,0,0,0,10,0,Black or African American alone,12967773.6450195,16355.2973131321
538,261635049003,1251,0,1239,0,0,0,0,12,0,Black or African American alone,6951990.34521484,10565.3732129038
539,261635049002,693,41,493,0,0,0,0,159,0,Black or African American alone,2153408.46386719,5901.96808604168
540,261635049001,939,130,809,0,0,0,0,0,0,Black or African American alone,2132483.19873047,5872.13629881819
541,261635048002,591,3,556,0,0,0,0,32,0,Black or African American alone,6424052.36669922,10710.1902231874
542,261635048001,295,26,269,0,0,0,0,0,0,Black or African American alone,27580808.6918945,25638.713954726
543,261635047003,532,6,526,0,0,0,0,0,0,Black or African American alone,3720565.52832031,8592.40234819944
544,261635047002,627,23,604,0,0,0,0,0,0,Black or African American alone,4013129.91894531,8477.87235002936
545,261635047001,705,35,600,0,0,0,0,70,0,Black or African American alone,6384569.30859375,11048.6884103932
546,261635363006,586,21,554,0,11,0,0,0,0,Black or African American alone,4391923.72167969,12399.1748638945
547,261635363005,395,0,395,0,0,0,0,0,0,Black or African American alone,1536555.05908203,5301.98458232889
548,261635363004,425,0,425,0,0,0,0,0,0,Black or African American alone,1570973.70605469,6768.53205853057
549,261635363003,337,0,337,0,0,0,0,0,0,Black or African American alone,2292599.67773438,6101.39603833584
550,261635363002,264,0,264,0,0,0,0,0,0,Black or African American alone,1806365.02978516,9768.38175612104
551,261635363001,389,18,371,0,0,0,0,0,0,Black or African American alone,2226534.71972656,6411.37205849043
552,261635361003,613,44,501,0,12,0,0,53,3,Black or African American alone,4332891.30517578,8449.17154497894
553,261635361002,861,0,809,0,0,0,0,52,0,Black or African American alone,2176537.34912109,6678.45972292134
554,261635361001,1140,0,1134,0,0,0,0,6,0,Black or African American alone,4343443.07080078,8581.42775330419
555,261635357002,639,0,599,0,0,0,0,40,0,Black or African American alone,2574833.4152832,7237.76377540874
556,261635357001,669,0,628,0,0,0,0,0,41,Black or African American alone,4423322.09106445,8655.97657280087
557,261635356004,1392,10,1382,0,0,0,0,0,0,Black or African American alone,4644773.51074219,8853.05751087173
558,261635356003,646,0,646,0,0,0,0,0,0,Black or African American alone,2337093.47387695,7082.14311873722
559,261635355002,730,81,546,0,0,0,0,0,103,Black or African American alone,3478142.63110352,10595.1804874005
560,261635355001,1632,0,1632,0,0,0,0,0,0,Black or African American alone,2572445.31396484,6450.77030556616
561,261635355003,595,0,595,0,0,0,0,0,0,Black or African American alone,4475978.34057617,8615.82927048515
562,261635354002,591,26,559,0,0,0,0,6,0,Black or African American alone,2316532.09472656,7023.90991416535
563,261635354001,969,0,961,0,8,0,0,0,0,Black or African American alone,8285533.44628906,13273.5680313878
564,261635353004,894,33,849,0,0,0,0,12,0,Black or African American alone,2317761.00170898,7043.29318570699
565,261635353003,446,15,430,0,0,0,0,0,1,Black or African American alone,2323445.58911133,7021.36785915392
566,261635353002,766,0,757,0,0,0,0,9,0,Black or African American alone,2325744.59326172,7043.80099149488
567,261635468003,1456,28,1418,10,0,0,0,0,0,Black or African American alone,4672146.79248047,8788.9789928588
568,261635468002,784,92,667,0,0,0,0,0,25,Black or African American alone,2168079.61865234,8923.18514051926
569,261635468001,697,16,681,0,0,0,0,0,0,Black or African American alone,3729000.52685547,8910.79634390824
570,261635467005,824,71,648,0,0,0,0,105,0,Black or African American alone,2539569.17456055,6523.43693045574
571,261635467004,649,35,614,0,0,0,0,0,0,Black or African American alone,2564062.87841797,7175.01074293342
572,261635467003,444,23,411,0,0,0,0,10,0,Black or African American alone,2617986.49584961,6597.93625616657
573,261635467002,416,21,395,0,0,0,0,0,0,Black or African American alone,2946104.38867188,7043.9999481619
574,261635467001,604,0,544,29,0,0,0,31,0,Black or African American alone,3091404.72558594,9968.43305940476
575,261635137001,1080,148,919,0,8,0,0,5,0,Black or African American alone,29044760.8994141,21762.8668884129
576,261639851001,229,24,195,0,0,0,0,5,5,Black or African American alone,31481360.9091797,36279.4285610482
577,261635309001,788,11,777,0,0,0,0,0,0,Black or African American alone,4054994.10522461,9351.58150052439
578,261635396002,1522,38,1468,0,0,0,0,0,16,Black or African American alone,4919847.65478516,9736.86805075733
579,261635431002,959,18,933,8,0,0,0,0,0,Black or African American alone,4768651.78515625,8775.31902502103
580,261635405001,1377,0,1377,0,0,0,0,0,0,Black or African American alone,7455534.85546875,10941.8472765405
581,261635431001,1654,345,1232,0,20,0,0,57,0,Black or African American alone,5444939.68945313,9445.80297143978
582,261635430002,1035,34,939,1,0,0,0,6,55,Black or African American alone,4300602.90917969,12967.2827267203
583,261635453002,618,0,618,0,0,0,0,0,0,Black or African American alone,5305634.43505859,9865.31119219354
