sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
5452@1,-80.07590865,40.33728075,80.0,37.0,27.0,30.0,86.0,304.0,751.0,235.0,276.0,988.0,975.0,121.0,109.0,146.0,226.0,372.0,583.0,535.0,369.0,981.0,823.0,565.0,317.0,160.0
27735@1,-79.99315444,40.3453346,15.0,5.0,6.0,7.0,25.0,57.0,173.0,333.0,277.0,215.0,186.0,242.0,287.0,215.0,329.0,156.0,564.0,589.0,367.0,225.0,196.0,123.0,75.0,24.0
5652@1,-80.1762355,40.50117759,31.0,15.0,15.0,21.0,41.0,157.0,473.0,49.0,913.0,495.0,431.0,534.0,547.0,564.0,714.0,958.0,263.0,423.0,803.0,478.0,356.0,272.0,171.0,102.0
5750@1,-80.05983179,40.56369338,21.0,13.0,4.0,7.0,8.0,51.0,174.0,301.0,273.0,207.0,135.0,190.0,191.0,185.0,235.0,317.0,398.0,473.0,337.0,223.0,133.0,97.0,85.0,50.0
6017@1,-79.82499897,40.35512183,23.0,9.0,8.0,7.0,34.0,116.0,232.0,320.0,245.0,235.0,192.0,206.0,216.0,224.0,289.0,354.0,409.0,386.0,288.0,209.0,138.0,168.0,100.0,46.0
23743@1,-79.9614251,40.53428318,26.0,14.0,21.0,15.0,30.0,88.0,314.0,458.0,421.0,443.0,461.0,513.0,573.0,496.0,652.0,755.0,866.0,841.0,633.0,582.0,344.0,242.0,104.0,69.0
6101@1,-79.89118552,40.31001389,84.0,60.0,48.0,41.0,80.0,238.0,526.0,576.0,535.0,489.0,509.0,497.0,592.0,606.0,695.0,856.0,934.0,887.0,616.0,530.0,421.0,300.0,243.0,179.0
5467@1,-80.04469158,40.37726331,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,277.0,200.0,197.0,238.0,312.0,305.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6082@1,-79.88986163,40.30887697,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,296.5,401.0,393.0,417.0,424.5,366.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10565@1,-80.21176518,40.43819708,80.0,41.0,34.0,14.0,60.0,180.0,408.0,591.0,522.0,319.0,321.0,425.0,422.0,414.0,446.0,558.0,715.0,810.0,633.0,486.0,376.0,363.0,220.0,135.0
27839@1,-80.06458124,40.4324883,99.0,17.0,20.0,26.0,66.0,106.0,402.0,633.0,501.0,462.0,475.0,468.0,462.0,620.0,627.0,554.0,785.0,844.0,679.0,409.0,396.0,323.0,165.0,99.0
65@2,-80.17528693,40.33877251,35.0,19.0,11.0,6.0,19.0,48.0,127.0,234.0,235.0,234.0,206.0,234.0,245.0,228.0,338.0,459.0,538.0,547.0,415.0,265.0,220.0,185.0,105.0,94.0
65@1,-80.1751884,40.33866244,13.0,6.0,19.0,19.0,47.0,225.0,487.0,665.0,495.0,304.0,290.0,276.0,255.0,239.0,240.0,262.0,308.0,367.0,270.0,133.0,96.0,80.0,44.0,27.0
6103@1,-79.92581307,40.33487375,18.0,16.0,2.0,6.0,7.0,25.0,80.0,153.0,144.0,108.0,108.0,114.0,129.0,134.0,153.0,206.0,201.0,214.0,141.0,125.0,96.0,94.0,68.0,45.0
19208@2,-79.75993675,40.44285433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,318.0,312.5,310.5,338.5,383.0,399.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19208@1,-79.75983008,40.44286364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,642.5,658.5,694.0,790.5,400.5,441.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22873@1,-79.9488878,40.50394629,105.0,68.0,37.0,43.0,75.0,257.0,658.0,144.0,920.0,741.0,720.0,748.0,709.0,674.0,759.0,76.0,194.0,255.0,86.0,822.0,597.0,432.0,343.0,265.0
5691@1,-80.12117348,40.52689503,-1.0,-1.0,-1.0,-1.0,3.0,5.0,22.0,20.0,23.0,12.0,23.0,13.0,15.0,28.0,22.0,19.0,32.0,24.0,19.0,8.0,10.0,5.0,2.0,2.0
27409@1,-79.99157554,40.44206391,39.0,16.0,10.0,14.0,22.0,110.0,343.0,551.0,501.0,201.0,169.0,181.0,180.0,174.0,236.0,334.0,555.0,797.0,860.0,200.0,140.0,295.0,166.0,70.0
26004@1,-79.88981764,40.44536786,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,531.0,548.0,691.5,726.5,726.5,768.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95@1,-80.0399827,40.50737958,96.0,35.0,62.0,118.0,184.0,870.0,802.0,126.0,961.0,286.0,147.0,84.0,155.0,237.0,540.0,616.0,938.0,747.0,516.0,431.0,67.0,861.0,572.0,289.0
27588@1,-80.00805708,40.39240491,2.0,8.0,17.0,22.0,42.0,75.0,78.0,98.0,122.0,174.0,285.0,198.0,147.0,149.0,151.0,217.0,148.0,144.0,115.0,141.0,173.0,198.0,191.0,238.0
5507@1,-80.09860823,40.38962211,28.0,15.0,8.0,9.0,9.0,58.0,154.0,333.0,290.0,243.0,204.0,221.0,251.0,255.0,241.0,293.0,365.0,463.0,416.0,353.0,276.0,195.0,138.0,79.0
