OBJECTID,adm_code,adm_manage,adm_name,GIS_acres,SMA_ID,GlobalID,SHAPE_Length,SHAPE_Area
4603,USFS,USFS,,1.69087757,915.0,{43DF29AA-3B35-416F-9A4A-AE8ADE6D31E0},385.422508867945,6842.7387629575
4604,BLM,BLM,,0.03313337,2.0,{67C6038F-B139-4B80-AD1F-62758DC26564},61.2277768287828,134.085997706937
4605,STA,STA,,642.14756437,2386.0,{32E1DF25-718D-4F16-8D61-FD2AB60313CC},6448.2494155444,2598678.99500781
4606,BLM,BLM,,10255.21633881,2.0,{6937E48C-A08A-4378-8F58-D2A8F284D2C7},64697.323021528,41501388.1038217
4607,PRI,PRI, ,40.19436185,2388.0,{5C0D2BC1-C945-4F72-9486-703C707410C6},1613.25790997325,162660.811408772
4608,LOCAL,LOCAL,,2.03379853,2387.0,{823962D8-15CE-4D6E-9729-4839B543BB91},454.782746966437,8230.49065330272
4609,BLM,BLM,,0.0465648,2.0,{6C867C6C-4247-4A45-8F9B-B43AD51ABE7C},118.780519518676,188.441074801227
4610,USFS,USFS,,0.00108011,915.0,{AD54DC41-E65E-41A0-83EF-73173D870625},10.3713143967704,4.37105126553885
4611,STA,STA,,387.34038578,2386.0,{7B41C95B-838B-4C26-9107-58A5A532E324},6414.59139004818,1567510.9278598
4612,BLM,BLM,,0.000234,2.0,{5582DD93-8F7F-4F41-A754-9DDE2BCD92F3},4.76421571622495,0.946955900237093
4613,PRI,PRI, ,478.46278511,2388.0,{3627127A-E6E8-4B8B-B19D-B194D9F4A1C6},6421.1908243228,1936270.19478743
4614,USFS,USFS,,0.59714648,915.0,{3F8724E2-2CBA-451E-A346-C6ED6D4A52ED},321.673667230282,2416.5660654508
4615,USFS,USFS,,0.41749081,915.0,{E05C68FA-F295-49F5-B453-858EFB388BF1},218.915424618761,1689.52537092518
4616,STA,STA,,649.89921805,2386.0,{7B6185BA-DBB4-4839-B23B-6B891C00A452},6487.0584421484,2630048.82449164
4617,PRI,PRI, ,159.84381844,2388.0,{6EC22676-BC32-44E4-BCD5-36787940B55A},3217.11993820298,646864.983232065
4618,BLM,BLM,,0.00266627,2.0,{4D50B323-E886-43D8-9273-23FEEF5030AD},15.4077549103426,10.7899953143274
4619,PRI,PRI, ,41.22353841,2388.0,{8E5FC3A3-D757-44B2-AE2B-AB9C782B8505},2222.95549089243,166825.741181799
4620,LOCAL,LOCAL,,1.00398544,2387.0,{44127406-988F-402C-A5D1-451076F963E5},315.091673199569,4062.9849058543
4621,PRI,PRI, ,162.73089809,2388.0,{C6B017B2-3407-4837-BDE9-9ADDBDDC9A32},3246.19292781672,658548.580058011
4622,PRI,PRI,,15.53144774,2388.0,{48247DF7-38B3-47A2-B804-959C066335BA},1166.0797490016,62853.5390424793
