OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
24446,2013/10/25 09:45:00+00,Big Sioux River @ I-90,9.13,5.54,12.99,0.751,2.5,12.5,24.0,0.05,1.5,,,,,No,,26C,{CA31234A-5F98-455B-83A2-7FB1991A820F}
24447,2012/07/02 09:44:00+00,Big Sioux River @ I-90,8.58,26.2,8.24,0.008,7.2,70.0,119.0,0.01,0.099,,,,,No,,26C,{5122CFB2-4B61-4178-8600-B09C1FC654B1}
24448,2012/09/28 09:44:00+00,Big Sioux River @ Timberline,8.26,15.41,6.8,1.696,2.5,14.0,146.0,0.1,25.0,,,,,No,,26B,{B45B34B2-AA1E-4467-A6BB-F4E33135D569}
24449,2012/06/14 09:43:00+00,Skunk Creek @ Marion Road,7.48,22.3,9.43,0.0,4.6,124.0,291.0,0.04,1.5,,,,,No,,26D,{7624CE84-5756-4063-B862-65BD5A4B8EB6}
24450,2012/06/28 09:43:00+00,Big Sioux River @ Bahnson,7.71,23.59,8.27,0.004,7.4,51.0,102.0,0.01,0.51,,,,,No,,26A,{BC9D5D4C-6317-46FC-A436-BD9EC2E81240}
24451,2012/06/08 09:42:00+00,Big Sioux River @ Timberline,8.37,22.63,7.36,0.001,4.2,55.0,166.0,0.03,3.6,,,,,No,,26B,{DB82AF7D-28D5-4E06-A605-3DA7B350D536}
24452,2014/01/21 09:42:00+00,Big Sioux River @ Timberline,8.06,1.09,14.87,1.744,4.0,11.5,,0.22,17.0,,,,,No,,26B,{B22C4348-11C9-4CCF-9678-E4F9563BDC7D}
24453,2014/03/20 09:42:00+00,Skunk Creek @ Marion Road,7.81,0.68,13.19,0.762,,17.0,,,1.3,,,,,No,,26D,{13A455DB-8F2F-432F-A244-B983AC8BA8F6}
24454,2012/06/05 09:40:00+00,Big Sioux River @ Bahnson,8.47,24.1,8.0,0.003,5.3,76.0,64.0,0.2,2.6,,,,,No,,26A,{048F918B-5EFB-4A94-87DA-3E3071B03851}
24455,2012/07/10 09:40:00+00,Big Sioux River @ Timberline,8.13,24.3,7.91,0.06,6.7,58.0,153.0,0.03,6.0,,,,,No,,26B,{53301A5B-9425-4E29-ADE7-27D78503780B}
