X,Y,OBJECTID,RIPS_num,RIPS_name,allot_num,allot_name,NEPA_num,improve_subtype,improve_type,admin_st_code,admin_unit_code,maint_respone,est_year,last_insp_date,GlobalID,COORD_SRC_TYPE,ACCURACY_FT,created_date,last_edited_date,TempPurpose,RIPS_num_legacy,Old_GUID,Comment_cnt
327900.0364,4382563.628,4471,000711,Upper Spring Gulch Pond B,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{2B93349D-C071-4677-A702-73526A2B4DA0},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000711,{D95CAB90-24C5-45D4-819F-1FAD650F3C05},0.0
328331.7213,4381650.9226,4472,000706,Smith Ridge Pond A,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{429D69EB-1ED1-4637-8651-E26FD7E4FFA7},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000706,{3F069911-60DD-4822-A994-DA47CC1E574F},0.0
328356.3891,4381712.5919,4473,000707,Smith Ridge Pond B,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{2A7C687E-C464-4656-93EC-0BD466ADC9C2},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000707,{7FF172A9-BAC2-48DE-B802-3D95A1BD18F9},0.0
328350.2221,4381897.5998,4474,000708,Smith Ridge Pond C,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{68520768-F938-4072-B1AA-0FC25C97A491},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000708,{C5CD45A7-605D-449F-8D03-95C077751107},0.0
328226.8836,4382082.6076,4475,000709,Smith Ridge Pond D,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{0521A51B-0081-4942-9F4F-C01F91691714},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000709,{F6E6C401-8EF5-4ED0-9F84-C9F5F1FCA778},0.0
326147.2632,4386791.3527,4476,000686,Red Hill Pond D,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{D65CC705-5DBE-4EBF-833B-D0D9476F5884},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000686,{80E1992F-4DF9-4D8D-B594-2C8FD9E22CDE},0.0
329223.8847,4388435.0798,4477,001535,Beacon Pond 3,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{347CD638-B935-4238-AC18-E1484D24270D},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,001535,{A2236F1A-79A8-41B3-8715-7277791C2F0A},0.0
329565.8521,4388608.893,4478,001534,Red Hill Reservoir 1,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{EBC030D8-6B86-4745-BEFD-A5CB530C6FC5},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,001534,{ADF3E2B1-4A17-491F-AD85-5D8C8E998D11},0.0
326745.0312,4384442.617,4479,002050,S Red Hill Pond 8,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{D1ACF89A-8F2B-4EEB-86D8-5B9E0A927D4A},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,002050,{226DFE29-0EBF-47E0-A4FB-483104B03B01},0.0
327970.2177,4382446.8885,4480,002051,Upper Spring Gulch Pond C,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{57A0BC5F-2723-41EC-98D2-A1A01D26BB19},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,002051,{D2B5EB68-F227-488A-A2B6-F57BB04A7A9E},0.0
328384.0638,4382452.5318,4481,002052,Upper Spring Gulch Pond D,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{AB7B342E-ABE7-4457-BE05-4653A1016CD2},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,002052,{77833244-B93D-413B-BA5C-10070BC93070},0.0
327647.9743,4380903.5197,4482,276112,Spruce Ridge Catlgur,,,,0.0,,CO,COG02000,,,,{61231C49-A80A-4B4A-9249-36B6B58E437E},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,276112,{A3B7E0CB-3C57-4CBB-BC3B-1ABB50F00E1E},0.0
326292.0418,4382940.566,4483,277061,Blue Hill Reservoir,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{36F19B06-8895-4B03-BB4A-2E9937FA5FEA},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,277061,{E31E0252-4B58-48E3-B5A0-C4631DED262D},0.0
347200.2865,4410194.5309,4484,002149,Little Dutton Spring,,,,8.0,DEVELOPED SPRING,CO,COG02000,,,,{9501B721-5728-4F02-97E6-FB06A5B1404A},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,002149,{0B8C4EA0-32B2-4FB4-BE83-2980731901A6},0.0
346098.2278,4383051.3676,4485,004950,Mayer Gulch Pond 1,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{A976BE64-8A53-4A53-9CDC-28126376F303},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004950,{C34E1303-4F32-4880-8C96-774B34E2F9FC},0.0
346268.4016,4382858.0684,4486,004951,Mayer Gulch Pond 2,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{8F5DC3FE-63BE-49CC-A3F4-4A2A8779316B},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004951,{B6E1AEC9-D062-4408-9958-439C851CE386},0.0
346391.7944,4382678.1509,4487,004952,Mayer Gulch Pond 3,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{93C77376-29D7-435B-90E9-4B089136DF93},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004952,{458067FF-23F3-40C2-99AB-B9EA8C54E2EC},0.0
346487.7582,4383194.0546,4488,004953,Mayer Gulch Pond 4,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{44942DD2-90E6-4E13-9409-BB91CC8C9CD6},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004953,{3693D5F1-89C1-4037-975B-0DA91BBE8264},0.0
346422.7954,4383346.3273,4489,004954,Mayer Gulch Pond 5,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{DA730E7A-E3EF-439E-91CF-C81D4B2FAF2A},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004954,{6B448A6C-6EA0-458E-9365-C42E5BCAE4B9},0.0
346514.7241,4384362.3886,4490,004955,Mayer Gulch Pond 6,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{64D3DFFD-11DC-4BBD-B240-EABF896BDB05},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004955,{965DAD40-60CA-493D-B053-DBA75F9A7FD0},0.0
346745.1352,4385176.7598,4491,004956,Mayer Gulch Pond 7,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{3AC98532-C449-4583-A07C-DE81254FF5E4},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004956,{39DAF8FB-5EB4-485C-9C55-F7CEEDDEE6A3},0.0
345213.1376,4383585.2597,4492,004957,Middle Third Gulch Pond,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{1E7CBD88-9FBC-4ACB-8CBA-B3C19D3705A6},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004957,{26464C20-EA33-4CF3-A42D-3027E85B7E4E},0.0
