OBJECTID,GEOID10,ALAND10,AWATER10,GlobalID,T_Parcel,T_Str_CR,Pct_S_CR,T_Str_1230,Pct_S_1230,T_Vac_Q413,Pct_V_Q413,T_Vac_Q114,Pct_V_Q114,T_Vac_Q214,Pct_V_Q214,T_Vac_Q314,Pct_V_Q314,T_Vac_Q414,Pct_V_Q414
103,261635152002016,25012,0,f1d7cf52-def3-40a0-b920-134b5544f9dd,54.0,31.0,0.574074074074074,31.0,0.574074074074074,10.0,0.32258064516129,11.0,0.354838709677419,13.0,0.419354838709677,12.0,0.387096774193548,12.0,0.387096774193548
104,261635152001006,25534,0,4a20854e-7e02-4f13-9a82-f71bf49924c7,57.0,35.0,0.614035087719298,35.0,0.614035087719298,9.0,0.257142857142857,9.0,0.257142857142857,9.0,0.257142857142857,8.0,0.228571428571429,7.0,0.2
105,261635373002023,5615,0,6903b1ed-bb11-481f-89a8-1f932e9cf2f0,,,,,,,,,,,,,,,
106,261635452004002,26519,0,0c7fb93d-f3e8-4c22-829f-2bf208bb51ed,35.0,30.0,0.857142857142857,30.0,0.857142857142857,13.0,0.433333333333333,16.0,0.533333333333333,15.0,0.5,15.0,0.5,15.0,0.5
107,261635382001014,16321,0,2bfc2cd6-71a2-424a-960e-a4879cec4b92,17.0,17.0,1.0,17.0,1.0,,,,,,,,,,
108,261635386001005,18720,0,dde3236b-6315-45f3-bb2d-e725cfa19557,33.0,33.0,1.0,33.0,1.0,2.0,0.0606060606060606,3.0,0.0909090909090909,2.0,0.0606060606060606,1.0,0.0303030303030303,1.0,0.0303030303030303
109,261635386001007,17788,0,7ee6116c-1cd4-423f-a9d4-e7a294c7e8bb,34.0,33.0,0.970588235294118,33.0,0.970588235294118,5.0,0.151515151515152,5.0,0.151515151515152,5.0,0.151515151515152,5.0,0.151515151515152,3.0,0.0909090909090909
110,261635384002006,20966,0,3784f763-137e-4ac8-8923-e99531d41d6f,12.0,12.0,1.0,12.0,1.0,,,,,,,,,,
111,261635385001003,17497,0,8e4b56fc-7932-4815-b465-c2ca815ec08a,30.0,15.0,0.5,30.0,1.0,,,,,,,1.0,0.0666666666666667,2.0,0.133333333333333
112,261635385002006,17642,0,949b6b4b-15d0-4693-b1b2-3acb9e15c7e7,27.0,14.0,0.518518518518518,26.0,0.962962962962963,2.0,0.142857142857143,4.0,0.285714285714286,4.0,0.285714285714286,4.0,0.285714285714286,5.0,0.357142857142857
113,261635384003008,21728,0,3abf51f0-5204-45a9-bcff-9fc144687a8f,13.0,13.0,1.0,13.0,1.0,,,,,,,,,,
114,261635384003003,20108,0,7917f75e-b87c-4344-8499-19631a95d016,24.0,24.0,1.0,24.0,1.0,,,,,,,,,1.0,0.0416666666666667
115,261635353004003,23534,0,dc3edcf5-e0dc-4414-a017-7db8c97c858b,40.0,30.0,0.75,30.0,0.75,7.0,0.233333333333333,6.0,0.2,5.0,0.166666666666667,5.0,0.166666666666667,5.0,0.166666666666667
116,261635353004001,23676,0,4e0ec94e-1a7b-43fd-90cd-c1bb38f97911,36.0,33.0,0.916666666666667,33.0,0.916666666666667,4.0,0.121212121212121,4.0,0.121212121212121,3.0,0.0909090909090909,3.0,0.0909090909090909,4.0,0.121212121212121
