OBJECTID,SUBJ_STATE,FEATURE,SHAPE_Length,SHAPE_Area
1500,OREGON,1,0.0029891004923134,2.21938525518805e-07
1501,WASHINGTON,1,0.0031112942083413,1.58838824891796e-07
1502,WASHINGTON,1,0.0010820887465821,4.7429136454838e-08
1503,WASHINGTON,1,0.0024903857366154,2.14920184344766e-07
1504,WASHINGTON,1,0.0004866097513183,1.32776046472421e-08
1505,WASHINGTON,1,0.0049787115359946,7.48455059414074e-07
1506,WASHINGTON,1,0.0041035638215739,8.33562684434653e-07
1507,WASHINGTON,1,0.0033661635180855,4.24579692850129e-07
1508,WASHINGTON,1,0.0005169704504879,1.56448628481576e-08
1509,OREGON,2,0.0010700522919873,6.00672687499381e-08
1510,WASHINGTON,1,0.004222628915861,3.80054689019108e-07
1511,OREGON,2,0.001899144014205,2.45369004896036e-07
1512,OREGON,2,0.0010260191458805,6.90628058822957e-08
1513,OREGON,2,0.0035138365187155,5.59466223402889e-07
1514,OREGON,1,0.0004022348144774,1.13549249681746e-08
1515,OREGON,1,0.0007247526191825,3.07916560035296e-08
1516,OREGON,2,0.0014063502225797,9.11467317140927e-08
1517,WASHINGTON,1,0.0028160906101582,4.10272413952182e-07
1518,OREGON,1,0.0004722667646153,1.47150180937564e-08
1519,OREGON,1,0.0005891872532508,2.47679320565796e-08
1520,WASHINGTON,1,0.127701200221135,0.0009458356824486
1521,OREGON,1,0.000367907414067,6.797537879292951e-09
1522,OREGON,1,0.0004851302046115,1.58751379803651e-08
1523,OREGON,1,0.0003237242015222,5.85115510056356e-09
1524,OREGON,1,0.0005062229828279,1.7681307452257e-08
1525,OREGON,1,0.0003498011312887,7.959082535913471e-09
1526,OREGON,1,0.0007247743081446,3.73633502432069e-08
1527,OREGON,1,0.000479730175354,1.39170491605173e-08
1528,OREGON,1,0.0009882003288181,3.17061622493912e-08
1529,OREGON,1,0.0005037689502794,1.4971794510249e-08
1530,OREGON,1,0.0004729143453009,1.49064547203684e-08
1531,OREGON,1,0.0004749418487745,1.54441685581255e-08
1532,OREGON,1,0.0004440883604572,1.17443395662497e-08
1533,OREGON,1,0.0006083802962209,2.6371366982654e-08
1534,OREGON,1,0.0004788182282031,1.20026628223893e-08
1535,OREGON,1,0.0006203305452653,2.57691077770138e-08
1536,OREGON,1,0.0010321318876355,4.38154923368568e-08
1537,OREGON,1,0.0007356164068522,2.62429540022266e-08
1538,OREGON,1,0.0006705224512643,2.49724439759222e-08
1539,OREGON,1,0.000532788990931,1.94451161561497e-08
1540,OREGON,1,0.000674981980229,2.26071811868477e-08
1541,OREGON,1,0.0006815320301447,2.89736344662895e-08
1542,OREGON,2,0.0006162783046259,2.23135156453467e-08
1543,OREGON,2,0.0006438529845126,2.8809365619821e-08
1544,WASHINGTON,1,0.0028980216267305,3.29874825264782e-07
1545,WASHINGTON,1,0.0039874569239184,4.35902103667494e-07
1546,WASHINGTON,1,0.0045192625100672,4.24434824053319e-07
1547,OREGON,1,0.0285516681889924,6.59097546440375e-06
1548,WASHINGTON,1,0.0096296166210692,1.38916624407178e-06
1549,OREGON,1,0.0025224051027541,3.05567333857892e-07
1550,OREGON,2,0.0031130111159312,5.75811833487603e-07
1551,OREGON,2,0.0007394511086555,2.9021506538938e-08
1552,OREGON,2,0.000595937898466,1.98846383859476e-08
1553,OREGON,2,0.0014711747832735,1.48221632396019e-07
1554,OREGON,2,0.0008717791973692,3.85497679818053e-08
1555,OREGON,2,0.0014874421458517,1.10406997629253e-07
1556,WASHINGTON,1,0.0007099957381246,2.72286654096775e-08
1557,OREGON,2,0.0006140760733972,2.02280996184069e-08
1558,OREGON,2,0.0006242497757418,2.29548710976126e-08
1559,OREGON,2,0.000775957160785,3.88179267963289e-08
1560,WASHINGTON,1,0.0006772005025973,2.66029302008932e-08
1561,WASHINGTON,1,0.0012243201059239,5.70523113184667e-08
1562,WASHINGTON,1,0.000584811302547,1.95330022500617e-08
1563,WASHINGTON,1,0.0006068065236461,2.41961375859978e-08
1564,WASHINGTON,1,0.0012435105764905,5.0326422610467e-08
1565,OREGON,1,0.0051178762409911,1.37327174149827e-06
1566,OREGON,1,0.00051641371405,1.46319949223959e-08
1567,OREGON,1,0.0048203915941082,6.91150794370345e-07
1568,OREGON,1,0.0008703549478664,4.62795582435496e-08
1569,OREGON,1,0.0005972359139493,1.87350234211751e-08
1570,OREGON,1,0.0025474246384456,3.08652008212478e-07
1571,OREGON,2,0.000723325663279,3.07623615568366e-08
1572,OREGON,2,0.0007051025099581,3.2173317143472e-08
1573,OREGON,2,0.0004132092328945,1.13246951161872e-08
1574,OREGON,2,0.0009019744369678,4.96393561405695e-08
1575,OREGON,2,0.000459173685679,1.38669623350822e-08
1576,OREGON,2,0.0008605309534687,4.22872185646009e-08
1577,OREGON,2,0.0004994691909682,1.81057647048465e-08
1578,OREGON,2,0.0029189415405911,3.21185998847543e-07
1579,OREGON,2,0.0011931199516601,1.07804168105568e-07
1580,OREGON,2,0.0005846433260362,2.02054944756243e-08
1581,OREGON,2,0.0004819698569497,1.63619208010338e-08
1582,OREGON,2,0.0006126891200406,2.56273851133077e-08
1583,OREGON,2,0.0008928789657187,5.95993496791746e-08
1584,OREGON,2,0.0023095008167555,2.14629365813317e-07
1585,OREGON,1,0.0013336758538963,1.30072245816245e-07
1586,OREGON,2,0.000958110486274,6.89644618102316e-08
1587,OREGON,2,0.001643383761245,1.89343167951121e-07
1588,OREGON,2,0.0021011956166524,1.84689127305525e-07
1589,WASHINGTON,1,0.0020730030129058,2.74644102066028e-07
1590,WASHINGTON,1,0.0008617275118555,4.02407280956331e-08
1591,WASHINGTON,1,0.0004713976336703,1.62459704560204e-08
1592,WASHINGTON,1,0.0004720655346107,1.53787135094207e-08
1593,WASHINGTON,1,0.0005283703719934,1.90210708050304e-08
1594,WASHINGTON,1,0.0004648230913473,1.23719511446042e-08
1595,WASHINGTON,1,0.0006114171307506,2.50088203357778e-08
