OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
378,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1509.17582653959,-87315.0532050574
379,Water,Water,RI,Rhode Island, ,0, ,False, , , ,1983.69042508136,-101725.533660622
380,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,486.804579747222,-11954.1603223086
381,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,776.869131655315,-13129.8482013116
382,Land,Other States,NY,New York,CNTYCODE,39,Rockland,True,Rockland, ,Rockland,298747.577101339,-4390087598.6799
383,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,378.241505988286,-5541.47081210487
384,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,194.778208711572,-2231.88878077673
385,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,185.848200822944,-1851.42690578675
386,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,938.172167110646,-35542.236724269
387,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,185.60738644126,-2343.38023556764
388,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,832.621881656848,-23492.7837324109
389,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,191.401159742284,-1827.92252916333
390,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,794.936941295673,-21844.7183633091
391,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,8477.38284282637,-933503.294128209
392,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,646.355201703775,-16272.9183093826
393,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1634.86147967175,-65716.8927274438
394,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,170.254439769075,-1829.77076320142
395,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,573.084491681181,-20771.6167160421
396,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,235.708038118395,-3293.00638921639
397,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,923.524094078995,-31299.3295779781
398,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,5035.01118449847,-641426.506915127
399,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,407.669220681657,-7401.06440154285
400,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,709.737253469815,-19251.6442864542
401,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,176.901631321955,-2055.86914425818
402,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,237.730195038407,-3322.64591128195
403,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,18406.0017929327,-6073872.81629859
404,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,208.326339656124,-3071.78804375026
405,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,418.816245953897,-9061.8367623527
406,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,241.845561563697,-3397.70632716487
407,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,2022.59623729453,-108071.328857477
408,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,307.617854737752,-5360.14731687891
409,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,285.268637195855,-4474.85381899
410,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,518.025990175955,-15174.5040163814
411,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,205.436117047665,-2419.10298938892
412,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,317.015683630812,-5098.79688248655
413,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,335.293867063424,-5226.08037160218
414,Land,Connecticut,CT,Connecticut,CNTY_COD,4,Middlesex,False, , , ,332.422351889232,-8167.57309576825
415,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,768.701456302336,-36968.324701196
416,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,297.983704601938,-5420.07880465075
417,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1056.01305743888,-47817.0389132587
418,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,10339.4009256659,-1892831.57150732
419,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,455.718443569396,-13416.7255236698
420,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,496.208419287918,-13373.8569165015
421,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,459.491260724568,-11790.4644022522
422,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,133.592457124047,-1137.50683092779
423,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,9114.85879033211,-1843634.25767115
424,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,288.212398844645,-4979.84405889949
425,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1746.88111730668,-116909.472783072
426,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,29506.92714158,-12284099.230675
427,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,257.592154253047,-2996.84149298051
