OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,SASC_STE_ADSYS_CODE,STE_ADSYS_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
9158,707-N,3.23,3.62,2,State Secondary (State Maintained),61,HAMDEN,2022,239432ff-fd2a-4a4b-8724-faba4ebd102d,2070.67540449413
9159,717-E,0.28,1.15,2,State Secondary (State Maintained),100,NORTH HAVEN,2022,166a0d77-e841-47f9-9557-687ef2f471f6,4650.47595153761
9160,718-N,0.0,0.27,2,State Secondary (State Maintained),59,GUILFORD,2022,f8ffed19-974e-4e5b-a610-349eca11eafd,1452.19581000213
9161,72-N-17A,0.0,0.02,5,"Ramps, Turning Roadways or Connectors",88,NEW BRITAIN,2022,2876ce1f-d883-4211-8ea2-d769495ad11f,160.498746168806
9162,72-S-33,0.0,0.17,5,"Ramps, Turning Roadways or Connectors",88,NEW BRITAIN,2022,0559d4ed-32c5-4ed8-b44d-3da600274ba2,963.413497632911
9163,738-E,0.0,0.8,2,State Secondary (State Maintained),148,WALLINGFORD,2022,7275de72-902e-4f5f-8d50-f226a78a3b4d,4262.74388898464
9164,743-N,0.0,0.64,2,State Secondary (State Maintained),144,TRUMBULL,2022,787576de-a57a-4b9c-ba9d-439d5d06900d,3376.42310748084
9165,91-S-804,0.0,0.29,5,"Ramps, Turning Roadways or Connectors",100,NORTH HAVEN,2022,a048f9f9-62a7-43da-946b-6c9dd08a9d25,1590.78789323671
9166,91-S-811,0.0,0.37,5,"Ramps, Turning Roadways or Connectors",79,MERIDEN,2022,bab073d1-7773-426c-b6e9-fa4e1716bb64,1944.04630094491
9167,91-S-832,0.0,0.43,5,"Ramps, Turning Roadways or Connectors",63,HARTFORD,2022,53a35990-e091-4e9f-b643-3f04ab504a69,2082.79210550913
9168,91-S-843,0.0,0.26,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,94d03e55-cb6a-4f46-90e4-9bcf8f887d2f,1413.61595235112
9169,914-E,0.0,0.06,A,State Maintained Stubs & Bypassed section (State Secondary),103,NORWICH,2022,7ae37052-95eb-49a0-8761-d336d24cfd45,329.150397161078
9170,93M-W,0.0,0.54,I,State Park and Forest,64,HARTLAND,2022,da6e8828-975c-4029-ad8f-dae77f4da284,2881.96975903531
9171,95-N,57.28,62.34,1,State Primary (State Maintained),59,GUILFORD,2022,2665175a-94cf-4715-b6a8-92c174ca2abe,26657.3550427349
9172,95-N,74.19,78.68,1,State Primary (State Maintained),105,OLD SAYBROOK,2022,78258de4-1a6b-42db-9b08-d8aa7bae2f6c,23760.6917703896
9173,183-N,8.21,10.35,1,State Primary (State Maintained),162,WINCHESTER,2022,a200fea1-e991-42eb-bdd9-cf90d5d51960,11330.348868678
9174,184-E,10.44,12.2,2,State Secondary (State Maintained),101,NORTH STONINGTON,2022,7954ccc0-b78d-4984-9101-f9498462b3b5,9268.92506320093
9175,184M-S,0.0,0.17,I,State Park and Forest,38,EASTFORD,2022,e1678334-2872-4a0d-bcd8-378852ccdaaf,869.452065453335
9176,187-N,7.75,8.99,2,State Secondary (State Maintained),11,BLOOMFIELD,2022,7c62ac8f-00e8-4cad-a2a8-a8a94fc5f5ba,6642.19205050444
9177,30-N,18.7,20.94,2,State Secondary (State Maintained),134,STAFFORD,2022,ddfc1522-1ee2-4fa1-b5f2-51e6fb5931e6,11814.8068140029
9178,305-E,1.0,3.42,2,State Secondary (State Maintained),164,WINDSOR,2022,7804ddb5-2e85-429c-80db-29cbc0d8a6ef,12771.4673306445
9179,307N-E,0.0,0.16,J,State institution road,51,FARMINGTON,2022,82851150-dbc0-4794-8fa6-171f368003e5,888.425844985089
9180,308N-S,0.0,0.18,J,State institution road,51,FARMINGTON,2022,832483c8-cda5-4aa8-a822-963fdf531662,954.631424426759
9181,745-E,0.84,1.21,2,State Secondary (State Maintained),92,NEW HAVEN,2022,ff522588-9fa4-41e2-8490-6c3302006f32,1954.34886075665
9182,79-N,11.69,11.98,2,State Secondary (State Maintained),69,KILLINGWORTH,2022,e01e0419-ed1c-490b-b985-01992df456e8,1535.27165350305
9183,79-N,11.98,14.34,2,State Secondary (State Maintained),37,DURHAM,2022,be6bbe79-ee9e-44a4-ba06-bb1e7a5bf341,12425.4512398605
9184,796-S-2,0.0,0.06,5,"Ramps, Turning Roadways or Connectors",83,MILFORD,2022,e46d1f36-ef10-4811-9640-7fa4cc0bad53,332.228323812284
9185,796-S-4,0.0,0.14,5,"Ramps, Turning Roadways or Connectors",83,MILFORD,2022,51c524fa-d8d6-49b9-a000-0a885fd3a346,739.693386940678
9186,8-N,14.33,15.82,1,State Primary (State Maintained),2,ANSONIA,2022,f9879562-9713-4238-8b33-b1d80107c0b7,7813.71958084382
9187,95-N,88.61,92.37,1,State Primary (State Maintained),152,WATERFORD,2022,e021db87-9bf8-4ee1-a06f-6f5f0acb794a,19943.2330853573
9188,95-N-123,0.0,0.18,5,"Ramps, Turning Roadways or Connectors",83,MILFORD,2022,a3996f20-258d-4653-84cd-dab399e5f71f,899.5504634823
9189,95-N-125,0.0,0.15,5,"Ramps, Turning Roadways or Connectors",83,MILFORD,2022,fab9c623-4f3d-414a-9485-2475119b1e6b,793.983884897171
9190,95-N-139,0.0,0.21,5,"Ramps, Turning Roadways or Connectors",83,MILFORD,2022,19208e8f-f2b1-4eb7-86cd-e9477ec237d0,1224.94818593056
9191,95-N-149,0.0,0.13,5,"Ramps, Turning Roadways or Connectors",156,WEST HAVEN,2022,7659d5ec-84e4-41b1-879e-7c04c6b0f35f,725.949014604606
9192,95-N-176,0.0,0.36,5,"Ramps, Turning Roadways or Connectors",14,BRANFORD,2022,9c352771-acaf-44d2-a8bd-dbfdaeb0bf9e,1926.03832690749
9193,95-N-178,0.0,0.28,5,"Ramps, Turning Roadways or Connectors",14,BRANFORD,2022,80acc2f1-fa14-4935-8ee8-5165d8f72302,1431.43802020994
9194,95-N-180A,0.0,0.03,5,"Ramps, Turning Roadways or Connectors",14,BRANFORD,2022,f1c311f8-4a26-4e2c-b9fa-2a716b850aae,188.642550563052
9195,95-N-182,0.0,0.38,5,"Ramps, Turning Roadways or Connectors",59,GUILFORD,2022,aedb0ffa-ac4d-4543-9767-8275566ff475,1980.9644761304
