OBJECTID,RMA_DSG,RMA_NAME,RMZ_NAME,BLM_ORG_CD,PLANID,GIS_ACRES,WEB_DOC_PATH,GLOBALID,SHAPE_Length,SHAPE_Area
4663,ERMA,Shotgun OHV Trail System,,ORN05,Northwestern and Coastal Oregon RMP 2016,626.0854211,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=104,{10EB0D36-6264-4A39-AD07-828ED5BEA4CA},8898.46817311426,4945632.16136342
4664,PLND,,,ORN03,Unknown,39.80100669,,{89F967C1-D600-401E-8DC2-C7B4C7F63532},2243.08750421586,314456.344724801
4665,PLND,,,ORN05,Unknown,49.7760452,,{C005074D-658D-4761-AFA4-2D966E2ED146},2532.32411068057,393275.886963478
4666,PLND,,,ORN05,Unknown,625.1559768,,{31C33805-038F-4363-9C94-D3B34C94B3E3},12210.2890674676,4938404.76102403
4667,SRMA,South Fork John Day River SRMA,,ORP04,John Day Basin Resource Management Plan (2015),39.26232539,,{2C3FEFEC-58CB-40C7-B56F-589BF742F272},2232.15456473479,310003.722237775
4668,PLND,,,ORP06,Unknown,78.94762629,,{9CE0A0F7-FD9B-4057-BF0A-5AB9B9CBAA34},3348.90933100828,623375.49208603
4669,ERMA,,,ORV04,Unknown,2289.90450342,,{4776F825-AF6B-4A7A-9A3C-4AD7E49ACDF4},26257.0558299856,18078722.3904073
4670,PLND,,,ORN05,Unknown,168.0046709,,{AF00816C-7C22-486A-8371-FAD8182CBE12},4610.81600975196,1327587.99635687
4671,SRMA,High Desert,Bend/Redmond Recreation Management Area,ORP06,Upper Deschutes Resource Management Plan (2005),51.01076731,,{9BF642C6-6899-494D-B806-F50A78D91E81},2900.26440441489,402775.229554029
4672,PLND,,,ORN02,Unknown,471.12330464,,{0377E3A3-F84E-470A-9392-633024D125FE},8914.13420680118,3722741.42219181
4673,PLND,,,ORN05,Unknown,1269.07763527,,{D13E3EA4-F98B-4A69-9633-E7B81942C027},26088.60533291,10016471.0846533
