AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
20,617,0,2021/10/16 04:00:00+00,617,2022/10/09 10:17:00+00,232
45,325,0,2021/10/16 04:00:00+00,325,2022/10/09 10:17:00+00,233
65,177,0,2021/10/16 04:00:00+00,177,2022/10/09 10:17:00+00,234
45,350,0,2021/11/06 04:00:00+00,350,2022/10/09 10:17:00+00,235
0,365,0,2021/11/13 05:00:00+00,365,2022/10/09 10:17:00+00,236
20,499,0,2021/11/13 05:00:00+00,499,2022/10/09 10:17:00+00,237
0,256,0,2021/11/27 05:00:00+00,256,2022/10/09 10:17:00+00,238
20,471,0,2021/11/27 05:00:00+00,471,2022/10/09 10:17:00+00,239
0,557,0,2021/12/04 05:00:00+00,557,2022/10/09 10:17:00+00,240
45,442,0,2021/12/18 05:00:00+00,442,2022/10/09 10:17:00+00,241
65,282,0,2021/12/25 05:00:00+00,282,2022/10/09 10:17:00+00,242
0,1888,0,2022/01/01 05:00:00+00,1888,2022/10/09 10:17:00+00,243
45,2367,0,2022/01/01 05:00:00+00,2367,2022/10/09 10:17:00+00,244
0,95,0,2022/04/09 04:00:00+00,95,2022/10/09 10:17:00+00,245
45,114,0,2022/04/09 04:00:00+00,114,2022/10/09 10:17:00+00,246
65,78,0,2022/04/09 04:00:00+00,78,2022/10/09 10:17:00+00,247
45,214,0,2022/04/16 04:00:00+00,214,2022/10/09 10:17:00+00,248
45,227,0,2022/04/23 04:00:00+00,227,2022/10/09 10:17:00+00,249
0,404,0,2022/04/30 04:00:00+00,404,2022/10/09 10:17:00+00,250
0,603,0,2022/08/20 04:00:00+00,603,2022/10/09 10:17:00+00,251
45,549,0,2022/08/20 04:00:00+00,549,2022/10/09 10:17:00+00,252
0,657,0,2022/08/27 04:00:00+00,657,2022/10/09 10:17:00+00,253
45,472,0,2022/09/03 04:00:00+00,472,2022/10/09 10:17:00+00,254
45,365,0,2022/09/10 04:00:00+00,365,2022/10/09 10:17:00+00,255
65,209,0,2022/10/01 04:00:00+00,209,2022/10/09 10:17:00+00,256
20,667,0,2022/03/19 04:00:00+00,667,2022/10/09 10:17:00+00,257
20,176,0,2022/04/02 04:00:00+00,176,2022/10/09 10:17:00+00,258
65,73,0,2022/04/02 04:00:00+00,73,2022/10/09 10:17:00+00,259
0,161,0,2022/04/16 04:00:00+00,161,2022/10/09 10:17:00+00,260
20,295,0,2022/04/16 04:00:00+00,295,2022/10/09 10:17:00+00,261
20,579,0,2022/05/07 04:00:00+00,579,2022/10/09 10:17:00+00,262
45,448,0,2022/05/07 04:00:00+00,448,2022/10/09 10:17:00+00,263
0,615,0,2022/05/14 04:00:00+00,615,2022/10/09 10:17:00+00,264
20,1244,0,2022/05/14 04:00:00+00,1244,2022/10/09 10:17:00+00,265
0,615,0,2022/05/21 04:00:00+00,615,2022/10/09 10:17:00+00,266
20,1514,0,2022/05/21 04:00:00+00,1514,2022/10/09 10:17:00+00,267
45,1023,0,2022/05/21 04:00:00+00,1023,2022/10/09 10:17:00+00,268
65,377,0,2022/05/28 04:00:00+00,377,2022/10/09 10:17:00+00,269
45,687,0,2022/06/11 04:00:00+00,687,2022/10/09 10:17:00+00,270
45,668,0,2022/06/18 04:00:00+00,668,2022/10/09 10:17:00+00,271
20,960,0,2022/07/02 04:00:00+00,960,2022/10/09 10:17:00+00,272
45,636,0,2022/07/09 04:00:00+00,636,2022/10/09 10:17:00+00,273
