OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4759,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,9.5639801,0.0149437,5651.36215770079,416606.863300018
4760,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,12.38259983,0.01934779,5405.80636423974,539386.874751364
4761,T,Till,Till,Till,219.05499267,0.34227401,13812.7343017087,9542053.48592271
4762,W,Water,Water,Water,13.3093996,0.0207959,5159.34421093113,579755.659830364
4763,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,29.17449951,0.0455852,11043.3410909512,1270843.45666335
4764,T,Till,Till,Till,38.70050048,0.0604695,5313.9653935872,1685791.57558848
4765,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,94.95809936,0.14837199,9809.60486713686,4136373.25801094
4766,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,2.06222009,0.00322222,1371.50372694568,89830.1490019146
4767,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,16.37929916,0.0255926,5076.27270136982,713481.36647342
4768,SG,Sand+Gravel,Sand and Gravel,Coarse,14.11989974,0.02206229,5037.76204854161,615061.305308526
4769,SW,Swamp,Swamp,Natural Postglacial,100.27100372,0.15667399,20228.1027388648,4367820.66859147
4770,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,8.42803955,0.01316879,4587.17070631237,367125.61233705
4771,SG,Sand+Gravel,Sand and Gravel,Coarse,4.66659021,0.00729154,1792.85078610566,203276.594337206
4772,SG,Sand+Gravel,Sand and Gravel,Coarse,24.11479949,0.03767929,4785.96290226849,1050438.71913115
4773,SG,Sand+Gravel,Sand and Gravel,Coarse,26.99839973,0.042185,7178.88316635976,1176048.7868536
4774,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,0.939327,0.00146769,836.329441277774,40917.1787885072
4775,TT,Thick Till,Thick Till,Thick Till,112.435997,0.17568099,14583.261890356,4897711.78927748
4776,TT,Thick Till,Thick Till,Thick Till,159.46099853,0.24915799,11876.4122067693,6946133.40885189
4777,SG,Sand+Gravel,Sand and Gravel,Coarse,3.9367299,0.00615114,1668.5624620961,171484.056059055
4778,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,95.81929779,0.149718,14089.8950493042,4173887.11450443
4779,SW,Swamp,Swamp,Natural Postglacial,48.3755989,0.0755869,7941.8631912172,2107242.69445035
4780,SG,Sand+Gravel,Sand and Gravel,Coarse,2.4244399,0.00378817,1383.99175254715,105608.369067512
4781,SG,Sand+Gravel,Sand and Gravel,Coarse,22.30200004,0.03484689,4968.11999734688,971476.177178611
4782,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,5.16757011,0.00807433,3024.52307575061,225099.602842318
4783,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,396.75601196,0.61993199,25641.8277955108,17282694.9960519
4784,TT,Thick Till,Thick Till,Thick Till,93.93979644,0.14678099,9651.58941497166,4092015.33852299
4785,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,72.41600036,0.11315,11118.0342459596,3154438.99779076
4786,TT,Thick Till,Thick Till,Thick Till,46.56190109,0.07275299,6187.37203719081,2028235.86320367
4787,SW,Swamp,Swamp,Natural Postglacial,39.40230178,0.0615662,8973.74459002743,1716365.43760255
4788,TT,Thick Till,Thick Till,Thick Till,88.67160034,0.138549,12033.1669940236,3862533.6973524
4789,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,15.96189975,0.0249405,6278.41180692932,695299.868165032
4790,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,5.66314983,0.00884868,3984.07054253774,246687.311244311
4791,SW,Swamp,Swamp,Natural Postglacial,24.09889984,0.0376545,7279.28619011341,1049747.74033752
4792,SG,Sand+Gravel,Sand and Gravel,Coarse,38.36650085,0.05994769,9606.17407290561,1671245.80981607
4793,T,Till,Till,Till,6.89031982,0.0107661,2096.42242595278,300142.412358844
4794,TT,Thick Till,Thick Till,Thick Till,38.46350097,0.06009929,5372.38843719988,1675471.88049681
4795,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,0.41662201,0.00065097,746.258540692834,18148.0799234901
4796,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,11.92539978,0.01863349,3664.12088783356,519471.824224626
4797,SW,Swamp,Swamp,Natural Postglacial,12.13409996,0.01895949,3965.3244653971,528560.50031393
4798,SW,Swamp,Swamp,Natural Postglacial,63.94039916,0.09990689,7778.68171919845,2785243.96506067
4799,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,678.80401611,1.06062996,55303.5462933945,29568686.1218096
4800,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,148.72599792,0.23238499,11957.6647845099,6478513.91181804
4801,W,Water,Water,Water,107.69799804,0.16827799,50090.7628636648,4691321.66329808
4802,TT,Thick Till,Thick Till,Thick Till,46.99470138,0.07342919,6125.83831610619,2047088.95979089
4803,SG,Sand+Gravel,Sand and Gravel,Coarse,139.57299804,0.21808199,14045.4587708538,6079785.65376256
4804,W,Water,Water,Water,5.56053018,0.00868833,2393.58914132529,242216.931258737
4805,TT,Thick Till,Thick Till,Thick Till,26.21120071,0.04095499,4566.56333941936,1141759.81160025
4806,W,Water,Water,Water,40.4239006,0.06316229,8188.31065841327,1760863.37462808
4807,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,188.52400207,0.29456898,26656.8861461715,8212124.36042604
4808,SG,Sand+Gravel,Sand and Gravel,Coarse,7.16902017,0.01120159,2543.56709776855,312282.363707199
4809,SW,Swamp,Swamp,Natural Postglacial,25.50480079,0.0398513,5260.60898783589,1110991.22811984
4810,SG,Sand+Gravel,Sand and Gravel,Coarse,8.35776996,0.01305899,2393.93984731435,364064.545499304
4811,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,21.98530006,0.034352,7628.71223333369,957678.4203239
