OBJECTID,ID,SURFACE_MATERIAL,MAINTENANCE_RESPONSIBILITY,WIDTH,COMMENTS,GLOBALID,PLAN_NUM,MAPNUM,DEEDBOOK,DEEDPAGE,TRAIL_NAME,ADDITION_TRAIL_NAME,TRAILOWNER,TRAILNAME,SOURCEDATE,SOURCETYPE,ADA,SIGNAGE,RESTRICTION,PARK_REGISTRY_ID,TRIRIGA_ID,SENSITIVE_RESOURCE,DIFFICULTY,STEPS,PARK_NAME,SUPERVISOR_DISTRICT,PLANNING_DISTRICT,MAINTENANCE_AREA,CreationDate,Creator,EditDate,Editor,Shape__Length
4925,804253,Asphalt,Fairfax County Park Authority,6.0,,19d22649-62ae-4a66-95a4-533d81af1c73,,0612,,,,,,,2007/04/13 00:00:00+00,GPS,,,,296.0,PA296-TRL-A,, ,F,Spring Lane,Mason,Baileys,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,225.320231228981
4926,801005,Natural,Fairfax County Park Authority,8.0,,b14c9bb5-8414-4e86-846f-b8d529841aea,,0182,,,Hunter Mill Bypass,,,,2007/03/06 00:00:00+00,GPS,,,,169.0,PA169-TRL-N,, ,F,Lake Fairfax,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,672.604693707549
4927,803601,Natural,Fairfax County Park Authority,4.0,,7c24952a-4200-4ebd-8ef3-4ae750dff9ca,,0712,,,,,,,2007/04/16 00:00:00+00,GPS,,,,205.0,PA205-TRL-N,, ,F,Mason District,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,293.191496459703
4928,803157,Concrete,Fairfax County Park Authority,6.0,,b10351a7-cd33-48f9-982f-1ba8bdb1d286,,0824,,,,,,,2007/04/12 00:00:00+00,GPS,,,,271.0,PA271-TRL-C,, ,F,Ridgeview,Franconia,Rose Hill,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,33.4162444226734
4929,803794,Natural,Fairfax County Park Authority,4.0,,65188fc9-b9b1-4729-b34b-df99adb2e550,,0594,,,,,,,2007/04/13 00:00:00+00,GPS,,,,5.0,PA5-TRL-N,, ,F,Annandale,Mason,Annandale,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,105.973653736592
4930,803654,Asphalt,Fairfax County Park Authority,4.0,,f4dabbac-105e-4030-a6c2-e9e82478d34f,,0623,,,,,,,2007/04/13 00:00:00+00,GPS,,,,90.0,PA90-TRL-A,, ,F,Skyline,Mason,Baileys,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,104.723518933004
4931,802970,Bridge,Fairfax County Park Authority,4.0,,7a4374cd-a524-409b-abda-54ab6be01554,,0781,,,,,,,2007/03/29 00:00:00+00,GPS,,,,259.0,PA259-TRL-BG,, ,F,Pohick Stream Valley,Braddock,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,60.5763819548359
4932,803022,Asphalt,Fairfax County Park Authority,8.0,FFX Co Parkway Trail ,d5094e70-0b60-47e9-8327-deb4aed059a6,,0883,,,Fairfax County Parkway Trail,,,,2007/04/05 00:00:00+00,GPS,,,,292.0,PA292-TRL-A,, ,F,South Run District,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,915.709267713773
4933,805079,Asphalt,Fairfax County Park Authority,6.0,,a0e7575e-70a4-43b9-80f5-d9f3d3d2f9ee,8082-SAB-01-1,0903,,,,,,,2007/04/03 00:00:00+00,GPS,,,,142.0,PA142-TRL-A,, ,F,Hooes Road,Franconia,Springfield,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,49.0229073921021
4934,802697,Asphalt,Fairfax County Park Authority,6.0,,8f6de7ef-f567-410e-acca-c4098d0bd06c,,0893,,,,,,,2007/04/03 00:00:00+00,GPS,,,,214.0,PA214-TRL-A,, ,F,Middle Run Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,407.754451169437
4936,804888,Stonedust,Fairfax County Park Authority,6.0,,88c523bd-d143-4291-96f6-5babd8173120,,0372,,,,,,,2007/04/19 00:00:00+00,GPS,,,,160.0,PA160-TRL-SD,, ,F,Kemper,Hunter Mill,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,119.530214456955
4937,800066,Natural,Fairfax County Park Authority,4.0,,06f574d2-1c9c-4e6d-9b25-36ae9b21a7e9,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-N,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,157.65512658133
4938,804861,Natural,Fairfax County Park Authority,6.0,,2c8d14f7-c2ba-4c4f-b60f-48f3b9802705,,0381,,,,,,,2007/04/19 00:00:00+00,GPS,,,,78.0,PA78-TRL-N,, ,F,Eudora,Hunter Mill,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,507.354884243756
4939,803904,Asphalt,Fairfax County Park Authority,6.0,,04b83fa5-2861-4d52-8a17-5c8d4d7db9d1,,0602,,,,,,,2007/04/16 00:00:00+00,GPS,,,,141.0,PA141-TRL-A,, ,F,Holmes Run Stream Valley,Mason,Jefferson,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1102.74847407618
4940,801093,Asphalt,Fairfax County Park Authority,8.0,,4bf183fd-ae73-404c-83e9-b63be3c8e746,,0252,,,,,,,2007/03/09 00:00:00+00,GPS,,,,302.0,PA302-TRL-A,, ,F,Stratton Woods,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,213.065747440609
4941,804999,Asphalt,Fairfax County Park Authority,6.0,,83c1e07b-3307-467a-a180-e9662cb3cbf3,,0484,,,,,,,2011/06/13 00:00:00+00,GPS,,,,369.0,PA369-TRL-A,,,F,Armistead,Providence,Vienna,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,141.311851454039
4942,804505,Natural,Fairfax County Park Authority,8.0,,ac493827-2c63-4e2a-9faa-fad2a963a973,,0402,,,,,,,2007/04/20 00:00:00+00,GPS,,,,248.0,PA248-TRL-N,, ,F,Kent Gardens Greenway Stream Valley,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,24.3365083654067
4943,800148,Concrete,Fairfax County Park Authority,8.0,,3c0577b6-41b7-4fea-b53f-bb9415ccb71a,,0792,,,,,,,2007/02/21 00:00:00+00,GPS,,,,167.0,PA167-TRL-C,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,26.9486766134482
