OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,GlobalID,ADMIN_ST,SHAPE_Length
4142,UNK,UNK,UNK,UNK,40,{6FFD583C-EB87-4C5B-9B24-A8D23440613E},UT,8160.02138521339
4143,UNK,UNK,UNK,UNK,40,{2D1365C7-86EC-4C88-A9D7-65C332E5C792},UT,7511.97503987629
4144,UNK,UNK,UNK,UNK,40,{B65DD50D-A460-4DA8-A2EB-249404778F3D},UT,12468.7981132369
4145,UNK,UNK,UNK,UNK,40,{837DEE81-85DD-47CB-A51A-F9A1D7BD8394},UT,19144.3673588815
4146,MAP,MAP,UNK,UNK,-1,{B8983ABB-BBB9-4105-B6FE-EAFC99D542B7},UT,20006.2391953147
4147,UNK,UNK,UNK,UNK,40,{1EFC6226-2373-4AE4-9861-4C05B3DDFB54},UT,1227.74255275727
4148,UNK,UNK,UNK,UNK,40,{EB287F95-EDEA-41D1-B8AD-67CE3F08954F},UT,149.003574559094
4149,UNK,UNK,UNK,UNK,40,{E47E5052-2C0D-4652-A52A-F5965D70035A},UT,13317.0240710153
4150,MAP,MAP,UNK,UNK,-1,{F4FCCDA5-634A-45C6-B52F-49933AA8BEBD},UT,14739.6004968464
4151,UNK,UNK,UNK,UNK,40,{C2A0BAF5-09AD-412B-95EB-88B6BC574265},UT,2099.72404736187
4152,UNK,UNK,UNK,UNK,40,{19F178D2-7575-48A9-A776-A84CB7104154},UT,5389.25771236622
4153,UNK,UNK,UNK,UNK,40,{FD5AEFDB-D112-4FE1-BA01-695111BDB8D0},UT,13812.2169909086
4154,MAP,MAP,PLSS,PARCEL,167,{D9DC5139-62B2-4297-BB20-5012D3D3075D},UT,7833.32765557999
4155,MAP,MAP,UNK,UNK,-1,{C0D57644-661C-4DAE-A2D2-28B52B735213},UT,3861.18084883233
4156,MAP,MAP,PLSS,PARCEL,167,{BC20F58D-3AC0-4C06-83E6-A7D5907AD6AC},UT,2592.2582087535
4158,MAP,MAP,PLSS,PARCEL,167,{A09EF6C6-B177-4342-BA64-3105FE0F2611},UT,1268.80397615479
4159,MAP,MAP,PLSS,PARCEL,167,{6BABB119-BD6C-473F-B48D-61F2EE74BBDD},UT,2437.77742157343
4160,MAP,MAP,UNK,UNK,-1,{F994E902-C68A-4A18-B322-A9FC3B6D852E},UT,3672.61606384285
4161,UNK,UNK,UNK,UNK,40,{AC6E79E8-1FBD-4245-AE05-795D1070E9AE},UT,14173.0213288914
4162,MAP,MAP,UNK,UNK,-1,{7365153A-8532-4D26-90D8-8FA85E8491EB},UT,16694.032890304
4163,UNK,UNK,UNK,UNK,40,{439069C3-85C7-49C9-BC80-7FE68EFE51D5},UT,822.540897392798
4164,MAP,MAP,PLSS,PARCEL,167,{0DFD8FC5-79EE-4CF9-81CC-4E36EF382728},UT,2159.20965339282
4165,UNK,UNK,UNK,UNK,40,{2BBB63F5-47EF-455C-9977-8135B1F6DBF4},UT,16076.0934934605
4166,MAP,MAP,PLSS,PARCEL,167,{2E28F5C0-AB50-456E-9AC9-3BFE45EC0502},UT,1209.93498992592
4167,MAP,MAP,PLSS,PARCEL,167,{8A1AAD00-9532-44C1-8E9C-AB068E6DF2DE},UT,1031.9518797637
4168,MAP,MAP,UNK,UNK,-1,{05D4A9E6-907F-44D6-BD17-5433C0883142},UT,15719.9806348681
4169,MAP,MAP,PLSS,PARCEL,167,{B9262A36-272E-41CF-BDC8-7D5116D6DFD2},UT,956.828634406716
4170,MAP,MAP,PLSS,PARCEL,167,{5DCEA503-FFE2-486E-9A3A-0097877546F8},UT,10513.8765178699
4171,UNK,UNK,UNK,UNK,40,{F90460DB-A5C8-4633-85CD-2EBA427F5A9F},UT,13129.1878118172
4172,UNK,UNK,UNK,UNK,40,{3CF2E8D4-34B6-4327-BDCB-ED6E69EC302B},UT,7720.36458799001
4173,UNK,UNK,UNK,UNK,40,{A6E1C0AE-3DBA-428A-BD8A-11153B2628B5},UT,16051.0977014357
4174,UNK,UNK,UNK,UNK,40,{F5992999-F2F3-4842-A807-19D62D80185D},UT,8807.71489808312
4176,MAP,MAP,UNK,UNK,-1,{7089436C-AC77-412D-9D7C-567F3670B875},UT,11503.5839147549
4177,MAP,MAP,UNK,UNK,-1,{039A2BE6-32DE-4C59-A025-8360E31426F4},UT,4365.79068103504
4178,UNK,UNK,UNK,UNK,40,{68F4480B-A366-4C12-BAE7-3058DDE81EA4},UT,12057.9211724218
4179,MAP,MAP,UNK,UNK,-1,{16839ED1-6A1C-445F-AD94-933604B2448D},UT,20543.2208195973
4180,MAP,MAP,PLSS,PARCEL,167,{0B3FA96A-D571-4A78-BE84-9E8654BC61F6},UT,3663.50391064287
4181,UNK,UNK,UNK,UNK,40,{CE194C7F-0672-46D6-A3F0-AD73A7DFE504},UT,7723.6116144044
4182,UNK,UNK,UNK,UNK,40,{A28B3E64-E494-4092-9D3F-F44085470B1B},UT,4194.81039843066
4183,UNK,UNK,UNK,UNK,40,{3BADA231-E632-4A1E-9A81-6D7C292B1614},UT,182.456537065315
4184,UNK,UNK,UNK,UNK,40,{29C6BA37-9790-45BE-86A3-507A3EF54B2B},UT,20887.7927493704
4185,MAP,MAP,PLSS,PARCEL,167,{D9A7DF47-340B-40A2-B26A-5F5F86C4257A},UT,53034.9663542995
4186,MAP,MAP,UNK,UNK,-1,{D676112C-F192-43AB-BAEE-36427552F8B0},UT,7040.88538893805
4187,MAP,MAP,PLSS,PARCEL,167,{DF43C279-616F-4C56-B5D7-7A791EB87EF5},UT,5213.01747658222
4188,UNK,UNK,UNK,UNK,40,{541C0751-7754-4230-B2FE-91201C3BA00C},UT,201.811472956904
