ObjectId,Source_Name,Road,From_,To_,Classification,District,Lane_Miles
403,FY 18-19,E Indian Trl,Poplar Level Rd,Newburg Rd,Minor Arterial,2,2.120232288
404,FY 18-19,Briarbridge Ln,Hikes Ln,Brinkley Way,Local,26,0.312074472
405,FY 18-19,Brinkley Way,Dead end,Dead End,Local,26,0.240063878
406,FY 17-18,Frey Dr,Gordon Rd,Poplar Level Rd,Local,2,0.324093893
407,FY 17-18,Millers Ln,Valley Station Rd,Youngstown Dr,Local,25,1.296488523
408,FY 18-19,E Kentucky St,S 1st St,Barret Ave,Primary Collector,4,4.599298902
409,FY 17-18,Wesboro Rd,Greenlawn Rd,Hayward Rd,Pvmt Rehab,7,0.355129852
410,FY 18-19,Briscoe Ridge Ln,Briscoe Ln,Dead End - south,Local,24,0.496445172
411,FY 17-18,Mockingbird Ln,Jarvis,Mockingbird Valley,Local,9,0.303360121
412,FY 17-18,Fruitwood Dr,Leemont Dr,Pond Creek Dr,Local,14,0.454869759
413,FY 18-19,E Kingston Ave,W Kingston Ave,E Southland Blvd,Local,21,0.720979071
414,FY 17-18,Wimstock Ave,Hopedale Way,Ethan Allen Way,Local,14,0.912950135
415,FY 18-19,Brixham Ct,Saratoga Ridge Dr,Dead End,Local,20,0.05830834
416,FY 17-18,N & S 16th St,Bank St,W Market St,Minor Arterial,"4, 5",0.725777683
417,FY 17-18,Gary Way,Glengarry Dr,Cheri Way,Local,13,0.368069609
418,FY 18-19,E Southland Blvd,S 1st St,Dead End,Local,21,1.039216068
419,FY 17-18,Winding View Trail,Eastwood Fisherville,End,Local,20,1.167886052
420,FY 18-19,Broad Run Rd,Seatonville Rd,Back Run Rd,Secondary Collector,22,4.454052089
421,FY 18-19,Kim Dr,Kenny Blvd,Scottsdale Blvd,Pvmt Rehab,13,0.449384591
422,FY 17-18,N & S 1st St,Broadway,Hill St,Minor Arterial,"4, 6",4.827923931
423,FY 18-19,Nansen Ct,Nansen Trce,Dead End,Local,23,0.050545299
424,FY 17-18,Gatecreek Rd,Holiday Dr,HiView Ln,Local,25,0.433725093
425,FY 18-19,Eastlawn Ave,S 32nd St,S 32nd St,Local,5,0.229872634
426,FY 17-18,Windy Elm Ct,High Pine Dr,Dead End,Local,12,0.148093737
427,FY 18-19,Brownwood Dr,Wenwood Dr,Dead End,Local,11,0.236150061
428,FY 18-19,Kousa Ct,White Blossom Blvd,Dead End,Local,17,0.100214874
429,FY 17-18,N & S Brook St,E Main St,E Broadway,Minor Arterial,"4, 6",2.514820724
430,FY 18-19,Nansen Trce,Astrid Ave,Dead End,Local,23,0.248107034
431,FY 17-18,Gingerwood Dr,Landside Dr,Woodgate Ln,Pvmt Rehab,10,0.645820361
432,FY 18-19,Edgeforest Pl,Lake Forest Pkwy,Dead End,Local,19,0.126149022
433,FY 17-18,Wisertown Rd,Manslick Rd,3rd Street Rd,Primary Collector,25,0.318142902
434,FY 17-18,Wolf Pen Branch Rd,US 42,Springdale Blvd,Collector,16,1.173334371
435,FY 17-18,Wood Briar Cir,Dead end,Wood Briar Rd,Local,16,0.031149466
436,FY 17-18,Wood Briar Pl,Dead end,Wood Briar Rd,Local,16,0.036711291
437,FY 17-18,Woodgate Ln,Six Mile Ln,Sudbury Ln,Pvmt Rehab,10,1.645554431
438,FY 17-18,Wyandotte Ave,Cypress St,Dead End,Local,3,0.715448578
439,FY 17-18,Wyckford Way,Downing Way,Downing Way,Local,26,0.350889568
440,FY 18-19,3rd St Access Rd,9601 3rdt Rd,9619 3rd Rd,,25,0.219093246
441,FY 18-19,3rd St Access Rd,9711 3rd Rd,9731 3rdt Rd,,25,0.253174418
442,FY 18-19,Alder Ave,Preston Hwy,Lotus Ave,Local,21,0.574657241
443,FY 18-19,Alpine Way,W Kenwood Dr,Orchard Hill Dr,Local,21,0.708937057
444,FY 18-19,Amber Ridge Ct,Stone Wynde Dr,Dead End,Pvmt Rehab,25,0.150281738
445,FY 18-19,Annie St,Wilson Ave,Beech St,Local,3,0.122757134
446,FY 18-19,Arden Rd,Taylorsville Rd,Dead End,,26,0.489470541
447,FY 18-19,Arlington Ave,N Charlton St,Haldeman Ave,Local,9,0.925368726
448,FY 18-19,Arnold Palmer Blvd,Landmark Dr,Oakhurst Rd,Local,19,3.481927242
449,FY 18-19,Ashgrove Pl,Arnold Palmer Blvd,Dead End,Local,19,0.086439589
450,FY 18-19,Aspen Ave,W Pages Ln,Maryman Rd,Pvmt Rehab,14,0.456103451
451,FY 18-19,Astrid Ave,E Manslick Rd,Nansen Trce,Local,23,0.8672626
452,FY 18-19,Astrid Way,Astrid Ave,Dead End,Local,23,0.182164836
453,FY 18-19,Avon Ct,Dead end,Dead End,,26,0.127057854
454,FY 18-19,Avon Rd,Taylorsville Rd,Avon Ct,,26,0.512661967
455,FY 18-19,Bahia Ct,Mile of Sunshine Dr,Dead End,Local,2,0.04977474
456,FY 18-19,Bainbridge Ct,Roseborough Rd,Dead End,Local,23,0.084686843
457,FY 18-19,Bakers Fall Ct,Saratoga Hill Rd,Dead End,Local,20,0.135005258
458,FY 18-19,Bakers Ln,New Cut Rd,Dead End,Local,13,0.667082132
459,FY 18-19,Barnlake Dr,Blackhorse Dr,Dead End,Local,22,0.050517709
