OBJECTID,DBASIN_FEA_KEY,DBASIN_REC_WTRBDY_NAME,DBASIN_NAME,DBASIN_ALT_NAME,DBASIN_AREA_SQFT_NBR,DBASIN_AREA_ACRES_NBR,SHAPE_Length,SHAPE_Area
47,4039660,Duwamish Waterway,DW_DB_170,SW Idaho St SD,1465595.1711,33.6454,6356.80992764649,1465595.17108662
48,4039661,Duwamish Waterway,DW_DB_151,B-1,209535.438,4.8103,2336.40230467731,209535.47895223
49,4039662,Lake Washington,LW_DB_128,Ithaca Pl S SD,6659909.2706,152.8905,14758.5094071948,6659909.2734206
50,4039663,Lake Union/Ship Canal,LU_DB_017,NW 43rd St SD,751026.9731,17.2412,4299.58604278292,751026.970579928
51,4039664,Lake Washington,LW_DB_029,Inverness Dr NE SD,1984288.554,45.553,6073.24527103819,1984288.45558474
52,4039665,Duwamish Waterway,DW_DB_091,"B-36, S Spokane St SD",244588.9927,5.615,2524.68670404509,244589.002389943
53,4039666,Duwamish Waterway,DW_DB_113,S River St SD,281395.1596,6.4599,3354.17043608321,281395.16068553
54,4039667,Duwamish Waterway,DW_DB_084,S Lander St SD,18924782.9726,434.4532,44541.5144066946,18924782.9725875
55,4039668,Lake Washington,LW_DB_062,E Denny Blaine Pl SD,1959587.6645,44.9859,9409.88096531263,1959587.55167319
56,4039669,Lake Union/Ship Canal,LU_DB_016,14th Ave NW SD,31057194.8781,712.9751,30252.5878485324,31057194.8780767
57,4039670,Lake Washington,LW_DB_106,S Eddy St SD,710240.1304,16.3049,4478.33530009166,710240.128480006
58,4039671,Lake Washington,LW_DB_035,55th Ave NE SD,1270446.1658,29.1654,4929.57499849487,1270446.02244373
59,4039672,Puget Sound,PS_DB_077,S Washington St SD,318629.7083,7.3147,4166.5009212014,318629.57747361
60,4039673,Lake Union/Ship Canal,LU_DB_020,Stone Ave N SD,11525117.1515,264.5803,20187.1171146897,11525117.1352222
61,4039674,Lake Union/Ship Canal,LU_DB_022,N North Lake Pl SD,362285.2593,8.3169,3110.38967631418,362285.259970302
62,4039675,Puget Sound,PS_DB_006,Seaview Ave NW SD D,468280.6566,10.7502,2793.20566044163,468280.521422877
63,4039676,Lake Washington,LW_DB_066,S Jackson St SD,307674.7195,7.0632,3588.16255085212,307674.613530536
64,4039677,Lake Washington,LW_DB_127,S Henderson St SD,23175736.3998,532.0417,55852.1492545943,23175736.3998314
65,4039678,Lake Washington,LW_DB_063,Madrona Dr SD,5036072.7909,115.6123,11711.2855128179,5036072.53082512
66,4039679,Lake Washington,LW_DB_129,S Cooper St SD,1916540.3899,43.9977,8229.77253477346,1916540.39182729
67,4039680,Lake Washington,LW_DB_104,S Dawson St SD,596917.3943,13.7033,4687.7875045757,596917.401490631
68,4039681,Lake Union/Ship Canal,LU_DB_027,Brooklyn Ave NE SD,10391574.8008,238.5577,20501.6741418225,10391574.8008041
69,4039682,Lake Washington,LW_DB_032,NE 60th St SD,1680066.2784,38.569,7597.97887832777,1680066.46149466
70,4039683,Lake Washington,LW_DB_102,S Angeline St SD,1510821.5724,34.6837,7568.71755577677,1510821.57008256
71,4039684,Puget Sound,PS_DB_180,SW Carroll St SD,2471515.5895,56.7382,8902.18822640999,2471515.67867313
72,4039685,Duwamish Waterway,DW_DB_123,Slip4-WSDOT003,6552063.0126,150.4147,31487.951216263,6552063.01157628
73,4039688,Duwamish Waterway,DW_DB_171,Highland Park Wy SW SD,13525726.4625,310.508,23905.1390138191,13525726.462496
74,4039689,Puget Sound,PS_DB_161,Harbor Ave SW SD,631361.6768,14.4941,4527.1892623858,631361.763398184
75,4039690,Lake Washington,LW_DB_070,S Norman St SD,476427.5406,10.9373,3197.70726090862,476427.583247464
76,4039691,Puget Sound,PS_DB_182,SW Canada Dr SD,23786770.1326,546.0691,30288.6335079837,23786769.5925394
77,4039692,Lake Union/Ship Canal,LU_DB_021,N Northlake Way SD,324404.2068,7.4473,3782.96807240319,324404.208466107
78,4039693,Puget Sound,PS_DB_179,63rd Ave SW SD,7763932.4073,178.2354,18043.4195806632,7763932.31028602
79,4039694,Puget Sound,PS_DB_076,Madison St SD,465603.5146,10.6888,4693.5268375127,465603.463342117
80,4039695,Puget Sound,PS_DB_004,Seaview Ave NW SD B,166379.8838,3.8196,2036.53197185194,166379.768788913
81,4039696,Lake Washington,LW_DB_109,S Othello St SD,2325888.6481,53.3951,10063.9075733692,2325888.63971326
82,4039697,Puget Sound,PS_DB_002,NW Neptune Pl SD,12168366.306,279.3473,18532.8066309302,12168366.3043767
83,4039698,Puget Sound,PS_DB_041,W Dravus St SD,485700.7853,11.1502,3326.05277675953,485700.816800292
84,4039699,Lake Union/Ship Canal,LU_DB_023,N 36th St SD,482258.7274,11.0711,4966.00558062538,482258.72613635
85,4039700,Puget Sound,PS_DB_008,Seaview Ave NW SD F,221271.0166,5.0797,2050.60379441139,221271.053631143
86,4039701,Lake Washington,LW_DB_105,S Juneau St SD,5058882.3987,116.136,13574.4339589631,5058882.41547806
87,4039702,Puget Sound,PS_DB_048,23rd Ave W SD,533745.6411,12.2531,3842.88821086675,533745.560796753
88,4039703,Puget Sound,PS_DB_074,Pine St SD,202961.0271,4.6593,2830.86690632485,202960.978483437
89,4039704,Lake Union/Ship Canal,LU_DB_012,28th Ave NW SD,8194846.6391,188.1278,12388.5878928816,8194846.63907535
90,4039705,Duwamish Waterway,DW_DB_095,S Nevada St SD,1052569.8601,24.1637,4676.5103711114,1052569.86000615
91,4039706,Lake Union/Ship Canal,LU_DB_015,,183455.1574,4.2116,2273.24376700673,183455.146813967
92,4039707,Puget Sound,PS_DB_160,SW Maryland Pl SD,83271.883,1.9117,1337.66800632459,83271.8276592171
93,4039708,Puget Sound,PS_DB_163,Fairmount Ave SW SD,6239404.8261,143.237,18680.3146056849,6239404.61771923
94,4039709,Lake Union/Ship Canal,LU_DB_053,E Garfield St SD,1052619.5707,24.1648,10918.5468070774,1052619.57614329
95,4039710,Duwamish Waterway,DW_DB_079,"B-25, S Massachusetts St SD",197791.6259,4.5407,2526.800747257,197791.62359252
96,4039711,Duwamish Waterway,DW_DB_083,B-29,377231.4097,8.66,2824.84878073811,377231.412814442
97,4039712,Duwamish Waterway,DW_DB_082,B-28,209445.0885,4.8082,2431.41064479783,209445.013863238
98,4039713,Duwamish Waterway,DW_DB_080,B-26,544839.766,12.5078,3185.7290229272,544839.71649703
99,4039714,Duwamish Waterway,DW_DB_085,B-30,274642.5545,6.3049,2588.71528433217,274642.546170337
100,4039715,Duwamish Waterway,DW_DB_086,B-31,459374.7192,10.5458,3200.18045822565,459374.705151585
101,4039716,Duwamish Waterway,DW_DB_087,B-32,148275.4955,3.4039,2227.45620181807,148275.493930872
102,4039717,Duwamish Waterway,DW_DB_090,B-34,501137.9806,11.5045,3121.43262093342,501137.983747013
103,4039718,Puget Sound,PS_DB_132,B-24,391734.7651,8.993,2966.6905775263,391734.796859658
104,4039719,Puget Sound,PS_DB_133,,8603.8816,0.1975,386.208733149748,8603.88584915389
105,4039720,Puget Sound,PS_DB_136,B-23,470907.5798,10.8106,2734.29992753288,470907.623487985
106,4039721,Puget Sound,PS_DB_134,,634127.7047,14.5576,7199.94127225145,634127.944754851
107,4039722,Duwamish Waterway,DW_DB_137,B-22,522134.5343,11.9866,2927.62627125817,522134.601902724
108,4039723,Duwamish Waterway,DW_DB_138,"B-21, SW Florida St SD",554789.8459,12.7362,5492.74530316929,554789.845130116
109,4039724,Duwamish Waterway,DW_DB_139,B-19,230728.8086,5.2968,2275.01151861873,230728.813574568
110,4039725,Duwamish Waterway,DW_DB_140,B-18,323015.821,7.4154,2278.6137531387,323015.813901857
111,4039726,Duwamish Waterway,DW_DB_142,B-16,192889.7835,4.4281,1893.40323804016,192889.769375307
112,4039727,Duwamish Waterway,DW_DB_145,B-12,284003.0433,6.5198,2506.91469229192,284003.113962044
113,4039728,Duwamish Waterway,DW_DB_146,B-10,315061.5498,7.2328,2516.93519153094,315061.513863371
114,4039729,Duwamish Waterway,DW_DB_147,B-7,598691.5997,13.7441,3549.41598836491,598691.54568846
115,4039732,Puget Sound,PS_DB_135,,6140.2343,0.141,361.678020527563,6140.26467561126
116,4039733,Duwamish Waterway,DW_DB_158,SW Florida St,656458.0532,15.0702,7516.6863892157,656458.053187292
117,4039734,Duwamish Waterway,DW_DB_154,SW Spokane St,747993.374,17.1716,6254.04190813013,747993.214508764
118,4039735,Duwamish Waterway,DW_DB_148,"B-5, SW Spokane St SD",94017.5342,2.1583,2427.0551992567,94017.5175768231
119,4039736,Duwamish Waterway,DW_DB_094,7042,51376.6453,1.1794,1015.20028664272,51376.6411288655
120,4039737,Duwamish Waterway,DW_DB_093,B-37,273143.1814,6.2705,2743.52139935755,273143.180653461
121,4039738,Duwamish Waterway,DW_DB_115,S Myrtle St SD,267961.1628,6.1515,3523.12859942067,267961.158045939
122,4039739,Duwamish Waterway,DW_DB_116,S Garden St SD,490824.7764,11.2678,3825.49398763119,490824.780265712
123,4039741,Duwamish Waterway,DW_DB_072,Diagonal Ave S SD,116054826.349,2664.2522,124730.116194475,116054826.353578
124,4039742,Duwamish Waterway,DW_DB_121,Georgetown Flume,255759.3923,5.8714,4724.91546609256,255759.392361371
125,4039743,Puget Sound,PS_DB_007,Seaview Ave NW SD E,314590.104,7.222,2394.89385598514,314590.132791325
