Day,Month,Year,ST_14316495 (mm),ST_06037000 (mm),ST_14338000 (mm)
6,8,1982,0.0,0.00575,0.0
7,8,1982,0.0,0.0,0.0
8,8,1982,0.0,0.361699995,0.0
9,8,1982,2.556599998,3.315299988,0.0
10,8,1982,0.0,5.096350002,0.0
11,8,1982,6.964000034,0.0,4.508761951
12,8,1982,0.0,0.0,0.011095238
13,8,1982,0.0,0.0,0.0
14,8,1982,0.0,0.0,0.0
15,8,1982,0.063399999,0.0,0.0
16,8,1982,0.0,0.0,0.0
17,8,1982,0.0,0.0,0.0
18,8,1982,0.0,0.0,0.0
19,8,1982,0.0,2.09274999,0.0
20,8,1982,0.0,0.0,0.0
21,8,1982,0.0,0.244799997,0.0
22,8,1982,0.0,1.386399999,0.0
23,8,1982,0.0,0.251250002,0.0
24,8,1982,0.0,1.372550011,0.0
25,8,1982,0.0,0.0,0.0
26,8,1982,0.0,0.0,0.0
27,8,1982,0.0,2.469449991,0.0
28,8,1982,0.0,0.0,0.0
29,8,1982,7.186600018,0.859900004,7.628095241
30,8,1982,4.857200003,8.00485003,0.816285715
31,8,1982,0.0,2.128750005,0.0
1,9,1982,0.0,0.827449997,0.0
2,9,1982,0.0,0.0,0.0
3,9,1982,1.389199996,0.0,0.0
4,9,1982,0.140000006,0.0,1.999952362
5,9,1982,1.07700001,1.968349987,0.152380954
6,9,1982,0.0,0.0,0.0
7,9,1982,0.0,0.0,0.0
8,9,1982,0.0,0.0,0.0
9,9,1982,0.0,0.0,0.0
10,9,1982,3.314599991,0.0,1.960190478
11,9,1982,3.736800003,1.332699994,0.253809523
