OBJECTID,AV_LEGEND,CLASS,AREANAME,SHAPE_Length,SHAPE_Area
263,R-R,Restricted-Relay, ,8607.17757491529,3530378.9552552
264,R-R,Restricted-Relay, ,2596.43577697528,134437.285899317
265,R-R,Restricted-Relay, ,25940.7865126299,2220580.52625467
266,R-R,Restricted-Relay, ,13687.1899772639,4143012.92404658
267,R-R,Restricted-Relay, ,50921.7609283176,51083454.7571533
268,P,Prohibited, ,974.390489109637,46287.3262912708
269,CR-R,Conditionally Restricted-Relay, ,14777.8029105193,5826645.73932649
270,P,Prohibited, ,1482.92530755556,109405.098849502
271,CA,Conditionally Approved, ,41686.4934394697,21746682.7581693
272,P,Prohibited, ,20623.085852817,4139885.56909583
273,P,Prohibited, ,1419.86434010358,100216.040045493
274,P,Prohibited, ,4917.79657905215,766521.586208802
275,P,Prohibited, ,28393.89002293,3982078.85682111
276,P,Prohibited, ,33609.6105116899,2754083.56045986
277,R-R,Restricted-Relay, ,106549.196464721,111744176.586866
278,CA,Conditionally Approved, ,14567.5520809149,9863768.20037812
279,P,Prohibited, ,41749.0954844368,103354741.481939
280,CA,Conditionally Approved,Area 'G',11335.2613450615,2714834.88447434
281,CA,Conditionally Approved,Area 'H',24165.9767147446,14689737.6806935
282,P,Prohibited, ,15378.0330478656,9384511.69392793
283,P,Prohibited, ,6057.66082701364,714309.096418471
284,R-R,Restricted-Relay, ,23358.1304142529,8481677.70290351
285,CA,Conditionally Approved,Area 'A',14037.7649654658,9531334.31509711
286,CA,Conditionally Approved,Area 'B',20090.5472418294,11534790.9758421
287,R-R,Restricted-Relay, ,9105.23155931231,1985693.06928871
288,CR-R,Conditionally Restricted-Relay, ,1309.80886392109,76818.7513139376
289,P,Prohibited, ,15000.1872757599,714817.144570935
290,P,Prohibited, ,6401.52574296304,164275.079976141
291,P,Prohibited, ,401.491259009446,7791.33374661633
292,R-R,Restricted-Relay, ,1963.14710668686,47198.1749189273
293,P,Prohibited, ,966.525811782137,39941.8327679085
294,P,Prohibited, ,20239.5431693869,700474.714093135
295,P,Prohibited, ,32813.748542618,1452671.65873955
296,R-R,Restricted-Relay, ,30508.1832602942,1528031.89837942
297,R-R,Restricted-Relay, ,8459.33359257099,378422.434130808
298,R-R,Restricted-Relay, ,12016.175421484,841712.982444073
299,R-R,Restricted-Relay, ,1280.85648819265,78239.4096036243
300,R-R,Restricted-Relay, ,2940.18662854067,363067.071892036
301,P,Prohibited, ,16249.7864545135,1621842.29415554
302,P,Prohibited, ,2640.69452260734,277123.598862271
303,P,Prohibited, ,13544.517377788,2496650.38536914
304,CR-R,Conditionally Restricted-Relay, ,3943.73759867187,184232.914506787
305,R-R,Restricted-Relay, ,384.933383619664,7311.10336209974
306,CA,Conditionally Approved,Area 'A',11546.1559147777,5419383.30748127
307,CR-R,Conditionally Restricted-Relay, ,7092.46402438031,546489.100163258
308,R-R,Restricted-Relay, ,6653.2721361237,1037895.30713468
309,CR-R/DP,Conditionally Restricted-Relay/Depuration, ,8396.21120818193,3697782.03501415
310,P,Prohibited, ,1967.72270313217,157882.985155658
311,R-R,Restricted-Relay, ,15151.2666196382,931288.213523073
312,CA,Conditionally Approved, ,7744.10957754122,1406128.84610208
313,R-R,Restricted-Relay, ,1192.40242765741,34238.6512218943
314,R-R,Restricted-Relay, ,2566.7140483372,254973.536712988
315,CA,Conditionally Approved,Area 'C',10778.7753215106,4274111.27586413
316,CR-R,Conditionally Restricted-Relay, ,1177.0723308259,63635.0579490647
317,P,Prohibited, ,1165.48126967434,51157.3236026006
318,P,Prohibited, ,31948.3491056397,7396058.01605667
319,P,Prohibited, ,3994.30437920745,537910.279148665
320,P,Prohibited, ,1690.58516215022,40038.7521222588
321,R-R,Restricted-Relay, ,20598.6337882588,3165807.58130931
322,R-R,Restricted-Relay, ,7730.68630140107,578434.687101047
323,R-R,Restricted-Relay, ,9810.53156259457,2023266.83980113
324,R-R,Restricted-Relay, ,17923.6986573599,6214331.80832733
325,CR-R,Conditionally Restricted-Relay, ,1099.32684174341,67084.0844159429
326,R-R,Restricted-Relay, ,14961.2809782063,4199723.16897733
327,R-R,Restricted-Relay, ,1542.79121828156,99664.8687152283
328,R-R,Restricted-Relay, ,7733.78263390383,1431593.80180833
329,CR-R,Conditionally Restricted-Relay, ,2487.52879785271,218610.714799841
330,CA,Conditionally Approved,Area 'Q',8822.88487843488,3778548.26769676
331,P,Prohibited, ,9049.55752671448,2732844.92791362
332,CA,Conditionally Approved,Area 'P',28415.942849201,8102855.92197267
333,P,Prohibited, ,2694.61141093741,87914.9354935476
334,R-R,Restricted-Relay, ,18280.6703674832,3066938.48156349
335,A,Approved, ,6911.74126714687,1088238.8399754
336,R-R,Restricted-Relay, ,19274.0573103992,4371375.0094573
337,P,Prohibited, ,1104.17405860445,59470.0496459084
338,CA,Conditionally Approved,Area 'C',15320.5199593521,8016355.83755179
339,CA,Conditionally Approved,L-574,6305.20184878335,1856931.21849888
340,CA,Conditionally Approved,L-399,10503.2012217891,4222463.38306974
341,CA,Conditionally Approved,L-404,3098.93164431752,284660.756886918
342,CA,Conditionally Approved,L-589,9975.81478468931,2905155.56389173
343,CR-R,Conditionally Restricted-Relay, ,8303.77107025364,2084539.91338258
344,P,Prohibited, ,868.228264950263,43124.8295925417
345,P,Prohibited, ,3182.48775078035,275789.836204192
346,CA,Conditionally Approved,L-413,6143.04398877934,2390194.42625949
347,CA,Conditionally Approved,Area 'E',18651.0290107065,13238205.0070526
348,R-R,Restricted-Relay, ,5861.82019702995,1842490.75379007
349,CR-R,Conditionally Restricted-Relay, ,9972.74901878453,1061619.02091057
350,CR-R,Conditionally Restricted-Relay, ,1147.08055520021,82898.8588988504
351,R-R,Restricted-Relay, ,123194.957705811,386832035.194525
352,CA,Conditionally Approved,Area 'F',7415.25755810221,2542933.22849889
353,CA,Conditionally Approved,Area 'E',14335.4344695435,8132031.7718555
354,CA,Conditionally Approved, ,3873.40175375279,381447.617660174
355,CA,Conditionally Approved,Area 'A',47075.0613806497,109733020.682242
356,P,Prohibited, ,7325.56369048375,692551.856275247
357,CA,Conditionally Approved,Area 'D',19881.3021401102,12139863.5538405
358,P,Prohibited, ,2658.61413667252,296204.356087934
359,P,Prohibited, ,2475.5172024697,394516.897421578
360,P,Prohibited, ,68449.6470776902,9555526.34628946
361,P,Prohibited, ,22128.0875883433,30346187.8996848
362,CA,Conditionally Approved, ,91030.0709122887,240964694.205142
363,R-R,Restricted-Relay, ,6801.72394912816,2824095.11099831
364,P,Prohibited, ,12076.7277763302,5683709.10313131
365,R-R,Restricted-Relay, ,3281.18154375383,289589.431483958
366,A,Approved, ,4174.51068937074,395194.481062433
367,P,Prohibited, ,384.320426142997,7440.54333423236
368,P,Prohibited, ,3019.18182199043,154730.854612759
369,P,Prohibited, ,239.05019098797,3076.91092019071
370,P,Prohibited, ,684.037216980949,18158.6595819301
371,P,Prohibited, ,22687.0606868134,31363546.8943453
372,P,Prohibited, ,14347.684320973,6020703.39910617
373,CA,Conditionally Approved,Area 'C',7646.81407770097,2170171.94908881
374,CR-R,Conditionally Restricted-Relay, ,91049.5981231638,46089657.8929326
375,P,Prohibited, ,11164.6788754103,2285949.82872726
376,P,Prohibited, ,2027.33832144004,246897.028809343
377,P,Prohibited, ,1780.54050771202,198599.685914208
378,P,Prohibited, ,850.000656550226,40694.1301374431
379,CR-R,Conditionally Restricted-Relay, ,22510.144962861,10153289.2753388
380,R-R,Restricted-Relay, ,10601.9906718279,1965791.26140413
381,A,Approved,L-404,4875.71667777502,1427300.27206669
382,P,Prohibited, ,3522.16292398372,460118.567070625
383,CR-R,Conditionally Restricted-Relay, ,13998.586610206,3687304.80266254
384,CA,Conditionally Approved,Area 'D',5969.32358946522,1260170.61436984
385,CA,Conditionally Approved,Area 'A',11563.8672876796,4711198.40500952
386,P,Prohibited, ,12009.280725991,247851.741968694
387,CA,Conditionally Approved, ,49952.6117355926,56795828.0092375
388,CA,Conditionally Approved, ,25578.8482060967,9727679.82067628
389,R-R,Restricted-Relay, ,714.868898407481,29815.4465748453
390,CA,Conditionally Approved, ,8062.52311604872,1327672.34163698
391,R-R,Restricted-Relay, ,2211.84030754346,169100.470999156
392,R-R,Restricted-Relay, ,354409.209118386,1451287457.81185
393,CR-R,Conditionally Restricted-Relay, ,775.986017462798,25406.5174977799
394,P,Prohibited, ,1158.33718648733,65203.1328868021
395,P,Prohibited, ,3946.11094739332,499976.236176668
396,R-R,Restricted-Relay, ,23429.9198854874,6546751.26698555
397,R-R,Restricted-Relay, ,189968.481538219,408287146.351374
398,A,Approved, ,315788.708634246,3088367723.08432
399,CR-R,Conditionally Restricted-Relay, ,3914.54593202226,625079.846481409
400,CA,Conditionally Approved,Area 'B',59112.5123543885,63788533.4688072
401,P,Prohibited, ,19439.4157703218,747597.858051642
402,CR-R,Conditionally Restricted-Relay, ,12104.6290259327,1837457.14529796
403,CR-R,Conditionally Restricted-Relay, ,3804.09630674868,392341.330048303
404,P,Prohibited, ,21411.8875710702,1258079.29799107
405,R-R,Restricted-Relay, ,33146.1309879469,29376843.5791609
406,CA,Conditionally Approved, ,9338.18645566325,4140183.4727353
407,R-R,Restricted-Relay, ,76027.0535418074,13904664.9389132
408,CA,Conditionally Approved,L-920,7452.29783177418,2551071.34235532
409,P,Prohibited, ,6275.22248524105,3125675.72558718
410,R-R,Restricted-Relay,L-919,5446.21381639569,1796160.9889486
411,CA,Conditionally Approved,Area '10D',9247.44753861925,3578330.74183559
412,CA,Conditionally Approved, ,105897.50823185,579744359.121557
413,CA,Conditionally Approved,L-431,16793.0657821874,10158566.4763142
414,R-R,Restricted-Relay,L-431,3568.01165610101,443827.267979167
415,CA,Conditionally Approved,L-378,6010.32563670142,2034684.39164388
416,A,Approved, ,411007.759253932,1821279649.78119
417,CA,Conditionally Approved,L-379,15472.6901040033,12988645.8076122
418,P,Prohibited, ,45189.0761141318,90051632.6104527
419,P,Prohibited, ,17657.9264155111,7214382.27619073
420,P,Prohibited, ,334243.438739231,77875298.5761547
421,CA,Conditionally Approved, ,205712.828086813,1583448876.04385
422,A,Approved, ,135555.432276625,712664659.631268
423,R-R,Restricted-Relay, ,330505.266902174,1848985447.7937
424,R-R,Restricted-Relay,L-393,9172.86615139952,5049942.49156801
425,R-R,Restricted-Relay,L-690,8611.5340568207,3439823.94895127
426,R-R,Restricted-Relay,L-691,7887.49080459605,3406137.85791842
427,P,Prohibited, ,23966.1249698781,35898445.4967861
428,CA,Conditionally Approved, ,84630.0188075936,414418612.199198
429,CA,Conditionally Approved, ,196551.932305571,234504521.843848
430,R-R,Restricted-Relay, ,729.81854135401,29870.0937610291
431,CA,Conditionally Approved, ,36121.8735517563,37062046.4488976
432,CA,Conditionally Approved,Area 'C',117945.050718915,242904799.870115
