OBJECTID,BOUNDARY,DATA_SRC,SHAPE_Length
772,Shoreline,ME,6775.82852136755
773,Shoreline,ME,314.129035962207
774,Shoreline,ME,379.927535583588
775,Shoreline,ME,6143.07998245083
776,Shoreline,ME,101.152179155907
777,Shoreline,ME,1083.20065904863
778,Shoreline,ME,2870.72390126338
779,Shoreline,ME,673.025325463362
780,Shoreline,ME,203.045192735602
781,Shoreline,ME,33525.6571182705
782,Shoreline,ME,2398.16347488495
783,Shoreline,ME,785.566225307497
784,Shoreline,ME,100.210143529867
785,Shoreline,ME,24068.2227336767
786,Shoreline,ME,205.128703718963
787,Shoreline,ME,181.793846909394
788,Shoreline,ME,148.04658496311
789,Shoreline,ME,211.727613122782
790,Shoreline,ME,27129.9083875897
791,Shoreline,ME,125.859218661644
792,Shoreline,ME,98.5047125660663
793,Shoreline,ME,160.307711258635
794,Shoreline,ME,1957.07346546857
795,Shoreline,ME,9859.77876680785
796,Shoreline,ME,532.499131059573
797,Shoreline,ME,139.745270622658
798,Shoreline,ME,134.910929352648
799,Shoreline,ME,179.566708360727
800,Shoreline,ME,437.642945617868
801,Shoreline,ME,200.694907785108
802,Shoreline,ME,154.109577016899
803,Shoreline,ME,125.092235813447
804,Shoreline,ME,134.266028858455
805,Shoreline,ME,267.305369391916
806,Shoreline,ME,416.907768042895
807,Shoreline,ME,149.198290108203
808,Shoreline,ME,152.784246303122
809,Shoreline,ME,22773.3108493799
810,Shoreline,ME,31817.1385721654
811,Shoreline,ME,154.572525660542
812,Shoreline,ME,101.282431472696
813,Shoreline,ME,150.207695275626
814,Shoreline,ME,23788.7306724573
815,Shoreline,ME,364.176377197908
816,Shoreline,ME,1195.02489096511
817,Shoreline,ME,190.418648353563
818,Shoreline,ME,149.306346190813
819,Shoreline,ME,104.894248463828
820,Shoreline,ME,33564.5666483793
821,Shoreline,ME,105.386069763824
822,Shoreline,ME,3724.96613451955
823,Shoreline,ME,93.1630487009377
824,Shoreline,ME,130.425417423573
825,Shoreline,ME,159.645156283998
826,Shoreline,ME,108.775286261239
827,Shoreline,ME,422.720854376335
828,Shoreline,ME,44336.9912892511
829,Shoreline,ME,125.302372604247
830,Shoreline,ME,9553.89581162948
831,Shoreline,ME,18692.2359322015
832,Shoreline,ME,4913.43375425415
833,Shoreline,ME,411.933032699949
834,Shoreline,ME,187.530018690326
835,Shoreline,ME,113.01096828022
836,Shoreline,ME,262.682651638615
837,Shoreline,ME,3761.15491424234
838,Shoreline,ME,543.327730108783
839,Shoreline,ME,91.3846857750017
840,Shoreline,ME,3515.21663540842
841,Shoreline,ME,213.574850248262
842,Shoreline,ME,1344.19316533068
843,Shoreline,ME,179.843420765898
844,Shoreline,ME,278.220070052633
845,Shoreline,ME,167.280356661053
846,Shoreline,ME,179.684183360571
847,Shoreline,ME,125.956633752201
848,Shoreline,ME,161.353675178181
849,Shoreline,ME,97.8217279728178
850,Shoreline,ME,160.633621135403
