ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
522,40210.0,57,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,22200,1.0,2040.0,5/12/2022,4.0,55
308,40211.0,52,Female,African American,Non-Hispanic,dep/Sept/Oct,1400,2.0,3000.0,12/13/2021,5.0,56
384,40214.0,29,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,4200,3.0,2400.0,5/12/2022,21.0,57
159,40211.0,66,Male,African American,Non-Hispanic,Dec deposit,0,1.0,775.0,12/13/2021,4.0,58
433,40214.0,48,Female,White,Non-Hispanic,Deposit + 2 Months Rent,10116,1.0,1144.0,5/12/2022,21.0,59
152,40212.0,32,Female,White,Non-Hispanic,Dec deposit and rent,0,3.0,100.0,12/13/2021,5.0,60
474,40219.0,52,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,14800,2.0,1624.0,5/12/2022,24.0,61
155,40210.0,47,Female,African American,Non-Hispanic,Dec deposit and rent,0,4.0,143.87,12/13/2021,4.0,62
182,40219.0,45,Female,White,Non-Hispanic,Deposit Only,0,2.0,200.0,5/12/2022,24.0,63
150,40203.0,34,Female,White,Hispanic,Dec deposit and rent,0,5.0,288.93,12/13/2021,4.0,64
561,40218.0,33,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,28200,4.0,2288.0,5/12/2022,2.0,65
22,40215.0,32,Female,White,Non-Hispanic,deposit / december / january,,6.0,4800.0,12/13/2021,15.0,66
161,40203.0,55,Male,African American,Non-Hispanic,Dec deposit and rent,0,1.0,100.0,12/13/2021,4.0,67
154,40203.0,42,Female,White,Non-Hispanic,Dec deposit and rent,0,2.0,75.47,12/13/2021,6.0,68
624,40208.0,58,Female,White,Non-Hispanic,deposit / December,1087,1.0,1300.0,12/13/2021,6.0,69
153,40217.0,55,Male,African American,Non-Hispanic,Dec deposit and rent,0,1.0,117.3,12/13/2021,15.0,70
149,40206.0,33,Female,White,Non-Hispanic,December deposit,0,3.0,100.0,12/13/2021,4.0,71
151,40206.0,24,Female,African American,Non-Hispanic,Dec deposit and rent,0,5.0,138.73,12/13/2021,9.0,72
375,40203.0,31,Female,White,Non-Hispanic,dep/Dec/Jan,3200,3.0,3000.0,12/13/2021,4.0,73
20,40258.0,35,Female,African American,Non-Hispanic,deposit / december ,,2.0,1130.0,12/10/2021,1.0,74
358,40272.0,39,Female,African American,Non-Hispanic,deposit / december / january,2700,4.0,2700.0,12/10/2021,25.0,75
51,40214.0,39,Female,White,Non-Hispanic,deposit / december,,6.0,2200.0,12/10/2021,25.0,76
43,40211.0,39,Female,African American,Non-Hispanic,deposit / december / january,,2.0,1506.66,12/10/2021,4.0,77
503,40258.0,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,4.0,3000.0,5/5/2022,14.0,78
420,40258.0,41,Male,White,Non-Hispanic,Deposit + 2 Months Rent,10092,4.0,3900.0,5/5/2022,14.0,79
412,40211.0,67,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9960,1.0,639.0,5/5/2022,5.0,80
472,40212.0,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,14400,4.0,2700.0,5/5/2022,5.0,81
457,40211.0,63,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,12468,1.0,2100.0,5/5/2022,1.0,82
562,40211.0,28,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,28340.52,4.0,2460.0,5/5/2022,4.0,83
487,40210.0,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,16800,2.0,2670.0,5/5/2022,5.0,84
556,40203.0,32,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,27000,4.0,2300.0,5/5/2022,5.0,85
485,40215.0,27,Female,Mixed Race,Non-Hispanic,Deposit + 2 Months Rent,16344,1.0,2225.0,5/5/2022,3.0,86
176,40214.0,53,Female,White,Non-Hispanic,Deposit Only,0,1.0,943.0,5/5/2022,21.0,87
450,40208.0,30,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,11700,1.0,3413.0,5/5/2022,6.0,88
577,40214.0,36,Female,White,Non-Hispanic,Deposit + 2 Months Rent,31200,2.0,3027.0,5/5/2022,21.0,89
492,40203.0,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,17292,4.0,1784.0,5/5/2022,4.0,90
519,40208.0,39,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,21600,1.0,3700.0,5/5/2022,9.0,91
572,40218.0,32,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,30276,6.0,2559.0,5/5/2022,2.0,92
565,40229.0,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,28800,3.0,4800.0,5/5/2022,23.0,93
603,40220.0,42,Female,Mixed Race,Hispanic,Deposit + 2 Months Rent,38000,3.0,2950.0,5/5/2022,10.0,94
195,40272.0,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,3.0,2894.0,4/28/2022,25.0,95
546,40216.0,26,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25920,2.0,1902.0,4/28/2022,12.0,96
563,40212.0,39,Female,White,Non-Hispanic,Deposit + 2 Months Rent,28800,3.0,2550.0,4/28/2022,5.0,97
471,40211.0,67,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,14400,1.0,2355.0,4/28/2022,5.0,98
439,40216.0,64,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10332,1.0,1288.0,4/28/2022,3.0,99
482,40212.0,53,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,15840,1.0,2430.0,4/28/2022,5.0,100
386,40258.0,27,Female,White,Non-Hispanic,Deposit + 2 Months Rent,4500,2.0,1030.0,4/7/2022,1.0,101
588,40212.0,41,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,33600,4.0,1800.0,4/7/2022,5.0,102
408,40214.0,25,Female,African American,Non-Hispanic,Deposit Only,9600,2.0,665.0,4/7/2022,25.0,103
211,40211.0,29,Female,African American,Non-Hispanic,Deposit Only,0,5.0,400.0,4/7/2022,1.0,104
409,40211.0,62,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,9600,1.0,2250.0,4/7/2022,5.0,105
558,40216.0,57,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,27600,1.0,2240.0,4/7/2022,15.0,106
387,40210.0,26,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,5000,2.0,2400.0,4/7/2022,6.0,107
406,40216.0,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,9528,1.0,1702.0,4/7/2022,3.0,108
606,40210.0,45,Male,White,Non-Hispanic,Deposit + 2 Months Rent,38400,1.0,1800.0,4/7/2022,6.0,109
451,40210.0,56,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11712,1.0,1950.0,4/7/2022,4.0,110
449,40203.0,58,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,11414,1.0,734.0,4/7/2022,4.0,111
486,40210.0,37,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,16728,3.0,1669.0,4/7/2022,4.0,112
501,40214.0,42,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,18900,2.0,2090.0,4/7/2022,25.0,113
188,40214.0,32,Female,White,Non-Hispanic,Deposit + 2 Months Rent,0,1.0,832.0,4/7/2022,21.0,114
381,40203.0,59,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,3500,4.0,4400.0,4/7/2022,6.0,115
612,40204.0,45,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,42000,1.0,2550.0,4/7/2022,8.0,116
435,40219.0,61,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,10320,1.0,896.0,4/7/2022,2.0,117
620,40212.0,39,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,49359,3.0,3600.0,3/30/2022,5.0,118
197,40214.0,42,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,0,1.0,1036.0,3/30/2022,25.0,119
497,40212.0,52,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,18000,1.0,1800.0,3/30/2022,5.0,120
436,40216.0,59,Male,White,Non-Hispanic,Deposit + 2 Months Rent,10332,1.0,1396.0,3/30/2022,3.0,121
540,40210.0,31,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25000,1.0,2670.0,3/30/2022,5.0,122
418,40210.0,42,Female,White,Non-Hispanic,Deposit + 2 Months Rent,10080,4.0,2018.0,3/30/2022,1.0,123
285,40215.0,31,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,1000,3.0,1384.0,3/30/2022,3.0,124
601,40212.0,34,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,37000,4.0,2940.0,3/30/2022,5.0,125
354,40214.0,28,Female,African American,Non-Hispanic,Deposit Only,2500,5.0,500.0,3/30/2022,25.0,126
190,40212.0,39,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,2.0,1370.0,3/30/2022,5.0,127
