OBJECTID,ParcelId,CreateUser,CreateDate,EditUser,EditDate,UsageClass,PlanYear,Shape__Area,Shape__Length
3507,RES_1283,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,70610.64453125,1454.32248613857
3508,RES_1635,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,45507.14453125,1064.40832295545
3509,RES_2929,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,76581.6348876953,1601.80809983889
3510,RES_1481,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,26067.5029907227,711.858233029223
3511,IND_294,,,LANDUSE,2020/07/25 00:52:23+00,3.0,0.0,713749.459350586,3320.90950597306
3512,RES_1594,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,62343.5119018555,1440.34894122675
3513,IND_213,,,LANDUSE,2020/07/25 00:52:23+00,3.0,0.0,2748.70037841797,222.245238436764
3514,MIXED USE_325,,,LANDUSE,2020/07/25 00:52:23+00,2.0,0.0,335103.965454102,2420.59568938077
3515,RES_2860,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,134340.207824707,2776.45086575097
3516,RES_861,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,706330.134460449,11712.7708994601
3517,OS_3624,,,LANDUSE,2020/07/25 00:52:23+00,8.0,0.0,134019.799499512,2030.88190418796
3518,RES_3080,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,1140926.43481445,6057.91772791334
3519,RES_2732,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,81859.2036743164,1785.26341047788
3520,RES_1826,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,114636.568237305,2179.86099610809
3521,RES_864,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,34531.8588256836,861.52079623201
3522,RES_1131,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,111479.776733398,2231.71448709122
3523,MIXED USE_363,,,LANDUSE,2020/07/25 00:52:23+00,2.0,0.0,143.98486328125,1187.41320865482
3524,RES_844,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,113843.847229004,2222.59012014982
3525,COMM_3511,,,LANDUSE,2020/07/25 00:52:23+00,1.0,0.0,455569.247680664,2650.71770482755
3526,RES_3170,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,61766.4366455078,1351.19013556503
3527,IND_292,,,LANDUSE,2020/07/25 00:52:23+00,3.0,0.0,1260317.63671875,5030.0627307648
3528,OS_3622,,,LANDUSE,2020/07/25 00:52:23+00,8.0,0.0,25938.3977661133,1885.77229563159
3529,RES_1817,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,67183.0247802734,1529.1086802419
3530,RES_2569,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,72480.9149780273,1526.8791364248
3531,RES_1512,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,143269.401672363,2546.77436897154
3532,RES_1643,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,108083.190551758,1372.77474767988
3533,OS_3623,,,LANDUSE,2020/07/25 00:52:23+00,8.0,0.0,28354.1419067383,2037.87051662309
3534,RES_2209,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,14268.5784912109,477.837602620076
3535,CIVIC_8,,,LANDUSE,2020/07/25 00:52:23+00,4.0,0.0,37996.5731201172,1097.05349048204
3536,RES_2014,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,40516.6284179688,941.009686131081
3537,RES_1791,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,73448.8214111328,1593.14457621551
3538,RES_1307,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,164537.934387207,1962.57399945703
