OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1221,"17970,17969,17968,17971,4598,350792,4599,4600,13188","NE BLAKELEY ST,30TH AVE NE,UNION BAY PL NE",1532,N,2018/01/31 12:15:00+00,484.0,578.0,6665.0,6380.0,6700,Study,,3051.87814225431
1222,"12654,12656,12655,12663,12660,12658,12662,12661,12657,12659",ROOSEVELT WAY NE,1877,N,2017/11/28 10:00:00+00,344.0,432.0,3942.0,3809.0,3900,Study,,3357.1629673522
1223,"11234,11235,11236,11231,11232,11230,11233",LAKE WASHINGTON BLVD S,463,N,2015/06/04 00:00:00+00,,,8449.0,7565.0,8400,Study - 13-15,,7777.46264013056
1224,2207,15TH AV W SB ON RP,1293,N,2018/06/26 00:00:00+00,425.0,323.0,5107.0,4838.0,5000,Study(Normalized),,707.554020109663
1225,"8457,8460,8463,8462,8461,8459,8458",8TH AVE S,138,N,,,,2700.0,,2700,Estimate,,2001.65889559875
1226,19827,S DEARBORN ST,543,N,,,,9000.0,,9000,Estimate,,322.076314798012
1227,"14635,14636,14637,14634",E PINE ST,959,N,2018/01/23 15:15:00+00,573.0,616.0,8763.0,8600.0,8800,Study,,972.937071913489
1228,1243,1ST AVE W,1162,N,2018/06/28 00:00:00+00,198.0,247.0,2820.0,2734.0,2800,Study(Normalized),,412.364842945234
1229,"23287,23286,23520,23522,23521,23523","W EMERSON ST,W MANOR PL",1352,N,2014/09/29 00:00:00+00,,,3263.0,3197.0,3300,Study - 13-15,,2225.16004079444
1230,"9349,9348,9350",BOYER AVE E,1206,N,2014/05/21 00:00:00+00,,,9169.0,8063.0,9200,Study - 13-15,,1132.0548500659
1231,"18284,18286,18285,15383,15378,15382,15379,15377,15381,15380,15376","NW 39TH ST,N 39TH ST",1347,N,2015/09/02 00:00:00+00,,,17282.0,15859.0,17300,Study - 13-15,,2503.51042667611
1232,"3450,163713",23RD AVE S,511,N,2017/10/30 12:45:00+00,1484.0,1535.0,17748.0,16124.0,17700,Study,,1304.00013847424
1233,"20115,20110,20112,20113,20114,20111",S GRAHAM ST,226,N,2015/04/01 00:00:00+00,,,8954.0,8904.0,9000,Study - 13-15,,1907.73914850705
1234,12360,RAINIER AVE S,472,N,2017/08/21 11:45:00+00,2231.0,2613.0,37707.0,0.0,37700,Study,,209.700656764551
1235,"14727,14726",E ROANOKE ST,1262,N,2018/04/12 00:00:00+00,2028.0,2179.0,26632.0,25330.0,27300,Study(Normalized),,501.860050865937
1236,2807,2ND AVE NE,1664,N,2018/08/30 00:00:00+00,201.0,231.0,2534.0,2351.0,2500,Study(Normalized),,301.612681249956
1237,23084,W BERTONA ST,1316,N,2018/10/11 00:00:00+00,200.0,195.0,2289.0,2470.0,2300,Study(Normalized),,440.766337474334
1238,12206,PIKE ST,892,Y,,,,13500.0,,13500,Estimate,,322.359531872172
1239,"8397,8400,8396,8399,8402,8403,8406,8404,8405,8395,8398,8401",8TH AVE NW,1752,N,2015/11/16 00:00:00+00,,,12012.0,11364.0,12000,Study - 13-15,,3994.5604729743
